step,training_loss,validation_loss,total_flops_profiler
0,10.7693,10.7663,0.00e+00
0,10.7599,10.7663,0.00e+00
0,10.7644,10.7663,0.00e+00
0,10.7691,10.7663,0.00e+00
0,10.7569,10.7663,0.00e+00
0,10.7642,10.7663,0.00e+00
0,10.7632,10.7663,0.00e+00
0,10.7616,10.7663,0.00e+00
0,10.7638,10.7663,0.00e+00
0,10.7742,10.7663,0.00e+00
0,10.7686,10.7663,0.00e+00
0,10.7600,10.7663,0.00e+00
0,10.7711,10.7663,0.00e+00
0,10.7646,10.7663,0.00e+00
0,10.7601,10.7663,0.00e+00
50,6.7475,6.7500,6.75e+12
50,6.7475,6.7500,6.75e+12
50,6.7744,6.7500,6.75e+12
50,6.7274,6.7500,6.75e+12
50,6.7625,6.7500,6.75e+12
50,6.9600,6.7500,6.75e+12
50,6.7378,6.7500,6.75e+12
50,6.7383,6.7500,6.75e+12
50,6.7204,6.7500,6.75e+12
50,6.7661,6.7500,6.75e+12
50,6.7175,6.7500,6.75e+12
50,6.6626,6.7500,6.75e+12
50,6.7996,6.7500,6.75e+12
50,6.7877,6.7500,6.75e+12
50,6.7013,6.7500,6.75e+12
50,6.7673,6.7500,6.75e+12
50,6.7410,6.7500,6.75e+12
100,6.2309,6.2040,1.35e+13
100,6.2309,6.2040,1.35e+13
100,6.1563,6.2040,1.35e+13
100,6.2542,6.2040,1.35e+13
100,6.1728,6.2040,1.35e+13
100,6.2126,6.2040,1.35e+13
100,6.2916,6.2040,1.35e+13
100,6.2584,6.2040,1.35e+13
100,6.0965,6.2040,1.35e+13
100,6.1107,6.2040,1.35e+13
100,6.2403,6.2040,1.35e+13
100,6.3136,6.2040,1.35e+13
100,6.1898,6.2040,1.35e+13
100,6.1841,6.2040,1.35e+13
100,6.0378,6.2040,1.35e+13
100,6.0925,6.2040,1.35e+13
100,6.0496,6.2040,1.35e+13
150,5.9201,5.8945,2.02e+13
150,5.9201,5.8945,2.02e+13
150,5.9748,5.8945,2.02e+13
150,5.8760,5.8945,2.02e+13
150,5.8532,5.8945,2.02e+13
150,5.9052,5.8945,2.02e+13
150,5.7745,5.8945,2.02e+13
150,5.7887,5.8945,2.02e+13
150,5.9615,5.8945,2.02e+13
150,5.9583,5.8945,2.02e+13
150,5.9452,5.8945,2.02e+13
150,6.0108,5.8945,2.02e+13
150,5.8835,5.8945,2.02e+13
150,5.9111,5.8945,2.02e+13
150,5.9002,5.8945,2.02e+13
150,5.9980,5.8945,2.02e+13
150,5.8742,5.8945,2.02e+13
200,5.7777,5.6802,2.70e+13
200,5.7777,5.6802,2.70e+13
200,5.7203,5.6802,2.70e+13
200,5.6663,5.6802,2.70e+13
200,5.6561,5.6802,2.70e+13
200,5.5725,5.6802,2.70e+13
200,5.7060,5.6802,2.70e+13
200,5.6610,5.6802,2.70e+13
200,5.7534,5.6802,2.70e+13
200,5.7393,5.6802,2.70e+13
200,5.6594,5.6802,2.70e+13
200,5.5388,5.6802,2.70e+13
200,5.6383,5.6802,2.70e+13
200,5.7190,5.6802,2.70e+13
200,5.7569,5.6802,2.70e+13
200,5.7045,5.6802,2.70e+13
200,5.4491,5.6802,2.70e+13
250,5.5153,5.5145,3.37e+13
250,5.5153,5.5145,3.37e+13
250,5.4342,5.5145,3.37e+13
250,5.5509,5.5145,3.37e+13
250,5.5331,5.5145,3.37e+13
250,5.3790,5.5145,3.37e+13
250,5.3163,5.5145,3.37e+13
250,5.4789,5.5145,3.37e+13
250,5.5471,5.5145,3.37e+13
250,5.3903,5.5145,3.37e+13
250,5.4794,5.5145,3.37e+13
250,5.5251,5.5145,3.37e+13
250,5.4603,5.5145,3.37e+13
250,5.4246,5.5145,3.37e+13
250,5.5148,5.5145,3.37e+13
250,5.3734,5.5145,3.37e+13
250,5.5323,5.5145,3.37e+13
300,5.4557,5.3685,4.05e+13
300,5.4557,5.3685,4.05e+13
300,5.3569,5.3685,4.05e+13
300,5.2837,5.3685,4.05e+13
300,5.3264,5.3685,4.05e+13
300,5.3245,5.3685,4.05e+13
300,5.5244,5.3685,4.05e+13
300,5.2207,5.3685,4.05e+13
300,5.3901,5.3685,4.05e+13
300,5.3612,5.3685,4.05e+13
300,5.3856,5.3685,4.05e+13
300,5.5095,5.3685,4.05e+13
300,5.3558,5.3685,4.05e+13
300,5.2581,5.3685,4.05e+13
300,5.4338,5.3685,4.05e+13
300,5.3401,5.3685,4.05e+13
300,5.3175,5.3685,4.05e+13
350,5.3222,5.2441,4.72e+13
350,5.3222,5.2441,4.72e+13
350,5.2895,5.2441,4.72e+13
350,5.1756,5.2441,4.72e+13
350,5.2047,5.2441,4.72e+13
350,5.2779,5.2441,4.72e+13
350,5.3942,5.2441,4.72e+13
350,5.2287,5.2441,4.72e+13
350,5.1384,5.2441,4.72e+13
350,5.2031,5.2441,4.72e+13
350,5.3111,5.2441,4.72e+13
350,5.3438,5.2441,4.72e+13
350,5.1418,5.2441,4.72e+13
350,5.2341,5.2441,4.72e+13
350,5.3376,5.2441,4.72e+13
350,5.1337,5.2441,4.72e+13
