step,training_loss,validation_loss,total_flops_profiler
0,10.8193,10.8187,0.00e+00
0,10.8182,10.8187,0.00e+00
0,10.8176,10.8187,0.00e+00
0,10.8200,10.8187,0.00e+00
0,10.8193,10.8187,0.00e+00
0,10.8189,10.8187,0.00e+00
0,10.8183,10.8187,0.00e+00
0,10.8193,10.8187,0.00e+00
0,10.8188,10.8187,0.00e+00
0,10.8174,10.8187,0.00e+00
0,10.8183,10.8187,0.00e+00
0,10.8189,10.8187,0.00e+00
0,10.8170,10.8187,0.00e+00
0,10.8196,10.8187,0.00e+00
0,10.8207,10.8187,0.00e+00
50,9.6605,9.6556,9.96e+11
50,9.6605,9.6556,9.96e+11
50,9.6612,9.6556,9.96e+11
50,9.6512,9.6556,9.96e+11
50,9.6509,9.6556,9.96e+11
50,9.6497,9.6556,9.96e+11
50,9.6387,9.6556,9.96e+11
50,9.6405,9.6556,9.96e+11
50,9.6479,9.6556,9.96e+11
50,9.6407,9.6556,9.96e+11
50,9.6370,9.6556,9.96e+11
50,9.6297,9.6556,9.96e+11
50,9.6403,9.6556,9.96e+11
50,9.6734,9.6556,9.96e+11
50,9.6534,9.6556,9.96e+11
50,9.6543,9.6556,9.96e+11
50,9.6498,9.6556,9.96e+11
100,8.6086,8.6187,1.99e+12
100,8.6086,8.6187,1.99e+12
100,8.6610,8.6187,1.99e+12
100,8.6346,8.6187,1.99e+12
100,8.5977,8.6187,1.99e+12
100,8.6023,8.6187,1.99e+12
100,8.6618,8.6187,1.99e+12
100,8.6083,8.6187,1.99e+12
100,8.6237,8.6187,1.99e+12
100,8.6366,8.6187,1.99e+12
100,8.5901,8.6187,1.99e+12
100,8.6255,8.6187,1.99e+12
100,8.6358,8.6187,1.99e+12
100,8.6090,8.6187,1.99e+12
100,8.6243,8.6187,1.99e+12
100,8.5922,8.6187,1.99e+12
100,8.6797,8.6187,1.99e+12
150,7.8770,7.8889,2.99e+12
150,7.8770,7.8889,2.99e+12
150,7.8579,7.8889,2.99e+12
150,7.9921,7.8889,2.99e+12
150,7.8272,7.8889,2.99e+12
150,7.8944,7.8889,2.99e+12
150,7.8937,7.8889,2.99e+12
150,7.9041,7.8889,2.99e+12
150,7.8695,7.8889,2.99e+12
150,7.8973,7.8889,2.99e+12
150,7.7663,7.8889,2.99e+12
150,7.9479,7.8889,2.99e+12
150,7.8894,7.8889,2.99e+12
150,7.8379,7.8889,2.99e+12
150,7.8297,7.8889,2.99e+12
150,7.8589,7.8889,2.99e+12
150,7.8359,7.8889,2.99e+12
200,7.5591,7.5423,3.98e+12
200,7.5591,7.5423,3.98e+12
200,7.5175,7.5423,3.98e+12
200,7.6158,7.5423,3.98e+12
200,7.5086,7.5423,3.98e+12
200,7.5667,7.5423,3.98e+12
200,7.5099,7.5423,3.98e+12
200,7.5976,7.5423,3.98e+12
200,7.6630,7.5423,3.98e+12
200,7.4489,7.5423,3.98e+12
200,7.4901,7.5423,3.98e+12
200,7.4555,7.5423,3.98e+12
200,7.4918,7.5423,3.98e+12
200,7.4881,7.5423,3.98e+12
200,7.5061,7.5423,3.98e+12
200,7.5031,7.5423,3.98e+12
200,7.4537,7.5423,3.98e+12
250,7.4314,7.4707,4.98e+12
250,7.4314,7.4707,4.98e+12
250,7.3895,7.4707,4.98e+12
250,7.4865,7.4707,4.98e+12
250,7.5029,7.4707,4.98e+12
250,7.5229,7.4707,4.98e+12
250,7.4022,7.4707,4.98e+12
250,7.4233,7.4707,4.98e+12
250,7.4552,7.4707,4.98e+12
250,7.3366,7.4707,4.98e+12
250,7.4122,7.4707,4.98e+12
250,7.5597,7.4707,4.98e+12
250,7.5059,7.4707,4.98e+12
250,7.5166,7.4707,4.98e+12
250,7.4739,7.4707,4.98e+12
250,7.3929,7.4707,4.98e+12
250,7.5731,7.4707,4.98e+12
300,7.5237,7.4610,5.97e+12
300,7.5237,7.4610,5.97e+12
300,7.5558,7.4610,5.97e+12
300,7.4882,7.4610,5.97e+12
300,7.4779,7.4610,5.97e+12
300,7.5047,7.4610,5.97e+12
300,7.3964,7.4610,5.97e+12
300,7.4869,7.4610,5.97e+12
300,7.4411,7.4610,5.97e+12
300,7.5020,7.4610,5.97e+12
300,7.4020,7.4610,5.97e+12
300,7.4858,7.4610,5.97e+12
300,7.5029,7.4610,5.97e+12
300,7.4507,7.4610,5.97e+12
300,7.4444,7.4610,5.97e+12
300,7.5105,7.4610,5.97e+12
300,7.4826,7.4610,5.97e+12
350,7.4352,7.4571,6.97e+12
350,7.4352,7.4571,6.97e+12
350,7.4872,7.4571,6.97e+12
350,7.4554,7.4571,6.97e+12
350,7.5453,7.4571,6.97e+12
350,7.4218,7.4571,6.97e+12
350,7.4446,7.4571,6.97e+12
350,7.4894,7.4571,6.97e+12
350,7.4296,7.4571,6.97e+12
350,7.4670,7.4571,6.97e+12
350,7.4438,7.4571,6.97e+12
350,7.4675,7.4571,6.97e+12
350,7.4179,7.4571,6.97e+12
350,7.4633,7.4571,6.97e+12
350,7.3932,7.4571,6.97e+12
350,7.4670,7.4571,6.97e+12
350,7.4182,7.4571,6.97e+12
