step,training_loss,validation_loss,total_flops_profiler
0,10.8044,10.8037,0.00e+00
0,10.8057,10.8037,0.00e+00
0,10.8028,10.8037,0.00e+00
0,10.8008,10.8037,0.00e+00
0,10.8025,10.8037,0.00e+00
0,10.8041,10.8037,0.00e+00
0,10.8036,10.8037,0.00e+00
0,10.8040,10.8037,0.00e+00
0,10.8044,10.8037,0.00e+00
0,10.8032,10.8037,0.00e+00
0,10.8038,10.8037,0.00e+00
0,10.8036,10.8037,0.00e+00
0,10.8049,10.8037,0.00e+00
0,10.8040,10.8037,0.00e+00
0,10.8026,10.8037,0.00e+00
50,8.9283,8.8535,2.02e+12
50,8.9283,8.8535,2.02e+12
50,8.8887,8.8535,2.02e+12
50,8.8814,8.8535,2.02e+12
50,8.8935,8.8535,2.02e+12
50,8.8503,8.8535,2.02e+12
50,8.8911,8.8535,2.02e+12
50,8.8291,8.8535,2.02e+12
50,8.8538,8.8535,2.02e+12
50,8.8456,8.8535,2.02e+12
50,8.8434,8.8535,2.02e+12
50,8.8289,8.8535,2.02e+12
50,8.9066,8.8535,2.02e+12
50,8.8728,8.8535,2.02e+12
50,8.8764,8.8535,2.02e+12
50,8.8295,8.8535,2.02e+12
50,8.8222,8.8535,2.02e+12
100,7.6989,7.7207,4.04e+12
100,7.6989,7.7207,4.04e+12
100,7.6626,7.7207,4.04e+12
100,7.7160,7.7207,4.04e+12
100,7.7760,7.7207,4.04e+12
100,7.7732,7.7207,4.04e+12
100,7.7190,7.7207,4.04e+12
100,7.7070,7.7207,4.04e+12
100,7.7386,7.7207,4.04e+12
100,7.7056,7.7207,4.04e+12
100,7.7759,7.7207,4.04e+12
100,7.6792,7.7207,4.04e+12
100,7.6642,7.7207,4.04e+12
100,7.7067,7.7207,4.04e+12
100,7.7542,7.7207,4.04e+12
100,7.6824,7.7207,4.04e+12
100,7.7555,7.7207,4.04e+12
150,7.4486,7.4712,6.06e+12
150,7.4486,7.4712,6.06e+12
150,7.5282,7.4712,6.06e+12
150,7.4598,7.4712,6.06e+12
150,7.5084,7.4712,6.06e+12
150,7.4633,7.4712,6.06e+12
150,7.3665,7.4712,6.06e+12
