step,training_loss,validation_loss,total_flops_profiler
0,10.8272,10.8266,0.00e+00
0,10.8257,10.8266,0.00e+00
0,10.8277,10.8266,0.00e+00
0,10.8272,10.8266,0.00e+00
0,10.8273,10.8266,0.00e+00
0,10.8293,10.8266,0.00e+00
0,10.8274,10.8266,0.00e+00
0,10.8264,10.8266,0.00e+00
0,10.8269,10.8266,0.00e+00
0,10.8255,10.8266,0.00e+00
0,10.8260,10.8266,0.00e+00
0,10.8261,10.8266,0.00e+00
0,10.8265,10.8266,0.00e+00
0,10.8278,10.8266,0.00e+00
0,10.8288,10.8266,0.00e+00
50,10.5071,10.4925,4.19e+12
50,10.5071,10.4925,4.19e+12
50,10.4826,10.4925,4.19e+12
50,10.4859,10.4925,4.19e+12
50,10.4962,10.4925,4.19e+12
50,10.4909,10.4925,4.19e+12
50,10.5160,10.4925,4.19e+12
50,10.5059,10.4925,4.19e+12
50,10.4840,10.4925,4.19e+12
50,10.4926,10.4925,4.19e+12
50,10.4968,10.4925,4.19e+12
50,10.5016,10.4925,4.19e+12
50,10.4860,10.4925,4.19e+12
50,10.4977,10.4925,4.19e+12
50,10.4857,10.4925,4.19e+12
50,10.4844,10.4925,4.19e+12
50,10.4804,10.4925,4.19e+12
100,10.1818,10.1660,8.39e+12
100,10.1818,10.1660,8.39e+12
100,10.1855,10.1660,8.39e+12
100,10.1930,10.1660,8.39e+12
100,10.1723,10.1660,8.39e+12
100,10.1822,10.1660,8.39e+12
100,10.1659,10.1660,8.39e+12
100,10.1635,10.1660,8.39e+12
100,10.1724,10.1660,8.39e+12
100,10.1897,10.1660,8.39e+12
100,10.1826,10.1660,8.39e+12
100,10.1646,10.1660,8.39e+12
100,10.1788,10.1660,8.39e+12
100,10.1634,10.1660,8.39e+12
100,10.1705,10.1660,8.39e+12
100,10.1505,10.1660,8.39e+12
100,10.1807,10.1660,8.39e+12
150,9.9047,9.9229,1.26e+13
150,9.9047,9.9229,1.26e+13
150,9.9045,9.9229,1.26e+13
150,9.9342,9.9229,1.26e+13
150,9.9554,9.9229,1.26e+13
150,9.9460,9.9229,1.26e+13
150,9.8987,9.9229,1.26e+13
150,9.8907,9.9229,1.26e+13
150,9.9130,9.9229,1.26e+13
150,9.9544,9.9229,1.26e+13
150,9.8631,9.9229,1.26e+13
150,9.9020,9.9229,1.26e+13
150,9.9181,9.9229,1.26e+13
150,9.9011,9.9229,1.26e+13
150,9.9269,9.9229,1.26e+13
150,9.9460,9.9229,1.26e+13
150,9.9545,9.9229,1.26e+13
200,9.7955,9.7367,1.68e+13
200,9.7955,9.7367,1.68e+13
200,9.7077,9.7367,1.68e+13
200,9.7387,9.7367,1.68e+13
200,9.7655,9.7367,1.68e+13
200,9.7461,9.7367,1.68e+13
200,9.7232,9.7367,1.68e+13
200,9.6809,9.7367,1.68e+13
200,9.7770,9.7367,1.68e+13
200,9.6962,9.7367,1.68e+13
200,9.7676,9.7367,1.68e+13
200,9.7373,9.7367,1.68e+13
200,9.7428,9.7367,1.68e+13
200,9.7552,9.7367,1.68e+13
200,9.7647,9.7367,1.68e+13
200,9.6644,9.7367,1.68e+13
200,9.7173,9.7367,1.68e+13
250,9.6033,9.5931,2.10e+13
250,9.6033,9.5931,2.10e+13
250,9.5650,9.5931,2.10e+13
250,9.5998,9.5931,2.10e+13
250,9.6342,9.5931,2.10e+13
250,9.5498,9.5931,2.10e+13
250,9.5513,9.5931,2.10e+13
250,9.5337,9.5931,2.10e+13
250,9.6302,9.5931,2.10e+13
250,9.6168,9.5931,2.10e+13
250,9.5959,9.5931,2.10e+13
250,9.7054,9.5931,2.10e+13
250,9.5792,9.5931,2.10e+13
250,9.5771,9.5931,2.10e+13
250,9.6005,9.5931,2.10e+13
250,9.5947,9.5931,2.10e+13
250,9.6252,9.5931,2.10e+13
300,9.4837,9.4783,2.52e+13
300,9.4837,9.4783,2.52e+13
300,9.5751,9.4783,2.52e+13
300,9.4690,9.4783,2.52e+13
300,9.5230,9.4783,2.52e+13
300,9.4657,9.4783,2.52e+13
300,9.4824,9.4783,2.52e+13
300,9.5373,9.4783,2.52e+13
300,9.4416,9.4783,2.52e+13
300,9.5040,9.4783,2.52e+13
300,9.4169,9.4783,2.52e+13
300,9.4984,9.4783,2.52e+13
300,9.4080,9.4783,2.52e+13
300,9.4813,9.4783,2.52e+13
300,9.4864,9.4783,2.52e+13
300,9.4556,9.4783,2.52e+13
300,9.5031,9.4783,2.52e+13
350,9.3730,9.3708,2.94e+13
350,9.3730,9.3708,2.94e+13
350,9.3344,9.3708,2.94e+13
350,9.4230,9.3708,2.94e+13
350,9.4691,9.3708,2.94e+13
350,9.3295,9.3708,2.94e+13
350,9.3207,9.3708,2.94e+13
350,9.4140,9.3708,2.94e+13
350,9.3310,9.3708,2.94e+13
350,9.3327,9.3708,2.94e+13
350,9.4253,9.3708,2.94e+13
350,9.2215,9.3708,2.94e+13
350,9.3098,9.3708,2.94e+13
350,9.4002,9.3708,2.94e+13
350,9.3320,9.3708,2.94e+13
350,9.3887,9.3708,2.94e+13
350,9.3133,9.3708,2.94e+13
400,9.2688,9.2520,3.36e+13
400,9.2688,9.2520,3.36e+13
400,9.2531,9.2520,3.36e+13
400,9.2420,9.2520,3.36e+13
400,9.2666,9.2520,3.36e+13
400,9.2828,9.2520,3.36e+13
400,9.2666,9.2520,3.36e+13
400,9.2718,9.2520,3.36e+13
400,9.2302,9.2520,3.36e+13
400,9.2852,9.2520,3.36e+13
400,9.2559,9.2520,3.36e+13
400,9.2519,9.2520,3.36e+13
400,9.2389,9.2520,3.36e+13
400,9.3091,9.2520,3.36e+13
400,9.1996,9.2520,3.36e+13
400,9.2739,9.2520,3.36e+13
400,9.2590,9.2520,3.36e+13
450,9.1228,9.1091,3.78e+13
450,9.1228,9.1091,3.78e+13
450,9.1158,9.1091,3.78e+13
450,9.1545,9.1091,3.78e+13
450,9.1235,9.1091,3.78e+13
450,9.1012,9.1091,3.78e+13
450,9.0852,9.1091,3.78e+13
450,9.1328,9.1091,3.78e+13
450,9.0392,9.1091,3.78e+13
450,9.1577,9.1091,3.78e+13
450,9.0987,9.1091,3.78e+13
450,9.0563,9.1091,3.78e+13
450,9.1390,9.1091,3.78e+13
450,9.1156,9.1091,3.78e+13
450,9.1261,9.1091,3.78e+13
450,9.0925,9.1091,3.78e+13
450,9.1438,9.1091,3.78e+13
500,8.8938,8.9391,4.19e+13
500,8.8938,8.9391,4.19e+13
500,9.0336,8.9391,4.19e+13
500,8.8805,8.9391,4.19e+13
500,8.8620,8.9391,4.19e+13
500,8.8755,8.9391,4.19e+13
500,8.9685,8.9391,4.19e+13
500,8.9497,8.9391,4.19e+13
500,8.9063,8.9391,4.19e+13
500,8.9443,8.9391,4.19e+13
500,8.9409,8.9391,4.19e+13
500,8.8521,8.9391,4.19e+13
500,8.8703,8.9391,4.19e+13
500,8.8646,8.9391,4.19e+13
500,8.9570,8.9391,4.19e+13
500,8.9505,8.9391,4.19e+13
500,8.9300,8.9391,4.19e+13
550,8.7182,8.7605,4.61e+13
550,8.7182,8.7605,4.61e+13
550,8.8385,8.7605,4.61e+13
550,8.8112,8.7605,4.61e+13
550,8.7240,8.7605,4.61e+13
550,8.7234,8.7605,4.61e+13
550,8.7402,8.7605,4.61e+13
550,8.6778,8.7605,4.61e+13
550,8.7376,8.7605,4.61e+13
550,8.7508,8.7605,4.61e+13
550,8.7400,8.7605,4.61e+13
550,8.7174,8.7605,4.61e+13
550,8.7338,8.7605,4.61e+13
550,8.7461,8.7605,4.61e+13
550,8.7940,8.7605,4.61e+13
550,8.8174,8.7605,4.61e+13
550,8.6604,8.7605,4.61e+13
600,8.5746,8.6081,5.03e+13
600,8.5746,8.6081,5.03e+13
600,8.6420,8.6081,5.03e+13
600,8.5750,8.6081,5.03e+13
600,8.6083,8.6081,5.03e+13
600,8.5315,8.6081,5.03e+13
600,8.5974,8.6081,5.03e+13
600,8.5869,8.6081,5.03e+13
600,8.6384,8.6081,5.03e+13
600,8.6696,8.6081,5.03e+13
600,8.5798,8.6081,5.03e+13
600,8.5344,8.6081,5.03e+13
600,8.5974,8.6081,5.03e+13
600,8.6457,8.6081,5.03e+13
600,8.5236,8.6081,5.03e+13
600,8.5772,8.6081,5.03e+13
600,8.5975,8.6081,5.03e+13
650,8.4983,8.5018,5.45e+13
650,8.4983,8.5018,5.45e+13
650,8.5019,8.5018,5.45e+13
650,8.4382,8.5018,5.45e+13
650,8.4802,8.5018,5.45e+13
650,8.6056,8.5018,5.45e+13
650,8.5183,8.5018,5.45e+13
650,8.4768,8.5018,5.45e+13
650,8.4298,8.5018,5.45e+13
650,8.4597,8.5018,5.45e+13
650,8.4214,8.5018,5.45e+13
650,8.5019,8.5018,5.45e+13
650,8.5072,8.5018,5.45e+13
650,8.5369,8.5018,5.45e+13
650,8.5809,8.5018,5.45e+13
650,8.4358,8.5018,5.45e+13
650,8.5404,8.5018,5.45e+13
700,8.4547,8.4291,5.87e+13
700,8.4547,8.4291,5.87e+13
700,8.3939,8.4291,5.87e+13
700,8.4250,8.4291,5.87e+13
700,8.4279,8.4291,5.87e+13
700,8.4272,8.4291,5.87e+13
700,8.3684,8.4291,5.87e+13
700,8.4818,8.4291,5.87e+13
700,8.3803,8.4291,5.87e+13
700,8.4791,8.4291,5.87e+13
700,8.4652,8.4291,5.87e+13
700,8.4791,8.4291,5.87e+13
700,8.4161,8.4291,5.87e+13
700,8.3997,8.4291,5.87e+13
700,8.3948,8.4291,5.87e+13
700,8.3671,8.4291,5.87e+13
700,8.4433,8.4291,5.87e+13
750,8.3527,8.3776,6.29e+13
750,8.3527,8.3776,6.29e+13
750,8.3507,8.3776,6.29e+13
750,8.3026,8.3776,6.29e+13
750,8.2865,8.3776,6.29e+13
750,8.3532,8.3776,6.29e+13
750,8.4326,8.3776,6.29e+13
750,8.4370,8.3776,6.29e+13
750,8.3448,8.3776,6.29e+13
750,8.3786,8.3776,6.29e+13
