step,training_loss,validation_loss,total_flops_profiler
0,10.7533,10.7537,0.00e+00
0,10.7590,10.7537,0.00e+00
0,10.7546,10.7537,0.00e+00
0,10.7586,10.7537,0.00e+00
0,10.7520,10.7537,0.00e+00
0,10.7560,10.7537,0.00e+00
0,10.7536,10.7537,0.00e+00
0,10.7496,10.7537,0.00e+00
0,10.7588,10.7537,0.00e+00
0,10.7612,10.7537,0.00e+00
0,10.7528,10.7537,0.00e+00
0,10.7569,10.7537,0.00e+00
0,10.7580,10.7537,0.00e+00
0,10.7568,10.7537,0.00e+00
0,10.7576,10.7537,0.00e+00
50,6.7953,6.7891,6.75e+12
50,6.7953,6.7891,6.75e+12
50,6.7907,6.7891,6.75e+12
50,6.7621,6.7891,6.75e+12
50,6.8696,6.7891,6.75e+12
50,6.8090,6.7891,6.75e+12
50,6.8202,6.7891,6.75e+12
50,6.7836,6.7891,6.75e+12
50,6.7925,6.7891,6.75e+12
50,6.8241,6.7891,6.75e+12
50,6.7475,6.7891,6.75e+12
50,6.6750,6.7891,6.75e+12
50,6.8491,6.7891,6.75e+12
50,6.6797,6.7891,6.75e+12
50,6.8286,6.7891,6.75e+12
50,6.8389,6.7891,6.75e+12
50,6.8384,6.7891,6.75e+12
100,6.2883,6.2748,1.35e+13
100,6.2883,6.2748,1.35e+13
100,6.3132,6.2748,1.35e+13
100,6.3315,6.2748,1.35e+13
100,6.1664,6.2748,1.35e+13
100,6.3435,6.2748,1.35e+13
100,6.3754,6.2748,1.35e+13
100,6.2644,6.2748,1.35e+13
100,6.2275,6.2748,1.35e+13
100,6.1620,6.2748,1.35e+13
100,6.3583,6.2748,1.35e+13
100,6.3370,6.2748,1.35e+13
100,6.4249,6.2748,1.35e+13
100,6.3813,6.2748,1.35e+13
100,6.3028,6.2748,1.35e+13
100,6.1882,6.2748,1.35e+13
100,6.2556,6.2748,1.35e+13
150,6.0683,5.9558,2.02e+13
150,6.0683,5.9558,2.02e+13
150,5.9144,5.9558,2.02e+13
150,6.0055,5.9558,2.02e+13
150,5.9253,5.9558,2.02e+13
150,5.9431,5.9558,2.02e+13
150,5.8753,5.9558,2.02e+13
150,5.9224,5.9558,2.02e+13
150,6.0011,5.9558,2.02e+13
150,5.8972,5.9558,2.02e+13
150,5.9236,5.9558,2.02e+13
150,5.9905,5.9558,2.02e+13
150,6.0707,5.9558,2.02e+13
150,5.9681,5.9558,2.02e+13
150,5.8143,5.9558,2.02e+13
150,5.9968,5.9558,2.02e+13
150,5.9896,5.9558,2.02e+13
200,5.7434,5.7365,2.70e+13
200,5.7434,5.7365,2.70e+13
200,5.6850,5.7365,2.70e+13
200,5.7310,5.7365,2.70e+13
200,5.8210,5.7365,2.70e+13
200,5.5765,5.7365,2.70e+13
200,5.5305,5.7365,2.70e+13
200,5.7803,5.7365,2.70e+13
200,5.7836,5.7365,2.70e+13
200,5.7743,5.7365,2.70e+13
200,5.6799,5.7365,2.70e+13
200,5.8104,5.7365,2.70e+13
200,5.5727,5.7365,2.70e+13
200,5.7645,5.7365,2.70e+13
200,5.4788,5.7365,2.70e+13
200,5.5642,5.7365,2.70e+13
200,5.6983,5.7365,2.70e+13
250,5.4861,5.5490,3.37e+13
250,5.4861,5.5490,3.37e+13
250,5.6859,5.5490,3.37e+13
250,5.6898,5.5490,3.37e+13
250,5.6687,5.5490,3.37e+13
250,5.6782,5.5490,3.37e+13
250,5.6191,5.5490,3.37e+13
250,5.5723,5.5490,3.37e+13
250,5.3704,5.5490,3.37e+13
250,5.5140,5.5490,3.37e+13
250,5.5124,5.5490,3.37e+13
250,5.5711,5.5490,3.37e+13
250,5.6065,5.5490,3.37e+13
250,5.5737,5.5490,3.37e+13
250,5.5720,5.5490,3.37e+13
250,5.6078,5.5490,3.37e+13
250,5.6300,5.5490,3.37e+13
300,5.4694,5.4059,4.05e+13
300,5.4694,5.4059,4.05e+13
300,5.4225,5.4059,4.05e+13
300,5.3925,5.4059,4.05e+13
300,5.3053,5.4059,4.05e+13
300,5.5036,5.4059,4.05e+13
300,5.2433,5.4059,4.05e+13
300,5.5134,5.4059,4.05e+13
300,5.3791,5.4059,4.05e+13
300,5.5101,5.4059,4.05e+13
300,5.4058,5.4059,4.05e+13
300,5.3851,5.4059,4.05e+13
300,5.3717,5.4059,4.05e+13
300,5.4312,5.4059,4.05e+13
300,5.4286,5.4059,4.05e+13
300,5.4264,5.4059,4.05e+13
300,5.4247,5.4059,4.05e+13
350,5.3183,5.2745,4.72e+13
350,5.3183,5.2745,4.72e+13
350,5.2852,5.2745,4.72e+13
350,5.2861,5.2745,4.72e+13
350,5.2987,5.2745,4.72e+13
350,5.1522,5.2745,4.72e+13
350,5.3549,5.2745,4.72e+13
350,5.2021,5.2745,4.72e+13
350,5.1453,5.2745,4.72e+13
350,5.1597,5.2745,4.72e+13
350,5.3573,5.2745,4.72e+13
