step,training_loss,validation_loss,total_flops_profiler
0,10.8270,10.8259,0.00e+00
0,10.8247,10.8259,0.00e+00
0,10.8267,10.8259,0.00e+00
0,10.8272,10.8259,0.00e+00
0,10.8271,10.8259,0.00e+00
0,10.8242,10.8259,0.00e+00
0,10.8264,10.8259,0.00e+00
0,10.8267,10.8259,0.00e+00
0,10.8255,10.8259,0.00e+00
0,10.8248,10.8259,0.00e+00
0,10.8272,10.8259,0.00e+00
0,10.8248,10.8259,0.00e+00
0,10.8258,10.8259,0.00e+00
0,10.8251,10.8259,0.00e+00
0,10.8261,10.8259,0.00e+00
50,10.0907,10.0495,2.02e+12
50,10.0907,10.0495,2.02e+12
50,10.0614,10.0495,2.02e+12
50,10.0583,10.0495,2.02e+12
50,10.0604,10.0495,2.02e+12
50,10.0519,10.0495,2.02e+12
50,10.0611,10.0495,2.02e+12
50,10.0412,10.0495,2.02e+12
50,10.0538,10.0495,2.02e+12
50,10.0495,10.0495,2.02e+12
50,10.0444,10.0495,2.02e+12
50,10.0405,10.0495,2.02e+12
50,10.0717,10.0495,2.02e+12
50,10.0575,10.0495,2.02e+12
50,10.0631,10.0495,2.02e+12
50,10.0416,10.0495,2.02e+12
50,10.0416,10.0495,2.02e+12
100,8.3757,8.3734,4.04e+12
100,8.3757,8.3734,4.04e+12
100,8.3438,8.3734,4.04e+12
100,8.3605,8.3734,4.04e+12
100,8.4137,8.3734,4.04e+12
100,8.4034,8.3734,4.04e+12
100,8.3725,8.3734,4.04e+12
100,8.3635,8.3734,4.04e+12
100,8.3999,8.3734,4.04e+12
100,8.3695,8.3734,4.04e+12
100,8.4184,8.3734,4.04e+12
100,8.3378,8.3734,4.04e+12
100,8.3282,8.3734,4.04e+12
100,8.3552,8.3734,4.04e+12
100,8.3886,8.3734,4.04e+12
100,8.3372,8.3734,4.04e+12
100,8.4039,8.3734,4.04e+12
150,7.5777,7.5863,6.07e+12
150,7.5777,7.5863,6.07e+12
150,7.6347,7.5863,6.07e+12
150,7.5751,7.5863,6.07e+12
150,7.6206,7.5863,6.07e+12
150,7.5844,7.5863,6.07e+12
150,7.5012,7.5863,6.07e+12
150,7.6256,7.5863,6.07e+12
150,7.5943,7.5863,6.07e+12
150,7.6468,7.5863,6.07e+12
150,7.5847,7.5863,6.07e+12
150,7.5919,7.5863,6.07e+12
150,7.5250,7.5863,6.07e+12
150,7.5204,7.5863,6.07e+12
150,7.5264,7.5863,6.07e+12
150,7.6508,7.5863,6.07e+12
150,7.6280,7.5863,6.07e+12
200,7.2532,7.3074,8.09e+12
200,7.2532,7.3074,8.09e+12
200,7.3535,7.3074,8.09e+12
200,7.3096,7.3074,8.09e+12
200,7.2993,7.3074,8.09e+12
200,7.2968,7.3074,8.09e+12
200,7.3224,7.3074,8.09e+12
200,7.3880,7.3074,8.09e+12
200,7.3356,7.3074,8.09e+12
200,7.3373,7.3074,8.09e+12
200,7.3262,7.3074,8.09e+12
200,7.3831,7.3074,8.09e+12
200,7.2173,7.3074,8.09e+12
200,7.3049,7.3074,8.09e+12
200,7.3152,7.3074,8.09e+12
200,7.2814,7.3074,8.09e+12
200,7.3945,7.3074,8.09e+12
250,7.0818,7.0942,1.01e+13
250,7.0818,7.0942,1.01e+13
250,7.0587,7.0942,1.01e+13
250,7.0828,7.0942,1.01e+13
250,7.2625,7.0942,1.01e+13
250,7.0835,7.0942,1.01e+13
250,7.0682,7.0942,1.01e+13
250,7.0285,7.0942,1.01e+13
250,7.1736,7.0942,1.01e+13
250,7.1771,7.0942,1.01e+13
250,7.2041,7.0942,1.01e+13
250,7.1011,7.0942,1.01e+13
250,7.0855,7.0942,1.01e+13
250,7.1081,7.0942,1.01e+13
250,7.1911,7.0942,1.01e+13
250,7.0527,7.0942,1.01e+13
250,7.1049,7.0942,1.01e+13
300,6.8550,6.8986,1.21e+13
300,6.8550,6.8986,1.21e+13
300,6.8579,6.8986,1.21e+13
300,6.9276,6.8986,1.21e+13
300,6.7640,6.8986,1.21e+13
300,6.9284,6.8986,1.21e+13
300,6.8376,6.8986,1.21e+13
300,6.8991,6.8986,1.21e+13
300,6.9280,6.8986,1.21e+13
300,6.8960,6.8986,1.21e+13
300,6.8841,6.8986,1.21e+13
300,6.8581,6.8986,1.21e+13
300,6.9130,6.8986,1.21e+13
300,6.9513,6.8986,1.21e+13
300,6.9314,6.8986,1.21e+13
300,6.8524,6.8986,1.21e+13
300,6.8083,6.8986,1.21e+13
350,6.8065,6.7320,1.42e+13
350,6.8065,6.7320,1.42e+13
350,6.7149,6.7320,1.42e+13
350,6.7148,6.7320,1.42e+13
350,6.7519,6.7320,1.42e+13
350,6.8202,6.7320,1.42e+13
350,6.6318,6.7320,1.42e+13
350,6.6710,6.7320,1.42e+13
350,6.7309,6.7320,1.42e+13
350,6.7347,6.7320,1.42e+13
350,6.7578,6.7320,1.42e+13
350,6.7372,6.7320,1.42e+13
350,6.7108,6.7320,1.42e+13
350,6.7050,6.7320,1.42e+13
350,6.6423,6.7320,1.42e+13
350,6.6948,6.7320,1.42e+13
350,6.6790,6.7320,1.42e+13
400,6.6353,6.5906,1.62e+13
400,6.6353,6.5906,1.62e+13
400,6.5979,6.5906,1.62e+13
400,6.5994,6.5906,1.62e+13
400,6.4971,6.5906,1.62e+13
400,6.5303,6.5906,1.62e+13
400,6.7480,6.5906,1.62e+13
400,6.6387,6.5906,1.62e+13
400,6.6314,6.5906,1.62e+13
400,6.6070,6.5906,1.62e+13
400,6.6921,6.5906,1.62e+13
400,6.6834,6.5906,1.62e+13
400,6.6405,6.5906,1.62e+13
400,6.5474,6.5906,1.62e+13
400,6.5778,6.5906,1.62e+13
400,6.6080,6.5906,1.62e+13
400,6.6837,6.5906,1.62e+13
450,6.4987,6.4711,1.82e+13
450,6.4987,6.4711,1.82e+13
450,6.4720,6.4711,1.82e+13
450,6.5072,6.4711,1.82e+13
450,6.5499,6.4711,1.82e+13
450,6.5119,6.4711,1.82e+13
450,6.4752,6.4711,1.82e+13
450,6.4941,6.4711,1.82e+13
450,6.5355,6.4711,1.82e+13
450,6.4789,6.4711,1.82e+13
450,6.5491,6.4711,1.82e+13
450,6.4032,6.4711,1.82e+13
450,6.4430,6.4711,1.82e+13
450,6.4810,6.4711,1.82e+13
450,6.4362,6.4711,1.82e+13
450,6.4843,6.4711,1.82e+13
450,6.5150,6.4711,1.82e+13
500,6.2809,6.3701,2.02e+13
500,6.2809,6.3701,2.02e+13
500,6.4199,6.3701,2.02e+13
500,6.4933,6.3701,2.02e+13
500,6.3933,6.3701,2.02e+13
500,6.4862,6.3701,2.02e+13
