step,training_loss,validation_loss,total_flops_profiler
50,10.7998,10.7998,3.95e+12
100,10.7714,10.7710,7.91e+12
150,10.7288,10.7279,1.19e+13
200,10.6512,10.6542,1.58e+13
250,10.5094,10.5117,1.98e+13
300,10.2458,10.2346,2.37e+13
350,9.8514,9.8439,2.77e+13
400,9.4392,9.3691,3.16e+13
450,9.0759,9.0792,3.56e+13
500,8.8276,8.8350,3.95e+13
550,8.5733,8.6230,4.35e+13
600,8.4018,8.4357,4.74e+13
650,8.2415,8.2689,5.14e+13
700,8.1020,8.1205,5.53e+13
750,7.9952,7.9904,5.93e+13
800,7.9027,7.8467,6.32e+13
850,7.7515,7.7617,6.72e+13
900,7.6523,7.6953,7.11e+13
950,7.6712,7.6453,7.51e+13
1000,7.5639,7.6086,7.91e+13
1050,7.5545,7.5816,8.30e+13
1100,7.5492,7.5612,8.70e+13
1150,7.5422,7.5453,9.09e+13
1200,7.4906,7.5286,9.49e+13
1250,7.5243,7.5189,9.88e+13
1300,7.4142,7.5111,1.03e+14
1350,7.5826,7.5051,1.07e+14
1400,7.5328,7.5006,1.11e+14
1450,7.5611,7.4973,1.15e+14
1500,7.4618,7.4950,1.19e+14
1550,7.5082,7.4934,1.23e+14
1600,7.5173,7.4917,1.26e+14
1650,7.5373,7.4907,1.30e+14
1700,7.5108,7.4896,1.34e+14
1750,7.5414,7.4887,1.38e+14
1800,7.4087,7.4878,1.42e+14
1850,7.5496,7.4870,1.46e+14
1900,7.5063,7.4862,1.50e+14
1950,7.6582,7.4854,1.54e+14
2000,7.4493,7.4845,1.58e+14
2050,7.4239,7.4840,1.62e+14
2100,7.5357,7.4834,1.66e+14
2150,7.4602,7.4829,1.70e+14
2200,7.4652,7.4824,1.74e+14
2250,7.5476,7.4819,1.78e+14
2300,7.4794,7.4814,1.82e+14
2350,7.4416,7.4809,1.86e+14
2400,7.4948,7.4803,1.90e+14
2450,7.4975,7.4799,1.94e+14
2500,7.5287,7.4795,1.98e+14
2550,7.5696,7.4791,2.02e+14
2600,7.5512,7.4787,2.06e+14
2650,7.5284,7.4783,2.09e+14
2700,7.5313,7.4779,2.13e+14
2750,7.4619,7.4775,2.17e+14
2800,7.4676,7.4771,2.21e+14
2850,7.4819,7.4767,2.25e+14
2900,7.5585,7.4764,2.29e+14
2950,7.4734,7.4761,2.33e+14
3000,7.3911,7.4757,2.37e+14
3050,7.5397,7.4754,2.41e+14
3100,7.4730,7.4751,2.45e+14
3150,7.5091,7.4748,2.49e+14
3200,7.4494,7.4744,2.53e+14
3250,7.5404,7.4741,2.57e+14
3300,7.4174,7.4738,2.61e+14
3350,7.4079,7.4735,2.65e+14
3400,7.5201,7.4732,2.69e+14
3450,7.4837,7.4730,2.73e+14
3500,7.4121,7.4727,2.77e+14
3550,7.4093,7.4724,2.81e+14
3600,7.5782,7.4721,2.85e+14
3650,7.4155,7.4719,2.89e+14
3700,7.5142,7.4717,2.92e+14
3750,7.5304,7.4715,2.96e+14
3800,7.4334,7.4713,3.00e+14
3850,7.4452,7.4711,3.04e+14
3900,7.4119,7.4708,3.08e+14
3950,7.5207,7.4706,3.12e+14
4000,7.4040,7.4704,3.16e+14
4050,7.4457,7.4701,3.20e+14
4100,7.4251,7.4700,3.24e+14
4150,7.4958,7.4698,3.28e+14
4200,7.3771,7.4696,3.32e+14
4250,7.4450,7.4694,3.36e+14
4300,7.4643,7.4692,3.40e+14
4350,7.4927,7.4690,3.44e+14
4400,7.4680,7.4688,3.48e+14
4450,7.3945,7.4687,3.52e+14
4500,7.3491,7.4686,3.56e+14
4550,7.5505,7.4684,3.60e+14
4600,7.4794,7.4682,3.64e+14
4650,7.5033,7.4680,3.68e+14
4700,7.4176,7.4678,3.72e+14
4750,7.4559,7.4676,3.76e+14
4800,7.4930,7.4674,3.79e+14
4850,7.4593,7.4673,3.83e+14
4900,7.4570,7.4671,3.87e+14
4950,7.4941,7.4670,3.91e+14
5000,7.4091,7.4668,3.95e+14
5050,7.3374,7.4666,3.99e+14
5100,7.4924,7.4664,4.03e+14
5150,7.5454,7.4662,4.07e+14
5200,7.5068,7.4659,4.11e+14
5250,7.4538,7.4658,4.15e+14
5300,7.3781,7.4656,4.19e+14
5350,7.4507,7.4654,4.23e+14
5400,7.4225,7.4652,4.27e+14
5450,7.5211,7.4649,4.31e+14
5500,7.4357,7.4647,4.35e+14
5550,7.5214,7.4644,4.39e+14
5600,7.4789,7.4641,4.43e+14
5650,7.5578,7.4639,4.47e+14
5700,7.4842,7.4636,4.51e+14
5750,7.4778,7.4632,4.55e+14
5800,7.4257,7.4629,4.59e+14
5850,7.3957,7.4625,4.62e+14
5900,7.3954,7.4621,4.66e+14
5950,7.3594,7.4617,4.70e+14
6000,7.4067,7.4612,4.74e+14
6050,7.5116,7.4608,4.78e+14
6100,7.4793,7.4603,4.82e+14
6150,7.5344,7.4598,4.86e+14
6200,7.4429,7.4594,4.90e+14
6250,7.4183,7.4589,4.94e+14
6300,7.3373,7.4583,4.98e+14
6350,7.4220,7.4577,5.02e+14
6400,7.4370,7.4569,5.06e+14
6450,7.4434,7.4563,5.10e+14
6500,7.4341,7.4557,5.14e+14
6550,7.4246,7.4550,5.18e+14
6600,7.4177,7.4542,5.22e+14
6650,7.4789,7.4534,5.26e+14
6700,7.4617,7.4527,5.30e+14
6750,7.3333,7.4519,5.34e+14
6800,7.3344,7.4507,5.38e+14
6850,7.4499,7.4498,5.42e+14
6900,7.4302,7.4488,5.45e+14
6950,7.4214,7.4479,5.49e+14
7000,7.4212,7.4469,5.53e+14
7050,7.3519,7.4458,5.57e+14
7100,7.4137,7.4447,5.61e+14
7150,7.5279,7.4436,5.65e+14
7200,7.4484,7.4422,5.69e+14
7250,7.4970,7.4412,5.73e+14
7300,7.3482,7.4401,5.77e+14
7350,7.3659,7.4390,5.81e+14
7400,7.3919,7.4378,5.85e+14
7450,7.4336,7.4366,5.89e+14
7500,7.5394,7.4355,5.93e+14
7550,7.3533,7.4343,5.97e+14
7600,7.4438,7.4327,6.01e+14
7650,7.3278,7.4314,6.05e+14
7700,7.4154,7.4301,6.09e+14
7750,7.4884,7.4287,6.13e+14
7800,7.3844,7.4274,6.17e+14
7850,7.3981,7.4260,6.21e+14
7900,7.4753,7.4247,6.25e+14
7950,7.4178,7.4233,6.28e+14
8000,7.3315,7.4216,6.32e+14
8050,7.4055,7.4202,6.36e+14
8100,7.3831,7.4188,6.40e+14
8150,7.2888,7.4175,6.44e+14
8200,7.3751,7.4162,6.48e+14
8250,7.4275,7.4149,6.52e+14
8300,7.3673,7.4136,6.56e+14
8350,7.5000,7.4124,6.60e+14
8400,7.2951,7.4107,6.64e+14
8450,7.4011,7.4094,6.68e+14
8500,7.4508,7.4082,6.72e+14
8550,7.4070,7.4070,6.76e+14
8600,7.3978,7.4059,6.80e+14
8650,7.4476,7.4048,6.84e+14
8700,7.4162,7.4037,6.88e+14
8750,7.4431,7.4025,6.92e+14
8800,7.4563,7.4010,6.96e+14
8850,7.3577,7.4000,7.00e+14
8900,7.3997,7.3989,7.04e+14
8950,7.3577,7.3978,7.08e+14
9000,7.4535,7.3967,7.11e+14
9050,7.3711,7.3956,7.15e+14
9100,7.4608,7.3946,7.19e+14
9150,7.4486,7.3936,7.23e+14
9200,7.3071,7.3921,7.27e+14
9250,7.2802,7.3910,7.31e+14
9300,7.4069,7.3899,7.35e+14
9350,7.4132,7.3888,7.39e+14
9400,7.3484,7.3877,7.43e+14
9450,7.4377,7.3866,7.47e+14
9500,7.3857,7.3855,7.51e+14
9550,7.3626,7.3844,7.55e+14
9600,7.4518,7.3828,7.59e+14
9650,7.4488,7.3816,7.63e+14
9700,7.2806,7.3805,7.67e+14
9750,7.3482,7.3794,7.71e+14
9800,7.3911,7.3782,7.75e+14
9850,7.3428,7.3769,7.79e+14
9900,7.4135,7.3755,7.83e+14
9950,7.2863,7.3743,7.87e+14
10000,7.3731,7.3728,7.91e+14
10050,7.2975,7.3717,7.94e+14
10100,7.3150,7.3707,7.98e+14
10150,7.3859,7.3697,8.02e+14
10200,7.2964,7.3687,8.06e+14
10250,7.3755,7.3677,8.10e+14
10300,7.4960,7.3667,8.14e+14
10350,7.3846,7.3655,8.18e+14
10400,7.2570,7.3641,8.22e+14
10450,7.3414,7.3630,8.26e+14
10500,7.3265,7.3620,8.30e+14
10550,7.2914,7.3611,8.34e+14
10600,7.2499,7.3602,8.38e+14
10650,7.3895,7.3592,8.42e+14
10700,7.3108,7.3583,8.46e+14
10750,7.3155,7.3574,8.50e+14
10800,7.3042,7.3564,8.54e+14
10850,7.2140,7.3556,8.58e+14
10900,7.4130,7.3548,8.62e+14
10950,7.4069,7.3540,8.66e+14
11000,7.2518,7.3532,8.70e+14
11050,7.3870,7.3524,8.74e+14
11100,7.3522,7.3515,8.77e+14
11150,7.3737,7.3506,8.81e+14
11200,7.3765,7.3494,8.85e+14
11250,7.4245,7.3486,8.89e+14
11300,7.3879,7.3477,8.93e+14
11350,7.3170,7.3467,8.97e+14
11400,7.2558,7.3459,9.01e+14
11450,7.2917,7.3450,9.05e+14
11500,7.3985,7.3443,9.09e+14
11550,7.4019,7.3435,9.13e+14
11600,7.4651,7.3425,9.17e+14
11650,7.3683,7.3419,9.21e+14
11700,7.3635,7.3412,9.25e+14
11750,7.3475,7.3405,9.29e+14
11800,7.4097,7.3398,9.33e+14
11850,7.3205,7.3391,9.37e+14
11900,7.2658,7.3384,9.41e+14
11950,7.3435,7.3378,9.45e+14
12000,7.3371,7.3369,9.49e+14
12050,7.3232,7.3362,9.53e+14
12100,7.3628,7.3355,9.57e+14
12150,7.3151,7.3349,9.61e+14
12200,7.3682,7.3342,9.64e+14
12250,7.3006,7.3336,9.68e+14
12300,7.3093,7.3329,9.72e+14
12350,7.3234,7.3323,9.76e+14
12400,7.3091,7.3314,9.80e+14
12450,7.2887,7.3308,9.84e+14
12500,7.4125,7.3301,9.88e+14
12550,7.2792,7.3295,9.92e+14
12600,7.3175,7.3289,9.96e+14
12650,7.4301,7.3283,1.00e+15
12700,7.3598,7.3277,1.00e+15
12750,7.2929,7.3272,1.01e+15
12800,7.2705,7.3264,1.01e+15
12850,7.3705,7.3259,1.02e+15
12900,7.3283,7.3253,1.02e+15
12950,7.3201,7.3248,1.02e+15
13000,7.3524,7.3242,1.03e+15
13050,7.2568,7.3236,1.03e+15
13100,7.3324,7.3229,1.04e+15
13150,7.2446,7.3221,1.04e+15
13200,7.3170,7.3210,1.04e+15
13250,7.2990,7.3203,1.05e+15
13300,7.2865,7.3196,1.05e+15
13350,7.3929,7.3189,1.06e+15
13400,7.2397,7.3182,1.06e+15
13450,7.3167,7.3175,1.06e+15
13500,7.3244,7.3168,1.07e+15
13550,7.3807,7.3162,1.07e+15
13600,7.2319,7.3152,1.08e+15
13650,7.3503,7.3145,1.08e+15
13700,7.2851,7.3137,1.08e+15
13750,7.3333,7.3130,1.09e+15
13800,7.2355,7.3122,1.09e+15
13850,7.2999,7.3114,1.09e+15
13900,7.2856,7.3107,1.10e+15
13950,7.2844,7.3099,1.10e+15
14000,7.3329,7.3087,1.11e+15
14050,7.4213,7.3077,1.11e+15
14100,7.3666,7.3067,1.11e+15
14150,7.3319,7.3056,1.12e+15
14200,7.3750,7.3044,1.12e+15
14250,7.3310,7.3030,1.13e+15
14300,7.3057,7.3016,1.13e+15
14350,7.2891,7.3001,1.13e+15
14400,7.2388,7.2981,1.14e+15
14450,7.3668,7.2964,1.14e+15
14500,7.3260,7.2947,1.15e+15
14550,7.2056,7.2929,1.15e+15
14600,7.3288,7.2911,1.15e+15
14650,7.3861,7.2891,1.16e+15
14700,7.3042,7.2871,1.16e+15
14750,7.2450,7.2851,1.17e+15
14800,7.2659,7.2824,1.17e+15
14850,7.2888,7.2802,1.17e+15
14900,7.3212,7.2779,1.18e+15
14950,7.2805,7.2756,1.18e+15
15000,7.2343,7.2732,1.19e+15
15050,7.4413,7.2706,1.19e+15
15100,7.2544,7.2679,1.19e+15
15150,7.1927,7.2651,1.20e+15
15200,7.2187,7.2613,1.20e+15
15250,7.2010,7.2583,1.21e+15
15300,7.2208,7.2553,1.21e+15
15350,7.2972,7.2523,1.21e+15
15400,7.3123,7.2492,1.22e+15
15450,7.1805,7.2459,1.22e+15
15500,7.3254,7.2425,1.23e+15
15550,7.3349,7.2388,1.23e+15
15600,7.2457,7.2337,1.23e+15
15650,7.1660,7.2298,1.24e+15
15700,7.1471,7.2260,1.24e+15
15750,7.2222,7.2221,1.25e+15
15800,7.2460,7.2183,1.25e+15
15850,7.2997,7.2144,1.25e+15
15900,7.1187,7.2105,1.26e+15
15950,7.0880,7.2066,1.26e+15
16000,7.1132,7.2015,1.26e+15
16050,7.1621,7.1978,1.27e+15
16100,7.1124,7.1941,1.27e+15
16150,7.1955,7.1905,1.28e+15
16200,7.2680,7.1870,1.28e+15
16250,7.2847,7.1836,1.28e+15
16300,7.2077,7.1803,1.29e+15
16350,7.0725,7.1770,1.29e+15
16400,7.0815,7.1727,1.30e+15
16450,7.2705,7.1696,1.30e+15
16500,7.1222,7.1665,1.30e+15
16550,7.1029,7.1636,1.31e+15
16600,7.0920,7.1607,1.31e+15
16650,7.1321,7.1579,1.32e+15
16700,7.1251,7.1551,1.32e+15
16750,7.1373,7.1523,1.32e+15
16800,7.0330,7.1487,1.33e+15
16850,7.0882,7.1460,1.33e+15
16900,7.0857,7.1434,1.34e+15
16950,7.1298,7.1409,1.34e+15
17000,7.1444,7.1385,1.34e+15
17050,7.1171,7.1360,1.35e+15
17100,7.1594,7.1335,1.35e+15
17150,7.2283,7.1311,1.36e+15
17200,7.2042,7.1279,1.36e+15
17250,7.2168,7.1256,1.36e+15
17300,7.1303,7.1234,1.37e+15
17350,7.1601,7.1212,1.37e+15
17400,7.0751,7.1190,1.38e+15
17450,7.2433,7.1169,1.38e+15
17500,7.1241,7.1147,1.38e+15
17550,7.0840,7.1126,1.39e+15
17600,7.1861,7.1098,1.39e+15
17650,7.0351,7.1078,1.40e+15
17700,7.0868,7.1057,1.40e+15
17750,7.0581,7.1036,1.40e+15
17800,7.1400,7.1016,1.41e+15
17850,7.1034,7.0995,1.41e+15
