step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
50,9.4612,9.4156,8.39e+12,8.52e+12,409600
100,7.7243,7.7220,1.68e+13,1.70e+13,819200
150,7.5650,7.5071,2.52e+13,2.56e+13,1228800
200,7.3604,7.3058,3.36e+13,3.41e+13,1638400
250,7.0240,6.9663,4.19e+13,4.26e+13,2048000
300,6.7010,6.7746,5.03e+13,5.11e+13,2457600
350,6.5926,6.6244,5.87e+13,5.96e+13,2867200
400,6.4176,6.5011,6.71e+13,6.82e+13,3276800
450,6.4389,6.4076,7.55e+13,7.67e+13,3686400
500,6.3809,6.3353,8.39e+13,8.52e+13,4096000
550,6.2103,6.2655,9.23e+13,9.37e+13,4505600
600,6.1052,6.2006,1.01e+14,1.02e+14,4915200
650,6.1161,6.1427,1.09e+14,1.11e+14,5324800
700,6.0573,6.0943,1.17e+14,1.19e+14,5734400
750,6.0700,6.0364,1.26e+14,1.28e+14,6144000
800,5.9510,5.9830,1.34e+14,1.36e+14,6553600
850,5.9897,5.9376,1.43e+14,1.45e+14,6963200
900,5.9412,5.9055,1.51e+14,1.53e+14,7372800
950,5.8844,5.8754,1.59e+14,1.62e+14,7782400
1000,5.7717,5.8454,1.68e+14,1.70e+14,8192000
1050,5.8835,5.8191,1.76e+14,1.79e+14,8601600
1100,5.7651,5.7962,1.85e+14,1.87e+14,9011200
1150,5.7892,5.7696,1.93e+14,1.96e+14,9420800
1200,5.7603,5.7578,2.01e+14,2.04e+14,9830400
1250,5.7998,5.7376,2.10e+14,2.13e+14,10240000
1300,5.7844,5.7197,2.18e+14,2.22e+14,10649600
1350,5.7636,5.7044,2.27e+14,2.30e+14,11059200
1400,5.6319,5.6878,2.35e+14,2.39e+14,11468800
1450,5.7781,5.6695,2.43e+14,2.47e+14,11878400
1500,5.6252,5.6626,2.52e+14,2.56e+14,12288000
1550,5.6471,5.6422,2.60e+14,2.64e+14,12697600
1600,5.6319,5.6353,2.68e+14,2.73e+14,13107200
1650,5.6326,5.6281,2.77e+14,2.81e+14,13516800
1700,5.6472,5.6119,2.85e+14,2.90e+14,13926400
1750,5.6130,5.6100,2.94e+14,2.98e+14,14336000
1800,5.5029,5.5949,3.02e+14,3.07e+14,14745600
1850,5.5239,5.5826,3.10e+14,3.15e+14,15155200
1900,5.6324,5.5732,3.19e+14,3.24e+14,15564800
1950,5.6542,5.5660,3.27e+14,3.32e+14,15974400
2000,5.6435,5.5575,3.36e+14,3.41e+14,16384000
2050,5.6615,5.5502,3.44e+14,3.49e+14,16793600
2100,5.5049,5.5393,3.52e+14,3.58e+14,17203200
2150,5.5047,5.5394,3.61e+14,3.66e+14,17612800
2200,5.6564,5.5296,3.69e+14,3.75e+14,18022400
2250,5.5213,5.5221,3.78e+14,3.83e+14,18432000
2300,5.6284,5.5160,3.86e+14,3.92e+14,18841600
2350,5.4913,5.5054,3.94e+14,4.00e+14,19251200
2400,5.5905,5.5021,4.03e+14,4.09e+14,19660800
2450,5.5063,5.4929,4.11e+14,4.17e+14,20070400
2500,5.5750,5.4861,4.19e+14,4.26e+14,20480000
2550,5.5781,5.4821,4.28e+14,4.35e+14,20889600
2600,5.4966,5.4799,4.36e+14,4.43e+14,21299200
2650,5.4831,5.4733,4.45e+14,4.52e+14,21708800
2700,5.3918,5.4651,4.53e+14,4.60e+14,22118400
2750,5.3920,5.4548,4.61e+14,4.69e+14,22528000
2800,5.4793,5.4530,4.70e+14,4.77e+14,22937600
2850,5.5792,5.4488,4.78e+14,4.86e+14,23347200
2900,5.5072,5.4443,4.87e+14,4.94e+14,23756800
2950,5.4240,5.4380,4.95e+14,5.03e+14,24166400
3000,5.4656,5.4312,5.03e+14,5.11e+14,24576000
3050,5.5042,5.4285,5.12e+14,5.20e+14,24985600
3100,5.3896,5.4264,5.20e+14,5.28e+14,25395200
3150,5.4592,5.4197,5.29e+14,5.37e+14,25804800
3200,5.5592,5.4154,5.37e+14,5.45e+14,26214400
3250,5.4132,5.4101,5.45e+14,5.54e+14,26624000
3300,5.3047,5.4045,5.54e+14,5.62e+14,27033600
3350,5.3829,5.3988,5.62e+14,5.71e+14,27443200
3400,5.6061,5.3978,5.70e+14,5.79e+14,27852800
3450,5.3657,5.3897,5.79e+14,5.88e+14,28262400
3500,5.3748,5.3860,5.87e+14,5.96e+14,28672000
3550,5.4199,5.3827,5.96e+14,6.05e+14,29081600
3600,5.4019,5.3793,6.04e+14,6.13e+14,29491200
3650,5.3353,5.3737,6.12e+14,6.22e+14,29900800
3700,5.4105,5.3720,6.21e+14,6.30e+14,30310400
3750,5.3739,5.3656,6.29e+14,6.39e+14,30720000
3800,5.3159,5.3639,6.38e+14,6.48e+14,31129600
3850,5.4335,5.3567,6.46e+14,6.56e+14,31539200
3900,5.4699,5.3539,6.54e+14,6.65e+14,31948800
3950,5.2403,5.3473,6.63e+14,6.73e+14,32358400
4000,5.4497,5.3443,6.71e+14,6.82e+14,32768000
4050,5.3270,5.3437,6.80e+14,6.90e+14,33177600
4100,5.2217,5.3399,6.88e+14,6.99e+14,33587200
4150,5.3977,5.3368,6.96e+14,7.07e+14,33996800
4200,5.4676,5.3309,7.05e+14,7.16e+14,34406400
4250,5.4149,5.3257,7.13e+14,7.24e+14,34816000
4300,5.1915,5.3230,7.21e+14,7.33e+14,35225600
4350,5.2876,5.3184,7.30e+14,7.41e+14,35635200
4400,5.4654,5.3153,7.38e+14,7.50e+14,36044800
4450,5.1721,5.3124,7.47e+14,7.58e+14,36454400
4500,5.2409,5.3083,7.55e+14,7.67e+14,36864000
4550,5.2810,5.3066,7.63e+14,7.75e+14,37273600
4600,5.3151,5.2998,7.72e+14,7.84e+14,37683200
4650,5.3662,5.2977,7.80e+14,7.92e+14,38092800
4700,5.2658,5.2943,7.89e+14,8.01e+14,38502400
4750,5.3217,5.2914,7.97e+14,8.09e+14,38912000
4800,5.4488,5.2880,8.05e+14,8.18e+14,39321600
4850,5.2988,5.2832,8.14e+14,8.26e+14,39731200
4900,5.2648,5.2795,8.22e+14,8.35e+14,40140800
4950,5.1726,5.2772,8.31e+14,8.43e+14,40550400
5000,5.3539,5.2739,8.39e+14,8.52e+14,40960000
5050,5.2560,5.2715,8.47e+14,8.61e+14,41369600
5100,5.2990,5.2690,8.56e+14,8.69e+14,41779200
5150,5.3434,5.2653,8.64e+14,8.78e+14,42188800
5200,5.2875,5.2628,8.73e+14,8.86e+14,42598400
5250,5.2563,5.2598,8.81e+14,8.95e+14,43008000
5300,5.1949,5.2555,8.89e+14,9.03e+14,43417600
5350,5.3443,5.2539,8.98e+14,9.12e+14,43827200
5400,5.2061,5.2517,9.06e+14,9.20e+14,44236800
5450,5.2938,5.2488,9.14e+14,9.29e+14,44646400
5500,5.3330,5.2459,9.23e+14,9.37e+14,45056000
5550,5.2992,5.2441,9.31e+14,9.46e+14,45465600
5600,5.2294,5.2419,9.40e+14,9.54e+14,45875200
5650,5.1878,5.2400,9.48e+14,9.63e+14,46284800
5700,5.1776,5.2378,9.56e+14,9.71e+14,46694400
5750,5.2229,5.2349,9.65e+14,9.80e+14,47104000
5800,5.2794,5.2319,9.73e+14,9.88e+14,47513600
