step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
50,10.3478,10.3261,8.39e+12,8.54e+12,409600
100,9.0874,9.0555,1.68e+13,1.71e+13,819200
150,7.9812,7.9097,2.52e+13,2.56e+13,1228800
200,7.7136,7.6240,3.36e+13,3.42e+13,1638400
250,7.5283,7.4561,4.19e+13,4.27e+13,2048000
300,7.2681,7.2648,5.03e+13,5.12e+13,2457600
350,6.9882,7.0457,5.87e+13,5.98e+13,2867200
400,6.7455,6.8670,6.71e+13,6.83e+13,3276800
450,6.7065,6.7430,7.55e+13,7.69e+13,3686400
500,6.6766,6.6550,8.39e+13,8.54e+13,4096000
550,6.6613,6.5733,9.23e+13,9.39e+13,4505600
600,6.5451,6.5147,1.01e+14,1.02e+14,4915200
650,6.5079,6.4605,1.09e+14,1.11e+14,5324800
700,6.4246,6.4028,1.17e+14,1.20e+14,5734400
750,6.2997,6.3385,1.26e+14,1.28e+14,6144000
800,6.3570,6.2799,1.34e+14,1.37e+14,6553600
850,6.2281,6.2258,1.43e+14,1.45e+14,6963200
900,6.1393,6.1800,1.51e+14,1.54e+14,7372800
950,6.1775,6.1294,1.59e+14,1.62e+14,7782400
1000,6.0232,6.0857,1.68e+14,1.71e+14,8192000
1050,5.9866,6.0496,1.76e+14,1.79e+14,8601600
1100,6.0146,6.0164,1.85e+14,1.88e+14,9011200
1150,5.9348,5.9825,1.93e+14,1.96e+14,9420800
1200,5.9810,5.9550,2.01e+14,2.05e+14,9830400
1250,5.9102,5.9244,2.10e+14,2.14e+14,10240000
1300,5.8664,5.8991,2.18e+14,2.22e+14,10649600
1350,5.9260,5.8844,2.26e+14,2.31e+14,11059200
1400,5.9209,5.8584,2.35e+14,2.39e+14,11468800
1450,5.8020,5.8397,2.43e+14,2.48e+14,11878400
1500,5.8744,5.8213,2.52e+14,2.56e+14,12288000
1550,5.6776,5.8015,2.60e+14,2.65e+14,12697600
1600,5.8019,5.7911,2.68e+14,2.73e+14,13107200
1650,5.8088,5.7739,2.77e+14,2.82e+14,13516800
1700,5.7633,5.7555,2.85e+14,2.90e+14,13926400
1750,5.8117,5.7412,2.94e+14,2.99e+14,14336000
1800,5.7175,5.7291,3.02e+14,3.07e+14,14745600
1850,5.7493,5.7158,3.10e+14,3.16e+14,15155200
1900,5.7542,5.7085,3.19e+14,3.25e+14,15564800
1950,5.6929,5.6943,3.27e+14,3.33e+14,15974400
2000,5.6931,5.6777,3.36e+14,3.42e+14,16384000
2050,5.5953,5.6732,3.44e+14,3.50e+14,16793600
2100,5.5775,5.6594,3.52e+14,3.59e+14,17203200
2150,5.5998,5.6509,3.61e+14,3.67e+14,17612800
2200,5.6485,5.6468,3.69e+14,3.76e+14,18022400
2250,5.7621,5.6363,3.77e+14,3.84e+14,18432000
2300,5.5670,5.6234,3.86e+14,3.93e+14,18841600
2350,5.5875,5.6194,3.94e+14,4.01e+14,19251200
2400,5.6520,5.6102,4.03e+14,4.10e+14,19660800
2450,5.6880,5.6027,4.11e+14,4.18e+14,20070400
2500,5.5652,5.5967,4.19e+14,4.27e+14,20480000
2550,5.5365,5.5853,4.28e+14,4.36e+14,20889600
2600,5.5071,5.5806,4.36e+14,4.44e+14,21299200
2650,5.5869,5.5746,4.45e+14,4.53e+14,21708800
2700,5.5685,5.5698,4.53e+14,4.61e+14,22118400
2750,5.5657,5.5626,4.61e+14,4.70e+14,22528000
2800,5.6441,5.5585,4.70e+14,4.78e+14,22937600
2850,5.5532,5.5488,4.78e+14,4.87e+14,23347200
2900,5.4559,5.5479,4.87e+14,4.95e+14,23756800
2950,5.5488,5.5393,4.95e+14,5.04e+14,24166400
3000,5.5589,5.5330,5.03e+14,5.12e+14,24576000
3050,5.4429,5.5278,5.12e+14,5.21e+14,24985600
3100,5.5343,5.5209,5.20e+14,5.29e+14,25395200
3150,5.5530,5.5174,5.28e+14,5.38e+14,25804800
3200,5.4509,5.5148,5.37e+14,5.47e+14,26214400
3250,5.4349,5.5079,5.45e+14,5.55e+14,26624000
3300,5.4324,5.5025,5.54e+14,5.64e+14,27033600
3350,5.6088,5.4972,5.62e+14,5.72e+14,27443200
3400,5.6848,5.4898,5.70e+14,5.81e+14,27852800
3450,5.4519,5.4904,5.79e+14,5.89e+14,28262400
3500,5.4283,5.4824,5.87e+14,5.98e+14,28672000
3550,5.5775,5.4803,5.96e+14,6.06e+14,29081600
3600,5.4916,5.4757,6.04e+14,6.15e+14,29491200
3650,5.4625,5.4691,6.12e+14,6.23e+14,29900800
3700,5.5062,5.4635,6.21e+14,6.32e+14,30310400
3750,5.3527,5.4655,6.29e+14,6.41e+14,30720000
3800,5.4829,5.4575,6.38e+14,6.49e+14,31129600
3850,5.5211,5.4527,6.46e+14,6.58e+14,31539200
3900,5.4557,5.4520,6.54e+14,6.66e+14,31948800
3950,5.5596,5.4452,6.63e+14,6.75e+14,32358400
4000,5.4247,5.4413,6.71e+14,6.83e+14,32768000
4050,5.3919,5.4382,6.79e+14,6.92e+14,33177600
4100,5.4312,5.4348,6.88e+14,7.00e+14,33587200
4150,5.3350,5.4310,6.96e+14,7.09e+14,33996800
4200,5.2163,5.4283,7.05e+14,7.17e+14,34406400
4250,5.4410,5.4248,7.13e+14,7.26e+14,34816000
4300,5.3701,5.4208,7.21e+14,7.34e+14,35225600
4350,5.2594,5.4174,7.30e+14,7.43e+14,35635200
4400,5.4000,5.4151,7.38e+14,7.52e+14,36044800
4450,5.3250,5.4114,7.47e+14,7.60e+14,36454400
4500,5.3916,5.4085,7.55e+14,7.69e+14,36864000
4550,5.4358,5.4044,7.63e+14,7.77e+14,37273600
4600,5.4057,5.4004,7.72e+14,7.86e+14,37683200
4650,5.4147,5.4052,7.80e+14,7.94e+14,38092800
4700,5.4025,5.3954,7.89e+14,8.03e+14,38502400
4750,5.2914,5.3938,7.97e+14,8.11e+14,38912000
4800,5.3403,5.3902,8.05e+14,8.20e+14,39321600
4850,5.3552,5.3890,8.14e+14,8.28e+14,39731200
4900,5.5356,5.3848,8.22e+14,8.37e+14,40140800
4950,5.3919,5.3828,8.30e+14,8.45e+14,40550400
5000,5.3956,5.3806,8.39e+14,8.54e+14,40960000
5050,5.4612,5.3767,8.47e+14,8.63e+14,41369600
5100,5.4059,5.3753,8.56e+14,8.71e+14,41779200
5150,5.4065,5.3726,8.64e+14,8.80e+14,42188800
5200,5.3427,5.3707,8.72e+14,8.88e+14,42598400
5250,5.4111,5.3673,8.81e+14,8.97e+14,43008000
5300,5.4841,5.3658,8.89e+14,9.05e+14,43417600
5350,5.3779,5.3635,8.98e+14,9.14e+14,43827200
5400,5.3465,5.3611,9.06e+14,9.22e+14,44236800
5450,5.3776,5.3607,9.14e+14,9.31e+14,44646400
5500,5.3950,5.3571,9.23e+14,9.39e+14,45056000
5550,5.4544,5.3561,9.31e+14,9.48e+14,45465600
5600,5.3190,5.3531,9.40e+14,9.56e+14,45875200
5650,5.2162,5.3510,9.48e+14,9.65e+14,46284800
5700,5.3198,5.3499,9.56e+14,9.74e+14,46694400
5750,5.4300,5.3482,9.65e+14,9.82e+14,47104000
5800,5.2977,5.3474,9.73e+14,9.91e+14,47513600
5850,5.3343,5.3451,9.81e+14,9.99e+14,47923200
5900,5.4829,5.3439,9.90e+14,1.01e+15,48332800
5950,5.3716,5.3419,9.98e+14,1.02e+15,48742400
6000,5.4166,5.3399,1.01e+15,1.02e+15,49152000
6050,5.4347,5.3399,1.01e+15,1.03e+15,49561600
6100,5.4870,5.3379,1.02e+15,1.04e+15,49971200
6150,5.4993,5.3365,1.03e+15,1.05e+15,50380800
6200,5.3157,5.3353,1.04e+15,1.06e+15,50790400
6250,5.3079,5.3340,1.05e+15,1.07e+15,51200000
6300,5.3688,5.3324,1.06e+15,1.08e+15,51609600
6350,5.3330,5.3317,1.07e+15,1.08e+15,52019200
6400,5.3773,5.3304,1.07e+15,1.09e+15,52428800
6450,5.3340,5.3297,1.08e+15,1.10e+15,52838400
6500,5.3493,5.3298,1.09e+15,1.11e+15,53248000
6550,5.2194,5.3280,1.10e+15,1.12e+15,53657600
6600,5.3347,5.3271,1.11e+15,1.13e+15,54067200
6650,5.3491,5.3266,1.12e+15,1.14e+15,54476800
6700,5.3095,5.3256,1.12e+15,1.14e+15,54886400
6750,5.3398,5.3255,1.13e+15,1.15e+15,55296000
