step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
50,9.5582,9.5340,8.55e+12,8.68e+12,409600
100,7.7435,7.7024,1.71e+13,1.74e+13,819200
150,7.3078,7.2687,2.57e+13,2.61e+13,1228800
200,6.8161,6.9012,3.42e+13,3.47e+13,1638400
250,6.6039,6.6651,4.28e+13,4.34e+13,2048000
300,6.4055,6.4943,5.13e+13,5.21e+13,2457600
350,6.4844,6.3807,5.99e+13,6.08e+13,2867200
400,6.2981,6.2770,6.84e+13,6.95e+13,3276800
450,6.1935,6.2005,7.70e+13,7.82e+13,3686400
500,6.0562,6.1430,8.55e+13,8.68e+13,4096000
550,6.0150,6.0748,9.41e+13,9.55e+13,4505600
600,5.9651,6.0336,1.03e+14,1.04e+14,4915200
650,6.0204,5.9885,1.11e+14,1.13e+14,5324800
700,5.9635,5.9521,1.20e+14,1.22e+14,5734400
750,5.9112,5.9176,1.28e+14,1.30e+14,6144000
800,5.8045,5.8985,1.37e+14,1.39e+14,6553600
850,5.8406,5.8524,1.45e+14,1.48e+14,6963200
900,5.8447,5.8199,1.54e+14,1.56e+14,7372800
950,5.7505,5.7873,1.62e+14,1.65e+14,7782400
1000,5.6495,5.7532,1.71e+14,1.74e+14,8192000
1050,5.7921,5.7317,1.80e+14,1.82e+14,8601600
1100,5.5928,5.7081,1.88e+14,1.91e+14,9011200
1150,5.6248,5.6886,1.97e+14,2.00e+14,9420800
1200,5.7339,5.6737,2.05e+14,2.08e+14,9830400
1250,5.6411,5.6552,2.14e+14,2.17e+14,10240000
1300,5.5991,5.6424,2.22e+14,2.26e+14,10649600
1350,5.5377,5.6281,2.31e+14,2.34e+14,11059200
1400,5.7024,5.6143,2.39e+14,2.43e+14,11468800
1450,5.4593,5.6023,2.48e+14,2.52e+14,11878400
1500,5.4222,5.5943,2.57e+14,2.61e+14,12288000
1550,5.4710,5.5775,2.65e+14,2.69e+14,12697600
1600,5.4473,5.5688,2.74e+14,2.78e+14,13107200
1650,5.5911,5.5557,2.82e+14,2.87e+14,13516800
1700,5.5831,5.5474,2.91e+14,2.95e+14,13926400
1750,5.3839,5.5388,2.99e+14,3.04e+14,14336000
1800,5.6134,5.5293,3.08e+14,3.13e+14,14745600
1850,5.3914,5.5193,3.16e+14,3.21e+14,15155200
1900,5.5101,5.5043,3.25e+14,3.30e+14,15564800
1950,5.5281,5.4959,3.34e+14,3.39e+14,15974400
2000,5.3004,5.4876,3.42e+14,3.47e+14,16384000
2050,5.5431,5.4851,3.51e+14,3.56e+14,16793600
2100,5.4773,5.4774,3.59e+14,3.65e+14,17203200
2150,5.3957,5.4675,3.68e+14,3.73e+14,17612800
2200,5.4080,5.4637,3.76e+14,3.82e+14,18022400
2250,5.4344,5.4559,3.85e+14,3.91e+14,18432000
2300,5.3812,5.4544,3.93e+14,3.99e+14,18841600
2350,5.3797,5.4437,4.02e+14,4.08e+14,19251200
