step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
50,9.5548,9.5308,8.55e+12,8.68e+12,409600
100,7.7432,7.7021,1.71e+13,1.74e+13,819200
150,7.3066,7.2748,2.57e+13,2.61e+13,1228800
200,6.8215,6.9129,3.42e+13,3.47e+13,1638400
250,6.6072,6.6689,4.28e+13,4.34e+13,2048000
300,6.4075,6.4959,5.13e+13,5.21e+13,2457600
350,6.4950,6.3816,5.99e+13,6.08e+13,2867200
400,6.3021,6.2822,6.84e+13,6.95e+13,3276800
450,6.1873,6.2060,7.70e+13,7.82e+13,3686400
500,6.0691,6.1481,8.55e+13,8.68e+13,4096000
550,6.0091,6.0845,9.41e+13,9.55e+13,4505600
600,5.9692,6.0371,1.03e+14,1.04e+14,4915200
650,6.0250,5.9896,1.11e+14,1.13e+14,5324800
700,5.9643,5.9552,1.20e+14,1.22e+14,5734400
750,5.9068,5.9207,1.28e+14,1.30e+14,6144000
800,5.7948,5.8982,1.37e+14,1.39e+14,6553600
850,5.8383,5.8482,1.45e+14,1.48e+14,6963200
900,5.8479,5.8103,1.54e+14,1.56e+14,7372800
950,5.7380,5.7780,1.62e+14,1.65e+14,7782400
1000,5.6275,5.7441,1.71e+14,1.74e+14,8192000
1050,5.7847,5.7251,1.80e+14,1.82e+14,8601600
1100,5.5854,5.6971,1.88e+14,1.91e+14,9011200
1150,5.6096,5.6805,1.97e+14,2.00e+14,9420800
1200,5.7247,5.6593,2.05e+14,2.08e+14,9830400
1250,5.6089,5.6398,2.14e+14,2.17e+14,10240000
1300,5.5736,5.6250,2.22e+14,2.26e+14,10649600
1350,5.5158,5.6111,2.31e+14,2.34e+14,11059200
1400,5.6798,5.6005,2.39e+14,2.43e+14,11468800
1450,5.4504,5.5844,2.48e+14,2.52e+14,11878400
1500,5.3989,5.5766,2.57e+14,2.61e+14,12288000
1550,5.4470,5.5640,2.65e+14,2.69e+14,12697600
1600,5.4305,5.5550,2.74e+14,2.78e+14,13107200
1650,5.5878,5.5397,2.82e+14,2.87e+14,13516800
1700,5.5603,5.5312,2.91e+14,2.95e+14,13926400
1750,5.3625,5.5262,2.99e+14,3.04e+14,14336000
1800,5.5891,5.5120,3.08e+14,3.13e+14,14745600
1850,5.3760,5.5038,3.16e+14,3.21e+14,15155200
1900,5.5031,5.4898,3.25e+14,3.30e+14,15564800
1950,5.5052,5.4848,3.34e+14,3.39e+14,15974400
2000,5.2781,5.4780,3.42e+14,3.47e+14,16384000
2050,5.5216,5.4687,3.51e+14,3.56e+14,16793600
2100,5.4433,5.4656,3.59e+14,3.65e+14,17203200
2150,5.3841,5.4532,3.68e+14,3.73e+14,17612800
2200,5.4034,5.4488,3.76e+14,3.82e+14,18022400
2250,5.4183,5.4421,3.85e+14,3.91e+14,18432000
2300,5.3621,5.4366,3.93e+14,3.99e+14,18841600
2350,5.3637,5.4334,4.02e+14,4.08e+14,19251200
2400,5.3592,5.4242,4.10e+14,4.17e+14,19660800
2450,5.4242,5.4199,4.19e+14,4.25e+14,20070400
2500,5.2648,5.4115,4.28e+14,4.34e+14,20480000
2550,5.3434,5.4125,4.36e+14,4.43e+14,20889600
2600,5.2067,5.4104,4.45e+14,4.52e+14,21299200
2650,5.2919,5.4046,4.53e+14,4.60e+14,21708800
2700,5.2682,5.3984,4.62e+14,4.69e+14,22118400
2750,5.4161,5.3990,4.70e+14,4.78e+14,22528000
2800,5.3672,5.3927,4.79e+14,4.86e+14,22937600
2850,5.2947,5.3894,4.87e+14,4.95e+14,23347200
2900,5.3309,5.3825,4.96e+14,5.04e+14,23756800
2950,5.2276,5.3769,5.05e+14,5.12e+14,24166400
3000,5.3664,5.3743,5.13e+14,5.21e+14,24576000
3050,5.3343,5.3718,5.22e+14,5.30e+14,24985600
3100,5.3350,5.3674,5.30e+14,5.38e+14,25395200
3150,5.2332,5.3616,5.39e+14,5.47e+14,25804800
3200,5.4360,5.3623,5.47e+14,5.56e+14,26214400
3250,5.2807,5.3575,5.56e+14,5.64e+14,26624000
3300,5.3228,5.3550,5.64e+14,5.73e+14,27033600
3350,5.2245,5.3487,5.73e+14,5.82e+14,27443200
3400,5.2915,5.3443,5.82e+14,5.90e+14,27852800
3450,5.3004,5.3462,5.90e+14,5.99e+14,28262400
3500,5.3071,5.3380,5.99e+14,6.08e+14,28672000
3550,5.4268,5.3352,6.07e+14,6.17e+14,29081600
3600,5.3061,5.3366,6.16e+14,6.25e+14,29491200
3650,5.1521,5.3278,6.24e+14,6.34e+14,29900800
3700,5.3246,5.3323,6.33e+14,6.43e+14,30310400
3750,5.3421,5.3293,6.41e+14,6.51e+14,30720000
3800,5.3786,5.3263,6.50e+14,6.60e+14,31129600
3850,5.2158,5.3178,6.58e+14,6.69e+14,31539200
3900,5.3722,5.3169,6.67e+14,6.77e+14,31948800
3950,5.2002,5.3164,6.76e+14,6.86e+14,32358400
4000,5.3291,5.3111,6.84e+14,6.95e+14,32768000
4050,5.3958,5.3106,6.93e+14,7.03e+14,33177600
4100,5.2729,5.3092,7.01e+14,7.12e+14,33587200
4150,5.1995,5.3081,7.10e+14,7.21e+14,33996800
4200,5.3417,5.3019,7.18e+14,7.29e+14,34406400
4250,5.1396,5.3000,7.27e+14,7.38e+14,34816000
4300,5.2648,5.2960,7.35e+14,7.47e+14,35225600
4350,5.3743,5.2973,7.44e+14,7.55e+14,35635200
4400,5.1946,5.2935,7.53e+14,7.64e+14,36044800
4450,5.2462,5.2925,7.61e+14,7.73e+14,36454400
4500,5.3215,5.2900,7.70e+14,7.82e+14,36864000
4550,5.1119,5.2881,7.78e+14,7.90e+14,37273600
4600,5.3010,5.2867,7.87e+14,7.99e+14,37683200
4650,5.1790,5.2846,7.95e+14,8.08e+14,38092800
4700,5.1448,5.2789,8.04e+14,8.16e+14,38502400
4750,5.1783,5.2782,8.12e+14,8.25e+14,38912000
4800,5.2154,5.2806,8.21e+14,8.34e+14,39321600
4850,5.2710,5.2721,8.30e+14,8.42e+14,39731200
4900,5.2913,5.2751,8.38e+14,8.51e+14,40140800
4950,5.1226,5.2774,8.47e+14,8.60e+14,40550400
5000,5.2771,5.2687,8.55e+14,8.68e+14,40960000
5050,5.1705,5.2735,8.64e+14,8.77e+14,41369600
5100,5.1655,5.2668,8.72e+14,8.86e+14,41779200
5150,5.3009,5.2710,8.81e+14,8.94e+14,42188800
5200,5.2108,5.2657,8.89e+14,9.03e+14,42598400
5250,5.2749,5.2642,8.98e+14,9.12e+14,43008000
5300,5.2727,5.2627,9.06e+14,9.20e+14,43417600
5350,5.3556,5.2601,9.15e+14,9.29e+14,43827200
5400,5.2855,5.2573,9.24e+14,9.38e+14,44236800
5450,5.2207,5.2568,9.32e+14,9.47e+14,44646400
5500,5.2150,5.2579,9.41e+14,9.55e+14,45056000
5550,5.2109,5.2564,9.49e+14,9.64e+14,45465600
5600,5.1681,5.2544,9.58e+14,9.73e+14,45875200
5650,5.1476,5.2499,9.66e+14,9.81e+14,46284800
5700,5.1112,5.2522,9.75e+14,9.90e+14,46694400
5750,5.1938,5.2475,9.83e+14,9.99e+14,47104000
5800,5.2814,5.2472,9.92e+14,1.01e+15,47513600
5850,5.1017,5.2456,1.00e+15,1.02e+15,47923200
5900,5.2038,5.2451,1.01e+15,1.02e+15,48332800
5950,5.1500,5.2410,1.02e+15,1.03e+15,48742400
6000,5.2672,5.2407,1.03e+15,1.04e+15,49152000
6050,5.2161,5.2422,1.03e+15,1.05e+15,49561600
6100,5.1628,5.2367,1.04e+15,1.06e+15,49971200
6150,5.1377,5.2368,1.05e+15,1.07e+15,50380800
6200,5.1398,5.2373,1.06e+15,1.08e+15,50790400
6250,5.1433,5.2345,1.07e+15,1.09e+15,51200000
6300,5.2361,5.2309,1.08e+15,1.09e+15,51609600
6350,5.0675,5.2333,1.09e+15,1.10e+15,52019200
