step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
50,10.8303,10.8293,8.55e+12,8.68e+12,409600
100,10.8046,10.7995,1.71e+13,1.74e+13,819200
150,10.7434,10.7369,2.57e+13,2.61e+13,1228800
200,10.6531,10.6582,3.42e+13,3.47e+13,1638400
250,10.5793,10.5849,4.28e+13,4.34e+13,2048000
300,10.4970,10.5054,5.13e+13,5.21e+13,2457600
350,10.4224,10.4160,5.99e+13,6.08e+13,2867200
400,10.3141,10.3165,6.84e+13,6.95e+13,3276800
450,10.1959,10.2069,7.70e+13,7.82e+13,3686400
500,10.0731,10.0891,8.55e+13,8.68e+13,4096000
550,9.9508,9.9641,9.41e+13,9.55e+13,4505600
600,9.8226,9.8323,1.03e+14,1.04e+14,4915200
650,9.6959,9.6949,1.11e+14,1.13e+14,5324800
700,9.5632,9.5532,1.20e+14,1.22e+14,5734400
750,9.3806,9.4081,1.28e+14,1.30e+14,6144000
800,9.2483,9.2666,1.37e+14,1.39e+14,6553600
850,9.1222,9.1366,1.45e+14,1.48e+14,6963200
900,9.0106,9.0165,1.54e+14,1.56e+14,7372800
950,8.8708,8.9060,1.62e+14,1.65e+14,7782400
1000,8.7446,8.8038,1.71e+14,1.74e+14,8192000
1050,8.7250,8.7092,1.80e+14,1.82e+14,8601600
1100,8.5684,8.6214,1.88e+14,1.91e+14,9011200
1150,8.5253,8.5408,1.97e+14,2.00e+14,9420800
1200,8.4908,8.4658,2.05e+14,2.08e+14,9830400
1250,8.3396,8.3965,2.14e+14,2.17e+14,10240000
1300,8.2895,8.3322,2.22e+14,2.26e+14,10649600
1350,8.1927,8.2725,2.31e+14,2.34e+14,11059200
1400,8.2218,8.2170,2.39e+14,2.43e+14,11468800
1450,8.0901,8.1658,2.48e+14,2.52e+14,11878400
1500,8.0252,8.1181,2.57e+14,2.61e+14,12288000
1550,8.0110,8.0739,2.65e+14,2.69e+14,12697600
1600,7.9277,8.0326,2.74e+14,2.78e+14,13107200
1650,7.9680,7.9943,2.82e+14,2.87e+14,13516800
1700,7.9999,7.9591,2.91e+14,2.95e+14,13926400
1750,7.8233,7.9266,2.99e+14,3.04e+14,14336000
1800,7.9432,7.8960,3.08e+14,3.13e+14,14745600
1850,7.7162,7.8672,3.16e+14,3.21e+14,15155200
1900,7.8252,7.8403,3.25e+14,3.30e+14,15564800
1950,7.7839,7.8152,3.34e+14,3.39e+14,15974400
2000,7.6849,7.7918,3.42e+14,3.47e+14,16384000
2050,7.7622,7.7695,3.51e+14,3.56e+14,16793600
2100,7.7575,7.7488,3.59e+14,3.65e+14,17203200
