step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
50,9.5428,9.4701,8.39e+12,8.52e+12,409600
100,7.6875,7.7155,1.68e+13,1.70e+13,819200
150,7.4038,7.3872,2.52e+13,2.56e+13,1228800
200,6.9141,7.0156,3.36e+13,3.41e+13,1638400
250,6.6547,6.7541,4.19e+13,4.26e+13,2048000
300,6.5441,6.5965,5.03e+13,5.11e+13,2457600
350,6.3802,6.4548,5.87e+13,5.96e+13,2867200
400,6.3469,6.3621,6.71e+13,6.82e+13,3276800
450,6.3697,6.2783,7.55e+13,7.67e+13,3686400
500,6.2474,6.2107,8.39e+13,8.52e+13,4096000
550,6.2102,6.1526,9.23e+13,9.37e+13,4505600
600,6.1700,6.0982,1.01e+14,1.02e+14,4915200
650,6.0150,6.0448,1.09e+14,1.11e+14,5324800
700,6.0207,6.0008,1.17e+14,1.19e+14,5734400
750,5.9368,5.9596,1.26e+14,1.28e+14,6144000
800,5.8684,5.9177,1.34e+14,1.36e+14,6553600
850,5.8590,5.8855,1.43e+14,1.45e+14,6963200
900,5.7674,5.8535,1.51e+14,1.53e+14,7372800
950,5.8789,5.8270,1.59e+14,1.62e+14,7782400
1000,5.7953,5.7942,1.68e+14,1.70e+14,8192000
1050,5.7467,5.7824,1.76e+14,1.79e+14,8601600
1100,5.6825,5.7598,1.85e+14,1.87e+14,9011200
1150,5.7368,5.7400,1.93e+14,1.96e+14,9420800
1200,5.7391,5.7169,2.01e+14,2.04e+14,9830400
1250,5.7225,5.7032,2.10e+14,2.13e+14,10240000
1300,5.6949,5.6886,2.18e+14,2.22e+14,10649600
1350,5.7145,5.6796,2.27e+14,2.30e+14,11059200
1400,5.6596,5.6580,2.35e+14,2.39e+14,11468800
1450,5.5763,5.6428,2.43e+14,2.47e+14,11878400
1500,5.5615,5.6362,2.52e+14,2.56e+14,12288000
1550,5.6534,5.6277,2.60e+14,2.64e+14,12697600
1600,5.6553,5.6164,2.68e+14,2.73e+14,13107200
1650,5.6129,5.6038,2.77e+14,2.81e+14,13516800
1700,5.6137,5.5992,2.85e+14,2.90e+14,13926400
1750,5.6733,5.5835,2.94e+14,2.98e+14,14336000
1800,5.6967,5.5742,3.02e+14,3.07e+14,14745600
1850,5.5465,5.5651,3.10e+14,3.15e+14,15155200
1900,5.5894,5.5682,3.19e+14,3.24e+14,15564800
1950,5.5006,5.5499,3.27e+14,3.32e+14,15974400
2000,5.4455,5.5466,3.36e+14,3.41e+14,16384000
2050,5.5211,5.5341,3.44e+14,3.49e+14,16793600
2100,5.4649,5.5290,3.52e+14,3.58e+14,17203200
2150,5.4735,5.5214,3.61e+14,3.66e+14,17612800
2200,5.5914,5.5162,3.69e+14,3.75e+14,18022400
2250,5.5791,5.5123,3.78e+14,3.83e+14,18432000
2300,5.5647,5.5120,3.86e+14,3.92e+14,18841600
