step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
50,10.4383,10.4128,8.39e+12,8.52e+12,409600
100,9.1576,9.1508,1.68e+13,1.70e+13,819200
150,7.9930,7.9653,2.52e+13,2.56e+13,1228800
200,7.6043,7.6906,3.36e+13,3.41e+13,1638400
250,7.5801,7.6637,4.19e+13,4.26e+13,2048000
300,7.4474,7.4758,5.03e+13,5.11e+13,2457600
350,7.3565,7.4030,5.87e+13,5.96e+13,2867200
400,7.3457,7.3291,6.71e+13,6.82e+13,3276800
450,7.2241,7.1615,7.55e+13,7.67e+13,3686400
500,7.0389,7.0152,8.39e+13,8.52e+13,4096000
550,6.9201,6.8699,9.23e+13,9.37e+13,4505600
600,6.8494,6.7651,1.01e+14,1.02e+14,4915200
650,6.6633,6.6755,1.09e+14,1.11e+14,5324800
700,6.6231,6.5978,1.17e+14,1.19e+14,5734400
750,6.5082,6.5324,1.26e+14,1.28e+14,6144000
800,6.4446,6.4645,1.34e+14,1.36e+14,6553600
850,6.4184,6.4137,1.43e+14,1.45e+14,6963200
900,6.2626,6.3551,1.51e+14,1.53e+14,7372800
950,6.3632,6.2967,1.59e+14,1.62e+14,7782400
1000,6.2632,6.2455,1.68e+14,1.70e+14,8192000
1050,6.1411,6.2008,1.76e+14,1.79e+14,8601600
1100,6.1057,6.1551,1.85e+14,1.87e+14,9011200
1150,6.0955,6.1175,1.93e+14,1.96e+14,9420800
1200,6.0914,6.0740,2.01e+14,2.04e+14,9830400
1250,6.0708,6.0407,2.10e+14,2.13e+14,10240000
1300,6.0469,6.0197,2.18e+14,2.22e+14,10649600
1350,6.0179,5.9847,2.26e+14,2.30e+14,11059200
1400,5.9410,5.9508,2.35e+14,2.39e+14,11468800
1450,5.8538,5.9243,2.43e+14,2.47e+14,11878400
1500,5.8413,5.9027,2.52e+14,2.56e+14,12288000
1550,5.9147,5.8843,2.60e+14,2.64e+14,12697600
1600,5.8940,5.8646,2.68e+14,2.73e+14,13107200
1650,5.8415,5.8416,2.77e+14,2.81e+14,13516800
1700,5.8201,5.8251,2.85e+14,2.90e+14,13926400
1750,5.9020,5.8053,2.94e+14,2.98e+14,14336000
1800,5.9247,5.7909,3.02e+14,3.07e+14,14745600
1850,5.7550,5.7785,3.10e+14,3.15e+14,15155200
1900,5.8092,5.7652,3.19e+14,3.24e+14,15564800
1950,5.7029,5.7494,3.27e+14,3.32e+14,15974400
2000,5.6520,5.7330,3.36e+14,3.41e+14,16384000
2050,5.7139,5.7220,3.44e+14,3.49e+14,16793600
2100,5.6373,5.7118,3.52e+14,3.58e+14,17203200
2150,5.6544,5.7022,3.61e+14,3.66e+14,17612800
2200,5.7361,5.6909,3.69e+14,3.75e+14,18022400
2250,5.7590,5.6789,3.77e+14,3.83e+14,18432000
2300,5.7121,5.6632,3.86e+14,3.92e+14,18841600
2350,5.6752,5.6548,3.94e+14,4.00e+14,19251200
2400,5.6154,5.6493,4.03e+14,4.09e+14,19660800
2450,5.6850,5.6419,4.11e+14,4.17e+14,20070400
2500,5.6872,5.6326,4.19e+14,4.26e+14,20480000
2550,5.5964,5.6198,4.28e+14,4.35e+14,20889600
2600,5.5654,5.6147,4.36e+14,4.43e+14,21299200
2650,5.6425,5.6084,4.45e+14,4.52e+14,21708800
2700,5.5238,5.5984,4.53e+14,4.60e+14,22118400
2750,5.6513,5.5916,4.61e+14,4.69e+14,22528000
