step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
50,7.6841,7.7060,8.39e+12,8.52e+12,409600
100,7.3226,7.4138,1.68e+13,1.70e+13,819200
150,7.1968,7.1675,2.52e+13,2.56e+13,1228800
200,6.8476,6.9342,3.36e+13,3.41e+13,1638400
250,6.7697,6.8122,4.19e+13,4.26e+13,2048000
300,6.6485,6.7060,5.03e+13,5.11e+13,2457600
350,6.5670,6.5994,5.87e+13,5.96e+13,2867200
400,6.4791,6.5372,6.71e+13,6.82e+13,3276800
450,6.4666,6.4652,7.55e+13,7.67e+13,3686400
500,6.5205,6.4026,8.39e+13,8.52e+13,4096000
550,6.3543,6.3547,9.23e+13,9.37e+13,4505600
600,6.3641,6.3004,1.01e+14,1.02e+14,4915200
650,6.3126,6.2489,1.09e+14,1.11e+14,5324800
700,6.2579,6.2020,1.17e+14,1.19e+14,5734400
750,6.1986,6.1603,1.26e+14,1.28e+14,6144000
800,6.1215,6.1117,1.34e+14,1.36e+14,6553600
850,5.9780,6.0737,1.43e+14,1.45e+14,6963200
900,6.0733,6.0348,1.51e+14,1.53e+14,7372800
950,5.9603,5.9987,1.59e+14,1.62e+14,7782400
1000,5.9854,5.9648,1.68e+14,1.70e+14,8192000
1050,5.9785,5.9306,1.76e+14,1.79e+14,8601600
1100,5.7887,5.8964,1.85e+14,1.87e+14,9011200
1150,5.7865,5.8668,1.93e+14,1.96e+14,9420800
1200,5.7275,5.8341,2.01e+14,2.04e+14,9830400
1250,5.8090,5.8095,2.10e+14,2.13e+14,10240000
1300,5.8108,5.7835,2.18e+14,2.22e+14,10649600
1350,5.7049,5.7623,2.27e+14,2.30e+14,11059200
1400,5.6921,5.7444,2.35e+14,2.39e+14,11468800
1450,5.7016,5.7283,2.43e+14,2.47e+14,11878400
1500,5.7828,5.7121,2.52e+14,2.56e+14,12288000
1550,5.6892,5.7004,2.60e+14,2.64e+14,12697600
