step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
50,9.1111,9.0307,8.39e+12,8.52e+12,409600
100,7.6198,7.6911,1.68e+13,1.70e+13,819200
150,7.4656,7.4405,2.52e+13,2.56e+13,1228800
200,7.0012,7.0931,3.36e+13,3.41e+13,1638400
250,6.8043,6.8383,4.19e+13,4.26e+13,2048000
300,6.6301,6.6669,5.03e+13,5.11e+13,2457600
350,6.5005,6.5363,5.87e+13,5.96e+13,2867200
400,6.3843,6.4322,6.71e+13,6.82e+13,3276800
450,6.3522,6.3511,7.55e+13,7.67e+13,3686400
500,6.4016,6.2786,8.39e+13,8.52e+13,4096000
550,6.2121,6.2118,9.23e+13,9.37e+13,4505600
600,6.2317,6.1599,1.01e+14,1.02e+14,4915200
650,6.1619,6.1016,1.09e+14,1.11e+14,5324800
700,6.0935,6.0541,1.17e+14,1.19e+14,5734400
750,6.0545,6.0107,1.26e+14,1.28e+14,6144000
800,5.9913,5.9684,1.34e+14,1.36e+14,6553600
850,5.8422,5.9314,1.43e+14,1.45e+14,6963200
900,5.9357,5.9000,1.51e+14,1.53e+14,7372800
950,5.8075,5.8726,1.59e+14,1.62e+14,7782400
1000,5.8561,5.8480,1.68e+14,1.70e+14,8192000
1050,5.8742,5.8207,1.76e+14,1.79e+14,8601600
1100,5.6884,5.7952,1.85e+14,1.87e+14,9011200
1150,5.7112,5.7760,1.93e+14,1.96e+14,9420800
1200,5.6451,5.7580,2.01e+14,2.04e+14,9830400
1250,5.7194,5.7418,2.10e+14,2.13e+14,10240000
1300,5.7645,5.7296,2.18e+14,2.22e+14,10649600
1350,5.6680,5.7181,2.27e+14,2.30e+14,11059200
1400,5.6705,5.7072,2.35e+14,2.39e+14,11468800
1450,5.6577,5.6991,2.43e+14,2.47e+14,11878400
1500,5.7572,5.6921,2.52e+14,2.56e+14,12288000
1550,5.6728,5.6845,2.60e+14,2.64e+14,12697600
