step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
50,7.7775,7.7427,8.39e+12,8.54e+12,409600
100,7.5499,7.6234,1.68e+13,1.71e+13,819200
150,7.4565,7.4751,2.52e+13,2.56e+13,1228800
200,7.0905,7.1821,3.36e+13,3.42e+13,1638400
250,6.9741,7.0232,4.19e+13,4.27e+13,2048000
300,6.8259,6.8719,5.03e+13,5.12e+13,2457600
350,6.7389,6.7721,5.87e+13,5.98e+13,2867200
400,6.6475,6.7024,6.71e+13,6.83e+13,3276800
450,6.6550,6.6541,7.55e+13,7.69e+13,3686400
500,6.7366,6.6024,8.39e+13,8.54e+13,4096000
550,6.5482,6.5530,9.23e+13,9.39e+13,4505600
600,6.5825,6.5109,1.01e+14,1.02e+14,4915200
650,6.5331,6.4759,1.09e+14,1.11e+14,5324800
700,6.4536,6.4394,1.17e+14,1.20e+14,5734400
750,6.4610,6.4011,1.26e+14,1.28e+14,6144000
800,6.3570,6.3619,1.34e+14,1.37e+14,6553600
850,6.2343,6.3258,1.43e+14,1.45e+14,6963200
900,6.3301,6.2867,1.51e+14,1.54e+14,7372800
950,6.2115,6.2494,1.59e+14,1.62e+14,7782400
1000,6.2416,6.2228,1.68e+14,1.71e+14,8192000
1050,6.2353,6.1861,1.76e+14,1.79e+14,8601600
1100,6.0594,6.1588,1.85e+14,1.88e+14,9011200
1150,6.0673,6.1276,1.93e+14,1.96e+14,9420800
1200,6.0030,6.1043,2.01e+14,2.05e+14,9830400
1250,6.0718,6.0796,2.10e+14,2.14e+14,10240000
1300,6.1244,6.0625,2.18e+14,2.22e+14,10649600
1350,5.9662,6.0415,2.26e+14,2.31e+14,11059200
1400,5.9935,6.0249,2.35e+14,2.39e+14,11468800
1450,5.9733,6.0115,2.43e+14,2.48e+14,11878400
1500,6.0646,6.0003,2.52e+14,2.56e+14,12288000
1550,5.9620,5.9870,2.60e+14,2.65e+14,12697600
