step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
50,7.8121,7.7885,8.39e+12,8.52e+12,409600
100,7.4763,7.5532,1.68e+13,1.70e+13,819200
150,7.3037,7.2806,2.52e+13,2.56e+13,1228800
200,6.9451,7.0421,3.36e+13,3.41e+13,1638400
250,6.8250,6.8685,4.19e+13,4.26e+13,2048000
300,6.6946,6.7480,5.03e+13,5.11e+13,2457600
350,6.5982,6.6433,5.87e+13,5.96e+13,2867200
400,6.4894,6.5506,6.71e+13,6.82e+13,3276800
450,6.4621,6.4563,7.55e+13,7.67e+13,3686400
500,6.5026,6.3796,8.39e+13,8.52e+13,4096000
550,6.3064,6.3112,9.23e+13,9.37e+13,4505600
600,6.3242,6.2575,1.01e+14,1.02e+14,4915200
650,6.2700,6.2062,1.09e+14,1.11e+14,5324800
700,6.1965,6.1623,1.17e+14,1.19e+14,5734400
750,6.1460,6.1051,1.26e+14,1.28e+14,6144000
800,6.0780,6.0705,1.34e+14,1.36e+14,6553600
850,5.9295,6.0215,1.43e+14,1.45e+14,6963200
900,6.0261,5.9832,1.51e+14,1.53e+14,7372800
950,5.8847,5.9473,1.59e+14,1.62e+14,7782400
1000,5.9293,5.9147,1.68e+14,1.70e+14,8192000
1050,5.9368,5.8802,1.76e+14,1.79e+14,8601600
1100,5.7406,5.8510,1.85e+14,1.87e+14,9011200
1150,5.7445,5.8221,1.93e+14,1.96e+14,9420800
1200,5.6837,5.7948,2.01e+14,2.04e+14,9830400
1250,5.7641,5.7688,2.10e+14,2.13e+14,10240000
1300,5.7784,5.7470,2.18e+14,2.22e+14,10649600
1350,5.6698,5.7251,2.27e+14,2.30e+14,11059200
1400,5.6511,5.7029,2.35e+14,2.39e+14,11468800
1450,5.6543,5.6876,2.43e+14,2.47e+14,11878400
1500,5.7417,5.6726,2.52e+14,2.56e+14,12288000
1550,5.6460,5.6608,2.60e+14,2.64e+14,12697600
