step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
50,10.5789,10.5686,8.39e+12,8.52e+12,409600
100,9.9319,9.9287,1.68e+13,1.70e+13,819200
150,9.0949,9.0785,2.52e+13,2.56e+13,1228800
200,8.3211,8.3674,3.36e+13,3.41e+13,1638400
250,7.9334,7.9710,4.19e+13,4.26e+13,2048000
300,7.7017,7.7616,5.03e+13,5.11e+13,2457600
350,7.6156,7.6617,5.87e+13,5.96e+13,2867200
400,7.5427,7.5937,6.71e+13,6.82e+13,3276800
450,7.5717,7.5240,7.55e+13,7.67e+13,3686400
500,7.5965,7.4604,8.39e+13,8.52e+13,4096000
550,7.4487,7.4036,9.23e+13,9.37e+13,4505600
600,7.4044,7.3539,1.01e+14,1.02e+14,4915200
650,7.3261,7.3007,1.09e+14,1.11e+14,5324800
700,7.2657,7.2552,1.17e+14,1.19e+14,5734400
750,7.2835,7.2183,1.26e+14,1.28e+14,6144000
800,7.1581,7.1770,1.34e+14,1.36e+14,6553600
850,7.0629,7.1378,1.43e+14,1.45e+14,6963200
900,7.1052,7.1031,1.51e+14,1.53e+14,7372800
950,7.0637,7.0682,1.59e+14,1.62e+14,7782400
1000,7.0294,7.0371,1.68e+14,1.70e+14,8192000
1050,7.0547,7.0086,1.76e+14,1.79e+14,8601600
1100,6.8791,6.9797,1.85e+14,1.87e+14,9011200
1150,6.8988,6.9524,1.93e+14,1.96e+14,9420800
1200,6.8300,6.9302,2.01e+14,2.04e+14,9830400
1250,6.8729,6.9051,2.10e+14,2.13e+14,10240000
1300,6.9253,6.8830,2.18e+14,2.22e+14,10649600
1350,6.8334,6.8616,2.27e+14,2.30e+14,11059200
1400,6.8406,6.8402,2.35e+14,2.39e+14,11468800
1450,6.7588,6.8213,2.43e+14,2.47e+14,11878400
1500,6.8607,6.8056,2.52e+14,2.56e+14,12288000
1550,6.7413,6.7888,2.60e+14,2.64e+14,12697600
