step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
50,7.7723,7.7382,8.39e+12,8.52e+12,409600
100,7.3506,7.4190,1.68e+13,1.70e+13,819200
150,7.0325,6.9954,2.52e+13,2.56e+13,1228800
200,6.6600,6.7548,3.36e+13,3.41e+13,1638400
250,6.5794,6.5955,4.20e+13,4.26e+13,2048000
300,6.4360,6.4729,5.03e+13,5.11e+13,2457600
350,6.3286,6.3761,5.87e+13,5.96e+13,2867200
400,6.2362,6.2789,6.71e+13,6.81e+13,3276800
450,6.1973,6.2060,7.55e+13,7.67e+13,3686400
500,6.2470,6.1448,8.39e+13,8.52e+13,4096000
550,6.0835,6.0794,9.23e+13,9.37e+13,4505600
600,6.1036,6.0278,1.01e+14,1.02e+14,4915200
650,6.0430,5.9742,1.09e+14,1.11e+14,5324800
700,5.9482,5.9238,1.17e+14,1.19e+14,5734400
750,5.9221,5.8823,1.26e+14,1.28e+14,6144000
800,5.8627,5.8494,1.34e+14,1.36e+14,6553600
850,5.7146,5.8063,1.43e+14,1.45e+14,6963200
900,5.8089,5.7783,1.51e+14,1.53e+14,7372800
950,5.6668,5.7478,1.59e+14,1.62e+14,7782400
1000,5.7417,5.7217,1.68e+14,1.70e+14,8192000
1050,5.7425,5.6934,1.76e+14,1.79e+14,8601600
1100,5.5485,5.6684,1.85e+14,1.87e+14,9011200
1150,5.5665,5.6469,1.93e+14,1.96e+14,9420800
1200,5.5096,5.6263,2.01e+14,2.04e+14,9830400
1250,5.5904,5.6090,2.10e+14,2.13e+14,10240000
1300,5.6189,5.5931,2.18e+14,2.21e+14,10649600
1350,5.5333,5.5801,2.27e+14,2.30e+14,11059200
1400,5.5168,5.5683,2.35e+14,2.39e+14,11468800
1450,5.5236,5.5568,2.43e+14,2.47e+14,11878400
1500,5.6067,5.5491,2.52e+14,2.56e+14,12288000
1550,5.5434,5.5403,2.60e+14,2.64e+14,12697600
