step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
50,9.0754,9.0067,8.55e+12,8.68e+12,409600
100,7.5444,7.6095,1.71e+13,1.74e+13,819200
150,7.1797,7.1477,2.57e+13,2.61e+13,1228800
200,6.7271,6.8229,3.42e+13,3.47e+13,1638400
250,6.5921,6.6303,4.28e+13,4.34e+13,2048000
300,6.4385,6.4866,5.13e+13,5.21e+13,2457600
350,6.3485,6.3772,5.99e+13,6.08e+13,2867200
400,6.2486,6.2858,6.84e+13,6.95e+13,3276800
450,6.2001,6.2140,7.70e+13,7.82e+13,3686400
500,6.2442,6.1449,8.55e+13,8.68e+13,4096000
550,6.0908,6.0836,9.41e+13,9.55e+13,4505600
600,6.1057,6.0346,1.03e+14,1.04e+14,4915200
650,6.0382,5.9761,1.11e+14,1.13e+14,5324800
700,5.9731,5.9320,1.20e+14,1.22e+14,5734400
750,5.9357,5.8932,1.28e+14,1.30e+14,6144000
800,5.8706,5.8552,1.37e+14,1.39e+14,6553600
850,5.7308,5.8214,1.45e+14,1.48e+14,6963200
900,5.8127,5.7909,1.54e+14,1.56e+14,7372800
950,5.6856,5.7647,1.62e+14,1.65e+14,7782400
1000,5.7532,5.7401,1.71e+14,1.74e+14,8192000
1050,5.7717,5.7181,1.80e+14,1.82e+14,8601600
1100,5.5791,5.6966,1.88e+14,1.91e+14,9011200
1150,5.6097,5.6779,1.97e+14,2.00e+14,9420800
1200,5.5523,5.6620,2.05e+14,2.08e+14,9830400
1250,5.6350,5.6464,2.14e+14,2.17e+14,10240000
1300,5.6616,5.6347,2.22e+14,2.26e+14,10649600
1350,5.5658,5.6244,2.31e+14,2.34e+14,11059200
1400,5.5731,5.6136,2.39e+14,2.43e+14,11468800
1450,5.5766,5.6062,2.48e+14,2.52e+14,11878400
1500,5.6631,5.5991,2.57e+14,2.61e+14,12288000
1550,5.5838,5.5928,2.65e+14,2.69e+14,12697600
