step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
10,10.8247,10.8252,1.68e+12,1.70e+12,81920
20,10.8108,10.8072,3.36e+12,3.41e+12,163840
30,10.7865,10.7841,5.03e+12,5.11e+12,245760
40,10.7721,10.7673,6.71e+12,6.82e+12,327680
50,10.7506,10.7478,8.39e+12,8.52e+12,409600
60,10.7255,10.7198,1.01e+13,1.02e+13,491520
70,10.6860,10.6811,1.17e+13,1.19e+13,573440
80,10.6327,10.6302,1.34e+13,1.36e+13,655360
90,10.5760,10.5665,1.51e+13,1.53e+13,737280
100,10.4915,10.4898,1.68e+13,1.70e+13,819200
110,10.4083,10.3994,1.85e+13,1.87e+13,901120
120,10.3030,10.2956,2.01e+13,2.04e+13,983040
130,10.1967,10.1785,2.18e+13,2.22e+13,1064960
140,10.0512,10.0482,2.35e+13,2.39e+13,1146880
150,9.9377,9.9061,2.52e+13,2.56e+13,1228800
160,9.7803,9.7555,2.68e+13,2.73e+13,1310720
170,9.6492,9.6114,2.85e+13,2.90e+13,1392640
180,9.5061,9.5033,3.02e+13,3.07e+13,1474560
190,9.4184,9.4501,3.19e+13,3.24e+13,1556480
200,9.4236,9.4055,3.36e+13,3.41e+13,1638400
210,9.3192,9.3233,3.52e+13,3.58e+13,1720320
220,9.2226,9.2154,3.69e+13,3.75e+13,1802240
230,9.1034,9.1542,3.86e+13,3.92e+13,1884160
240,9.1305,9.1276,4.03e+13,4.09e+13,1966080
250,9.1423,9.1062,4.19e+13,4.26e+13,2048000
260,9.1213,9.0699,4.36e+13,4.43e+13,2129920
270,9.0016,9.0104,4.53e+13,4.60e+13,2211840
280,8.9342,8.9474,4.70e+13,4.77e+13,2293760
290,8.9542,8.8987,4.87e+13,4.94e+13,2375680
300,8.8501,8.8626,5.03e+13,5.11e+13,2457600
310,8.8008,8.8312,5.20e+13,5.28e+13,2539520
320,8.8652,8.7979,5.37e+13,5.45e+13,2621440
330,8.7691,8.7612,5.54e+13,5.62e+13,2703360
340,8.7379,8.7259,5.70e+13,5.79e+13,2785280
350,8.7666,8.6960,5.87e+13,5.96e+13,2867200
360,8.5854,8.6702,6.04e+13,6.13e+13,2949120
370,8.7208,8.6452,6.21e+13,6.30e+13,3031040
380,8.5906,8.6188,6.38e+13,6.48e+13,3112960
390,8.5882,8.5921,6.54e+13,6.65e+13,3194880
400,8.5685,8.5675,6.71e+13,6.82e+13,3276800
410,8.5582,8.5443,6.88e+13,6.99e+13,3358720
420,8.5602,8.5214,7.05e+13,7.16e+13,3440640
430,8.5027,8.4998,7.21e+13,7.33e+13,3522560
440,8.4057,8.4798,7.38e+13,7.50e+13,3604480
450,8.4948,8.4597,7.55e+13,7.67e+13,3686400
460,8.4313,8.4397,7.72e+13,7.84e+13,3768320
470,8.4041,8.4205,7.89e+13,8.01e+13,3850240
480,8.4349,8.4024,8.05e+13,8.18e+13,3932160
490,8.3823,8.3845,8.22e+13,8.35e+13,4014080
500,8.3766,8.3666,8.39e+13,8.52e+13,4096000
510,8.3925,8.3489,8.56e+13,8.69e+13,4177920
520,8.3694,8.3307,8.73e+13,8.86e+13,4259840
530,8.4381,8.3125,8.89e+13,9.03e+13,4341760
540,8.2102,8.2949,9.06e+13,9.20e+13,4423680
550,8.2152,8.2779,9.23e+13,9.37e+13,4505600
560,8.2658,8.2613,9.40e+13,9.54e+13,4587520
570,8.2585,8.2451,9.56e+13,9.71e+13,4669440
580,8.2413,8.2293,9.73e+13,9.88e+13,4751360
590,8.1062,8.2135,9.90e+13,1.01e+14,4833280
600,8.1899,8.1979,1.01e+14,1.02e+14,4915200
610,8.1249,8.1822,1.02e+14,1.04e+14,4997120
620,8.1672,8.1667,1.04e+14,1.06e+14,5079040
630,8.2183,8.1514,1.06e+14,1.07e+14,5160960
640,8.1790,8.1361,1.07e+14,1.09e+14,5242880
650,8.1814,8.1211,1.09e+14,1.11e+14,5324800
660,8.1730,8.1064,1.11e+14,1.12e+14,5406720
670,8.1150,8.0914,1.12e+14,1.14e+14,5488640
680,8.0406,8.0767,1.14e+14,1.16e+14,5570560
690,8.0097,8.0617,1.16e+14,1.18e+14,5652480
700,8.0033,8.0469,1.17e+14,1.19e+14,5734400
710,7.9713,8.0316,1.19e+14,1.21e+14,5816320
720,8.0458,8.0160,1.21e+14,1.23e+14,5898240
730,8.0926,8.0000,1.22e+14,1.24e+14,5980160
740,7.9807,7.9839,1.24e+14,1.26e+14,6062080
750,7.9055,7.9673,1.26e+14,1.28e+14,6144000
760,8.0337,7.9497,1.28e+14,1.30e+14,6225920
770,7.8693,7.9316,1.29e+14,1.31e+14,6307840
780,7.9232,7.9128,1.31e+14,1.33e+14,6389760
790,7.9135,7.8944,1.33e+14,1.35e+14,6471680
800,7.8481,7.8786,1.34e+14,1.36e+14,6553600
