step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
20,11.3189,11.2429,6.71e+12,6.82e+12,327680
40,9.0813,8.9141,1.34e+13,1.36e+13,655360
60,8.6144,8.6533,2.01e+13,2.04e+13,983040
80,8.3834,8.4120,2.68e+13,2.73e+13,1310720
100,8.3265,8.2951,3.36e+13,3.41e+13,1638400
120,8.1266,8.1715,4.03e+13,4.09e+13,1966080
140,8.0616,8.0765,4.70e+13,4.77e+13,2293760
160,7.9856,8.0034,5.37e+13,5.45e+13,2621440
180,7.9324,7.9169,6.04e+13,6.13e+13,2949120
200,7.8589,7.8504,6.71e+13,6.82e+13,3276800
220,7.7929,7.7893,7.38e+13,7.50e+13,3604480
240,7.7420,7.7411,8.05e+13,8.18e+13,3932160
260,7.7252,7.6992,8.72e+13,8.86e+13,4259840
280,7.6894,7.6626,9.40e+13,9.54e+13,4587520
300,7.6471,7.6420,1.01e+14,1.02e+14,4915200
320,7.5936,7.6070,1.07e+14,1.09e+14,5242880
340,7.5515,7.5717,1.14e+14,1.16e+14,5570560
360,7.5535,7.5440,1.21e+14,1.23e+14,5898240
380,7.5338,7.5180,1.28e+14,1.30e+14,6225920
400,7.4976,7.4963,1.34e+14,1.36e+14,6553600
420,7.4745,7.4740,1.41e+14,1.43e+14,6881280
440,7.3834,7.4334,1.48e+14,1.50e+14,7208960
460,7.4543,7.3966,1.54e+14,1.57e+14,7536640
480,7.4252,7.3641,1.61e+14,1.64e+14,7864320
500,7.3614,7.3305,1.68e+14,1.70e+14,8192000
520,7.3294,7.2931,1.74e+14,1.77e+14,8519680
540,7.2672,7.2682,1.81e+14,1.84e+14,8847360
560,7.2057,7.2358,1.88e+14,1.91e+14,9175040
580,7.1485,7.2076,1.95e+14,1.98e+14,9502720
600,7.2023,7.1805,2.01e+14,2.04e+14,9830400
620,7.2051,7.1554,2.08e+14,2.11e+14,10158080
640,7.0774,7.1237,2.15e+14,2.18e+14,10485760
660,7.1354,7.0995,2.21e+14,2.25e+14,10813440
680,7.0741,7.0718,2.28e+14,2.32e+14,11141120
700,7.0756,7.0435,2.35e+14,2.39e+14,11468800
720,7.0393,7.0231,2.42e+14,2.45e+14,11796480
740,6.9349,6.9854,2.48e+14,2.52e+14,12124160
760,6.9255,6.9547,2.55e+14,2.59e+14,12451840
780,6.9276,6.9304,2.62e+14,2.66e+14,12779520
800,6.8892,6.8908,2.68e+14,2.73e+14,13107200
820,6.8948,6.8518,2.75e+14,2.79e+14,13434880
840,6.7803,6.8112,2.82e+14,2.86e+14,13762560
860,6.8838,6.7941,2.89e+14,2.93e+14,14090240
880,6.7424,6.7603,2.95e+14,3.00e+14,14417920
900,6.6795,6.7351,3.02e+14,3.07e+14,14745600
920,6.6851,6.7037,3.09e+14,3.14e+14,15073280
940,6.6903,6.6821,3.15e+14,3.20e+14,15400960
960,6.6242,6.6510,3.22e+14,3.27e+14,15728640
980,6.6909,6.6344,3.29e+14,3.34e+14,16056320
1000,6.6499,6.6117,3.36e+14,3.41e+14,16384000
1020,6.5455,6.5945,3.42e+14,3.48e+14,16711680
1040,6.4855,6.5750,3.49e+14,3.54e+14,17039360
1060,6.5801,6.5629,3.56e+14,3.61e+14,17367040
1080,6.6173,6.5504,3.62e+14,3.68e+14,17694720
1100,6.5185,6.5300,3.69e+14,3.75e+14,18022400
1120,6.5698,6.5114,3.76e+14,3.82e+14,18350080
1140,6.5039,6.5010,3.83e+14,3.89e+14,18677760
1160,6.5273,6.4838,3.89e+14,3.95e+14,19005440
1180,6.5018,6.4702,3.96e+14,4.02e+14,19333120
1200,6.4790,6.4608,4.03e+14,4.09e+14,19660800
1220,6.4757,6.4533,4.09e+14,4.16e+14,19988480
1240,6.4419,6.4331,4.16e+14,4.23e+14,20316160
1260,6.4822,6.4238,4.23e+14,4.29e+14,20643840
1280,6.4345,6.4171,4.30e+14,4.36e+14,20971520
1300,6.4754,6.4037,4.36e+14,4.43e+14,21299200
1320,6.4072,6.3930,4.43e+14,4.50e+14,21626880
1340,6.3744,6.3832,4.50e+14,4.57e+14,21954560
1360,6.3851,6.3798,4.56e+14,4.63e+14,22282240
1380,6.3871,6.3704,4.63e+14,4.70e+14,22609920
1400,6.3390,6.3601,4.70e+14,4.77e+14,22937600
1420,6.3359,6.3595,4.77e+14,4.84e+14,23265280
1440,6.3484,6.3503,4.83e+14,4.91e+14,23592960
1460,6.3658,6.3395,4.90e+14,4.98e+14,23920640
1480,6.3691,6.3327,4.97e+14,5.04e+14,24248320
1500,6.3132,6.3256,5.03e+14,5.11e+14,24576000
1520,6.3685,6.3220,5.10e+14,5.18e+14,24903680
1540,6.3194,6.3130,5.17e+14,5.25e+14,25231360
1560,6.4096,6.3085,5.23e+14,5.32e+14,25559040
