step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
10,10.8007,10.7954,2.17e+12,2.19e+12,81920
20,10.7533,10.7449,4.33e+12,4.38e+12,163840
30,10.6423,10.6189,6.50e+12,6.58e+12,245760
40,10.4064,10.3603,8.66e+12,8.77e+12,327680
50,9.9670,9.9385,1.08e+13,1.10e+13,409600
60,9.4990,9.4951,1.30e+13,1.32e+13,491520
70,9.9214,9.8934,1.52e+13,1.53e+13,573440
80,9.9390,9.9208,1.73e+13,1.75e+13,655360
90,9.4072,9.3378,1.95e+13,1.97e+13,737280
100,9.1729,9.2295,2.17e+13,2.19e+13,819200
110,9.1655,9.1023,2.38e+13,2.41e+13,901120
120,8.8927,8.9076,2.60e+13,2.63e+13,983040
130,8.7888,8.7457,2.82e+13,2.85e+13,1064960
140,8.7716,8.7312,3.03e+13,3.07e+13,1146880
150,8.7308,8.6796,3.25e+13,3.29e+13,1228800
160,8.6075,8.5948,3.46e+13,3.51e+13,1310720
170,8.6068,8.5306,3.68e+13,3.73e+13,1392640
180,8.4879,8.4944,3.90e+13,3.95e+13,1474560
190,8.4519,8.4543,4.11e+13,4.17e+13,1556480
200,8.3281,8.4099,4.33e+13,4.38e+13,1638400
210,8.4182,8.3889,4.55e+13,4.60e+13,1720320
220,8.3869,8.3347,4.76e+13,4.82e+13,1802240
230,8.3223,8.3121,4.98e+13,5.04e+13,1884160
240,8.3415,8.2760,5.20e+13,5.26e+13,1966080
250,8.2204,8.2514,5.41e+13,5.48e+13,2048000
260,8.2509,8.2219,5.63e+13,5.70e+13,2129920
270,8.1117,8.2006,5.85e+13,5.92e+13,2211840
280,8.0884,8.1761,6.06e+13,6.14e+13,2293760
290,8.1628,8.1547,6.28e+13,6.36e+13,2375680
300,8.0723,8.1329,6.50e+13,6.58e+13,2457600
310,8.1290,8.1161,6.71e+13,6.80e+13,2539520
320,8.1311,8.0956,6.93e+13,7.02e+13,2621440
330,8.0456,8.0799,7.15e+13,7.23e+13,2703360
340,7.9826,8.0609,7.36e+13,7.45e+13,2785280
350,8.0009,8.0473,7.58e+13,7.67e+13,2867200
360,7.9972,8.0298,7.80e+13,7.89e+13,2949120
370,8.0893,8.0163,8.01e+13,8.11e+13,3031040
380,7.9374,8.0010,8.23e+13,8.33e+13,3112960
390,7.9098,7.9875,8.45e+13,8.55e+13,3194880
400,7.9219,7.9746,8.66e+13,8.77e+13,3276800
410,7.9494,7.9613,8.88e+13,8.99e+13,3358720
420,7.9685,7.9495,9.09e+13,9.21e+13,3440640
430,7.9903,7.9375,9.31e+13,9.43e+13,3522560
440,7.9668,7.9269,9.53e+13,9.65e+13,3604480
450,7.9750,7.9156,9.74e+13,9.87e+13,3686400
460,7.8795,7.9050,9.96e+13,1.01e+14,3768320
470,7.9045,7.8948,1.02e+14,1.03e+14,3850240
480,7.8312,7.8855,1.04e+14,1.05e+14,3932160
490,7.8961,7.8753,1.06e+14,1.07e+14,4014080
500,8.0137,7.8666,1.08e+14,1.10e+14,4096000
510,7.7735,7.8573,1.10e+14,1.12e+14,4177920
520,7.7864,7.8482,1.13e+14,1.14e+14,4259840
530,7.8074,7.8396,1.15e+14,1.16e+14,4341760
540,7.8166,7.8308,1.17e+14,1.18e+14,4423680
550,7.8744,7.8219,1.19e+14,1.21e+14,4505600
560,7.6870,7.8138,1.21e+14,1.23e+14,4587520
570,7.7558,7.8054,1.23e+14,1.25e+14,4669440
580,7.7332,7.7982,1.26e+14,1.27e+14,4751360
590,7.8232,7.7886,1.28e+14,1.29e+14,4833280
600,7.8183,7.7790,1.30e+14,1.32e+14,4915200
610,7.7031,7.7692,1.32e+14,1.34e+14,4997120
620,7.8109,7.7579,1.34e+14,1.36e+14,5079040
630,7.8477,7.7462,1.36e+14,1.38e+14,5160960
640,7.7995,7.7316,1.39e+14,1.40e+14,5242880
650,7.7392,7.7090,1.41e+14,1.42e+14,5324800
660,7.7249,7.6896,1.43e+14,1.45e+14,5406720
670,7.7153,7.6805,1.45e+14,1.47e+14,5488640
680,7.6684,7.6556,1.47e+14,1.49e+14,5570560
690,7.6877,7.6460,1.49e+14,1.51e+14,5652480
700,7.6392,7.6295,1.52e+14,1.53e+14,5734400
710,7.6453,7.6170,1.54e+14,1.56e+14,5816320
720,7.6119,7.6021,1.56e+14,1.58e+14,5898240
730,7.6207,7.5890,1.58e+14,1.60e+14,5980160
740,7.5438,7.5746,1.60e+14,1.62e+14,6062080
750,7.6431,7.5610,1.62e+14,1.64e+14,6144000
760,7.4995,7.5490,1.65e+14,1.67e+14,6225920
770,7.6586,7.5376,1.67e+14,1.69e+14,6307840
780,7.6512,7.5316,1.69e+14,1.71e+14,6389760
790,7.6014,7.5152,1.71e+14,1.73e+14,6471680
800,7.4693,7.5064,1.73e+14,1.75e+14,6553600
810,7.5130,7.4921,1.75e+14,1.78e+14,6635520
820,7.4290,7.4822,1.78e+14,1.80e+14,6717440
830,7.4590,7.4721,1.80e+14,1.82e+14,6799360
840,7.4699,7.4616,1.82e+14,1.84e+14,6881280
850,7.3919,7.4554,1.84e+14,1.86e+14,6963200
860,7.4863,7.4434,1.86e+14,1.89e+14,7045120
870,7.3886,7.4378,1.88e+14,1.91e+14,7127040
880,7.5422,7.4261,1.91e+14,1.93e+14,7208960
890,7.4163,7.4156,1.93e+14,1.95e+14,7290880
900,7.4097,7.4071,1.95e+14,1.97e+14,7372800
910,7.3004,7.3985,1.97e+14,1.99e+14,7454720
920,7.2745,7.3979,1.99e+14,2.02e+14,7536640
930,7.4098,7.4065,2.01e+14,2.04e+14,7618560
940,7.4703,7.3814,2.04e+14,2.06e+14,7700480
950,7.3876,7.3795,2.06e+14,2.08e+14,7782400
960,7.5314,7.3715,2.08e+14,2.10e+14,7864320
970,7.3234,7.3681,2.10e+14,2.13e+14,7946240
980,7.3089,7.3560,2.12e+14,2.15e+14,8028160
990,7.4297,7.3573,2.14e+14,2.17e+14,8110080
1000,7.3375,7.3432,2.17e+14,2.19e+14,8192000
1010,7.4395,7.3455,2.19e+14,2.21e+14,8273920
