step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
50,10.3921,10.3777,2.10e+13,2.11e+13,409600
100,9.3943,9.3508,4.20e+13,4.23e+13,819200
150,8.3131,8.2905,6.29e+13,6.34e+13,1228800
200,7.6318,7.6626,8.39e+13,8.45e+13,1638400
250,7.3352,7.4030,1.05e+14,1.06e+14,2048000
300,7.1963,7.1050,1.26e+14,1.27e+14,2457600
350,6.8300,6.8785,1.47e+14,1.48e+14,2867200
400,6.9580,6.7143,1.68e+14,1.69e+14,3276800
450,6.6390,6.5721,1.89e+14,1.90e+14,3686400
500,6.5778,6.4718,2.10e+14,2.11e+14,4096000
550,6.4105,6.3681,2.31e+14,2.32e+14,4505600
600,6.3402,6.2932,2.52e+14,2.54e+14,4915200
650,6.2741,6.2115,2.73e+14,2.75e+14,5324800
700,6.2924,6.1513,2.94e+14,2.96e+14,5734400
750,6.1127,6.0757,3.15e+14,3.17e+14,6144000
800,6.0639,6.0164,3.36e+14,3.38e+14,6553600
850,6.0509,5.9562,3.57e+14,3.59e+14,6963200
900,6.0611,5.8978,3.78e+14,3.80e+14,7372800
950,5.9081,5.8677,3.99e+14,4.01e+14,7782400
1000,5.8901,5.8152,4.20e+14,4.23e+14,8192000
1050,5.6488,5.7828,4.41e+14,4.44e+14,8601600
1100,5.6447,5.7472,4.62e+14,4.65e+14,9011200
1150,5.7800,5.7179,4.83e+14,4.86e+14,9420800
1200,5.7355,5.6899,5.04e+14,5.07e+14,9830400
1250,5.8133,5.6514,5.25e+14,5.28e+14,10240000
1300,5.7189,5.6303,5.46e+14,5.49e+14,10649600
1350,5.6006,5.6026,5.66e+14,5.70e+14,11059200
1400,5.6260,5.5798,5.87e+14,5.92e+14,11468800
1450,5.7426,5.5614,6.08e+14,6.13e+14,11878400
1500,5.6536,5.5384,6.29e+14,6.34e+14,12288000
1550,5.3843,5.5212,6.50e+14,6.55e+14,12697600
1600,5.5183,5.5041,6.71e+14,6.76e+14,13107200
1650,5.5717,5.4796,6.92e+14,6.97e+14,13516800
1700,5.4072,5.4747,7.13e+14,7.18e+14,13926400
1750,5.6032,5.4537,7.34e+14,7.39e+14,14336000
1800,5.3779,5.4326,7.55e+14,7.61e+14,14745600
1850,5.4427,5.4117,7.76e+14,7.82e+14,15155200
1900,5.4177,5.3954,7.97e+14,8.03e+14,15564800
1950,5.4873,5.3772,8.18e+14,8.24e+14,15974400
2000,5.4405,5.3579,8.39e+14,8.45e+14,16384000
2050,5.4655,5.3413,8.60e+14,8.66e+14,16793600
2100,5.2895,5.3288,8.81e+14,8.87e+14,17203200
2150,5.3946,5.3122,9.02e+14,9.08e+14,17612800
2200,5.4738,5.2996,9.23e+14,9.30e+14,18022400
2250,5.3489,5.2841,9.44e+14,9.51e+14,18432000
2300,5.4401,5.2806,9.65e+14,9.72e+14,18841600
