step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
50,9.5413,9.5184,8.55e+12,8.68e+12,409600
100,7.7834,7.7469,1.71e+13,1.74e+13,819200
150,7.4764,7.3746,2.57e+13,2.60e+13,1228800
200,6.8665,7.0102,3.42e+13,3.47e+13,1638400
250,6.8600,6.7741,4.28e+13,4.34e+13,2048000
300,6.6373,6.6150,5.13e+13,5.21e+13,2457600
350,6.5507,6.4900,5.99e+13,6.08e+13,2867200
400,6.3417,6.3993,6.84e+13,6.95e+13,3276800
450,6.3419,6.3196,7.70e+13,7.81e+13,3686400
500,6.1461,6.2462,8.55e+13,8.68e+13,4096000
550,6.1762,6.1718,9.41e+13,9.55e+13,4505600
600,6.0993,6.1304,1.03e+14,1.04e+14,4915200
650,6.1710,6.0783,1.11e+14,1.13e+14,5324800
700,5.9015,6.0328,1.20e+14,1.22e+14,5734400
750,5.9246,5.9976,1.28e+14,1.30e+14,6144000
800,5.9459,5.9611,1.37e+14,1.39e+14,6553600
850,5.8824,5.9255,1.45e+14,1.48e+14,6963200
900,5.9239,5.8824,1.54e+14,1.56e+14,7372800
950,5.8372,5.8578,1.63e+14,1.65e+14,7782400
1000,5.7648,5.8322,1.71e+14,1.74e+14,8192000
1050,5.7894,5.8016,1.80e+14,1.82e+14,8601600
1100,5.6647,5.7832,1.88e+14,1.91e+14,9011200
1150,5.8317,5.7555,1.97e+14,2.00e+14,9420800
1200,5.8587,5.7405,2.05e+14,2.08e+14,9830400
1250,5.5542,5.7241,2.14e+14,2.17e+14,10240000
1300,5.6142,5.7103,2.22e+14,2.26e+14,10649600
1350,5.7966,5.6885,2.31e+14,2.34e+14,11059200
1400,5.7343,5.6767,2.39e+14,2.43e+14,11468800
1450,5.4832,5.6578,2.48e+14,2.52e+14,11878400
1500,5.6050,5.6525,2.57e+14,2.60e+14,12288000
1550,5.6224,5.6412,2.65e+14,2.69e+14,12697600
1600,5.6718,5.6279,2.74e+14,2.78e+14,13107200
1650,5.6026,5.6171,2.82e+14,2.87e+14,13516800
1700,5.4169,5.6057,2.91e+14,2.95e+14,13926400
1750,5.5174,5.5934,2.99e+14,3.04e+14,14336000
1800,5.5068,5.5890,3.08e+14,3.13e+14,14745600
1850,5.5455,5.5805,3.16e+14,3.21e+14,15155200
1900,5.4169,5.5651,3.25e+14,3.30e+14,15564800
1950,5.4917,5.5561,3.34e+14,3.39e+14,15974400
2000,5.4784,5.5516,3.42e+14,3.47e+14,16384000
2050,5.2653,5.5429,3.51e+14,3.56e+14,16793600
2100,5.4403,5.5349,3.59e+14,3.65e+14,17203200
2150,5.4800,5.5282,3.68e+14,3.73e+14,17612800
2200,5.4525,5.5221,3.76e+14,3.82e+14,18022400
2250,5.4486,5.5128,3.85e+14,3.91e+14,18432000
2300,5.4792,5.5081,3.93e+14,3.99e+14,18841600
2350,5.3925,5.5000,4.02e+14,4.08e+14,19251200
2400,5.4098,5.4919,4.11e+14,4.17e+14,19660800
2450,5.4675,5.4895,4.19e+14,4.25e+14,20070400
2500,5.3985,5.4813,4.28e+14,4.34e+14,20480000
2550,5.4632,5.4733,4.36e+14,4.43e+14,20889600
2600,5.3789,5.4678,4.45e+14,4.51e+14,21299200
2650,5.4993,5.4644,4.53e+14,4.60e+14,21708800
2700,5.4107,5.4574,4.62e+14,4.69e+14,22118400
2750,5.4489,5.4515,4.70e+14,4.78e+14,22528000
2800,5.3095,5.4506,4.79e+14,4.86e+14,22937600
2850,5.3227,5.4418,4.88e+14,4.95e+14,23347200
2900,5.3971,5.4418,4.96e+14,5.04e+14,23756800
2950,5.2083,5.4348,5.05e+14,5.12e+14,24166400
3000,5.3860,5.4276,5.13e+14,5.21e+14,24576000
3050,5.4722,5.4252,5.22e+14,5.30e+14,24985600
3100,5.2608,5.4181,5.30e+14,5.38e+14,25395200
3150,5.2231,5.4177,5.39e+14,5.47e+14,25804800
3200,5.3374,5.4079,5.47e+14,5.56e+14,26214400
3250,5.3002,5.4041,5.56e+14,5.64e+14,26624000
3300,5.1170,5.4007,5.65e+14,5.73e+14,27033600
3350,5.4012,5.3963,5.73e+14,5.82e+14,27443200
3400,5.2803,5.3974,5.82e+14,5.90e+14,27852800
3450,5.3730,5.3922,5.90e+14,5.99e+14,28262400
3500,5.4489,5.3855,5.99e+14,6.08e+14,28672000
3550,5.3888,5.3817,6.07e+14,6.16e+14,29081600
3600,5.3315,5.3783,6.16e+14,6.25e+14,29491200
3650,5.3099,5.3776,6.24e+14,6.34e+14,29900800
3700,5.3483,5.3728,6.33e+14,6.42e+14,30310400
3750,5.2910,5.3708,6.42e+14,6.51e+14,30720000
3800,5.3181,5.3663,6.50e+14,6.60e+14,31129600
3850,5.3042,5.3634,6.59e+14,6.69e+14,31539200
3900,5.2738,5.3577,6.67e+14,6.77e+14,31948800
