step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
20,12.6402,12.1584,3.35e+12,6.66e+12,655360
40,11.9166,11.5218,6.55e+12,1.33e+13,1310720
60,11.2442,10.8866,9.74e+12,2.00e+13,1966080
80,10.6768,10.2793,1.29e+13,2.66e+13,2621440
100,10.0801,9.7216,1.61e+13,3.33e+13,3276800
120,9.4388,9.2416,1.93e+13,3.99e+13,3932160
140,9.1118,8.8529,2.25e+13,4.66e+13,4587520
160,9.0309,8.5594,2.57e+13,5.32e+13,5242880
180,8.6181,8.3517,2.89e+13,5.99e+13,5898240
200,8.4469,8.2156,3.21e+13,6.66e+13,6553600
220,8.3422,8.1280,3.53e+13,7.32e+13,7208960
240,8.2325,8.0686,3.85e+13,7.99e+13,7864320
260,8.3595,8.0292,4.17e+13,8.65e+13,8519680
280,8.2711,8.0019,4.49e+13,9.32e+13,9175040
300,8.1510,7.9817,4.81e+13,9.98e+13,9830400
320,8.1874,7.9666,5.13e+13,1.06e+14,10485760
340,8.0866,7.9551,5.45e+13,1.13e+14,11141120
360,8.0197,7.9465,5.77e+13,1.20e+14,11796480
380,8.1661,7.9392,6.09e+13,1.26e+14,12451840
400,8.4679,7.9338,6.41e+13,1.33e+14,13107200
420,8.1190,7.9292,6.73e+13,1.40e+14,13762560
440,8.1175,7.9254,7.04e+13,1.46e+14,14417920
460,8.1511,7.9221,7.36e+13,1.53e+14,15073280
480,8.2196,7.9195,7.68e+13,1.60e+14,15728640
500,8.2590,7.9174,8.00e+13,1.66e+14,16384000
520,8.0912,7.9156,8.32e+13,1.73e+14,17039360
540,8.0559,7.9139,8.64e+13,1.80e+14,17694720
560,8.0941,7.9128,8.96e+13,1.86e+14,18350080
580,8.0593,7.9115,9.28e+13,1.93e+14,19005440
600,8.1506,7.9101,9.60e+13,2.00e+14,19660800
620,8.0799,7.9090,9.92e+13,2.06e+14,20316160
640,8.1817,7.9080,1.02e+14,2.13e+14,20971520
660,8.1104,7.9071,1.06e+14,2.20e+14,21626880
680,8.0982,7.9064,1.09e+14,2.26e+14,22282240
