step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
20,16.0608,15.0882,5.01e+12,1.01e+13,655360
40,16.0011,15.0001,9.79e+12,2.03e+13,1310720
60,15.8248,14.9164,1.46e+13,3.04e+13,1966080
80,15.6030,14.7925,1.93e+13,4.05e+13,2621440
100,15.6281,14.7006,2.41e+13,5.06e+13,3276800
120,15.4350,14.6279,2.89e+13,6.08e+13,3932160
140,15.6165,14.5181,3.37e+13,7.09e+13,4587520
160,15.4643,14.3390,3.84e+13,8.10e+13,5242880
180,15.2707,14.2379,4.32e+13,9.12e+13,5898240
200,15.1190,14.1353,4.80e+13,1.01e+14,6553600
220,14.9565,14.0234,5.28e+13,1.11e+14,7208960
240,14.7156,13.8998,5.76e+13,1.22e+14,7864320
260,14.6995,13.7626,6.23e+13,1.32e+14,8519680
280,14.6353,13.6521,6.71e+13,1.42e+14,9175040
300,14.5707,13.5452,7.19e+13,1.52e+14,9830400
320,14.4352,13.4484,7.67e+13,1.62e+14,10485760
340,14.2694,13.3663,8.14e+13,1.72e+14,11141120
360,14.1661,13.2912,8.62e+13,1.82e+14,11796480
380,14.0483,13.2221,9.10e+13,1.92e+14,12451840
400,14.2718,13.1538,9.58e+13,2.03e+14,13107200
420,13.9046,13.0910,1.01e+14,2.13e+14,13762560
440,13.8743,13.0350,1.05e+14,2.23e+14,14417920
460,13.8248,12.9888,1.10e+14,2.33e+14,15073280
480,13.7756,12.9482,1.15e+14,2.43e+14,15728640
500,13.7783,12.9101,1.20e+14,2.53e+14,16384000
520,13.6817,12.8769,1.24e+14,2.63e+14,17039360
540,13.6230,12.8481,1.29e+14,2.73e+14,17694720
560,13.6084,12.8242,1.34e+14,2.84e+14,18350080
580,13.6569,12.8043,1.39e+14,2.94e+14,19005440
600,13.5956,12.7872,1.44e+14,3.04e+14,19660800
620,13.5485,12.7721,1.48e+14,3.14e+14,20316160
640,13.6317,12.7582,1.53e+14,3.24e+14,20971520
660,13.6320,12.7456,1.58e+14,3.34e+14,21626880
680,13.4942,12.7338,1.63e+14,3.44e+14,22282240
