step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
20,10.2779,10.1908,3.00e+12,3.28e+12,327680
40,7.9119,7.9250,6.17e+12,6.55e+12,655360
60,7.8055,7.8890,9.33e+12,9.83e+12,983040
80,7.8661,7.8349,1.25e+13,1.31e+13,1310720
100,7.8035,7.8157,1.57e+13,1.64e+13,1638400
120,7.8025,7.8110,1.88e+13,1.97e+13,1966080
140,7.6640,7.8114,2.20e+13,2.29e+13,2293760
160,7.7174,7.8050,2.51e+13,2.62e+13,2621440
180,7.8114,7.7891,2.83e+13,2.95e+13,2949120
200,7.7737,7.7701,3.15e+13,3.28e+13,3276800
220,7.6971,7.7349,3.46e+13,3.61e+13,3604480
240,7.6332,7.7245,3.78e+13,3.93e+13,3932160
260,7.6632,7.6979,4.09e+13,4.26e+13,4259840
280,7.6687,7.6743,4.41e+13,4.59e+13,4587520
300,7.5887,7.6572,4.73e+13,4.92e+13,4915200
320,7.6297,7.6239,5.04e+13,5.24e+13,5242880
340,7.6143,7.5848,5.36e+13,5.57e+13,5570560
360,7.5308,7.5356,5.68e+13,5.90e+13,5898240
380,7.6294,7.4628,5.99e+13,6.23e+13,6225920
400,7.4079,7.3927,6.31e+13,6.55e+13,6553600
420,7.4338,7.3317,6.62e+13,6.88e+13,6881280
440,7.3307,7.2833,6.94e+13,7.21e+13,7208960
460,7.3234,7.2433,7.26e+13,7.54e+13,7536640
480,7.2605,7.2000,7.57e+13,7.87e+13,7864320
500,7.1681,7.1646,7.89e+13,8.19e+13,8192000
520,7.2306,7.1279,8.21e+13,8.52e+13,8519680
540,7.1496,7.0966,8.52e+13,8.85e+13,8847360
560,7.1632,7.0660,8.84e+13,9.18e+13,9175040
580,7.0903,7.0340,9.15e+13,9.50e+13,9502720
600,7.0925,7.0069,9.47e+13,9.83e+13,9830400
620,7.0188,6.9811,9.79e+13,1.02e+14,10158080
640,7.0401,6.9585,1.01e+14,1.05e+14,10485760
660,6.9664,6.9407,1.04e+14,1.08e+14,10813440
680,7.0651,6.9197,1.07e+14,1.11e+14,11141120
700,6.9582,6.8992,1.11e+14,1.15e+14,11468800
720,6.9606,6.8838,1.14e+14,1.18e+14,11796480
740,6.9889,6.8669,1.17e+14,1.21e+14,12124160
760,6.8932,6.8523,1.20e+14,1.25e+14,12451840
780,7.0453,6.8394,1.23e+14,1.28e+14,12779520
800,6.9888,6.8276,1.26e+14,1.31e+14,13107200
820,6.9519,6.8161,1.29e+14,1.34e+14,13434880
840,6.9753,6.8057,1.33e+14,1.38e+14,13762560
860,6.9273,6.7951,1.36e+14,1.41e+14,14090240
880,6.8333,6.7871,1.39e+14,1.44e+14,14417920
900,6.9017,6.7803,1.42e+14,1.47e+14,14745600
920,6.8680,6.7738,1.45e+14,1.51e+14,15073280
940,6.9944,6.7699,1.48e+14,1.54e+14,15400960
960,6.8616,6.7642,1.52e+14,1.57e+14,15728640
980,6.9656,6.7589,1.55e+14,1.61e+14,16056320
1000,6.8987,6.7540,1.58e+14,1.64e+14,16384000
1020,6.8353,6.7499,1.61e+14,1.67e+14,16711680
1040,6.8254,6.7459,1.64e+14,1.70e+14,17039360
1060,6.8274,6.7419,1.67e+14,1.74e+14,17367040
1080,6.8764,6.7379,1.71e+14,1.77e+14,17694720
