step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
20,15.5571,7.8522,1.26e+13,1.39e+13,655360
40,15.4844,7.7316,2.53e+13,2.78e+13,1310720
60,15.1819,7.7030,3.79e+13,4.17e+13,1966080
80,15.7024,7.6938,5.06e+13,5.56e+13,2621440
100,15.2519,7.6890,6.32e+13,6.95e+13,3276800
120,15.3403,7.6802,7.59e+13,8.34e+13,3932160
140,15.4802,7.6806,8.85e+13,9.73e+13,4587520
160,15.4070,7.6733,1.01e+14,1.11e+14,5242880
180,15.2116,7.6748,1.14e+14,1.25e+14,5898240
200,15.5954,7.6724,1.26e+14,1.39e+14,6553600
220,15.5065,7.6700,1.39e+14,1.53e+14,7208960
240,15.3625,7.6667,1.52e+14,1.67e+14,7864320
260,15.1965,7.6635,1.64e+14,1.81e+14,8519680
280,15.4408,7.6631,1.77e+14,1.95e+14,9175040
300,15.4978,7.6635,1.90e+14,2.08e+14,9830400
320,15.4283,7.6618,2.02e+14,2.22e+14,10485760
340,15.2501,7.6614,2.15e+14,2.36e+14,11141120
360,15.0136,7.6597,2.28e+14,2.50e+14,11796480
380,15.1927,7.6578,2.40e+14,2.64e+14,12451840
400,15.2255,7.6572,2.53e+14,2.78e+14,13107200
420,15.5218,7.6570,2.66e+14,2.92e+14,13762560
440,15.2723,7.6570,2.78e+14,3.06e+14,14417920
460,15.4064,7.6543,2.91e+14,3.20e+14,15073280
480,15.5358,7.6531,3.04e+14,3.34e+14,15728640
500,15.1634,7.6518,3.16e+14,3.47e+14,16384000
520,15.2341,7.6529,3.29e+14,3.61e+14,17039360
540,15.3535,7.6542,3.41e+14,3.75e+14,17694720
560,15.2788,7.6537,3.54e+14,3.89e+14,18350080
580,15.2745,7.6505,3.67e+14,4.03e+14,19005440
600,14.9852,7.6488,3.79e+14,4.17e+14,19660800
620,15.5177,7.6479,3.92e+14,4.31e+14,20316160
640,15.5646,7.6474,4.05e+14,4.45e+14,20971520
660,15.2151,7.6470,4.17e+14,4.59e+14,21626880
680,15.0811,7.6461,4.30e+14,4.72e+14,22282240
700,15.0583,7.6454,4.43e+14,4.86e+14,22937600
720,15.9311,7.6449,4.55e+14,5.00e+14,23592960
740,14.9876,7.6444,4.68e+14,5.14e+14,24248320
760,15.4884,7.6444,4.81e+14,5.28e+14,24903680
