step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
20,10.5571,10.5342,3.00e+12,3.47e+12,163840
40,9.5192,9.4729,6.17e+12,6.95e+12,327680
60,8.2307,8.2616,9.33e+12,1.04e+13,491520
80,7.6613,7.7415,1.25e+13,1.39e+13,655360
100,7.7253,7.7360,1.57e+13,1.74e+13,819200
120,7.6590,7.7487,1.88e+13,2.08e+13,983040
140,7.6193,7.7351,2.20e+13,2.43e+13,1146880
160,7.6523,7.7279,2.51e+13,2.78e+13,1310720
180,7.6351,7.7537,2.83e+13,3.13e+13,1474560
200,7.6690,7.7594,3.15e+13,3.47e+13,1638400
220,7.7021,7.7342,3.46e+13,3.82e+13,1802240
240,7.8624,7.7540,3.78e+13,4.17e+13,1966080
260,7.6585,7.7462,4.09e+13,4.52e+13,2129920
280,7.6878,7.7405,4.41e+13,4.86e+13,2293760
300,7.7246,7.7372,4.73e+13,5.21e+13,2457600
320,7.6614,7.7424,5.04e+13,5.56e+13,2621440
340,7.7297,7.7333,5.36e+13,5.91e+13,2785280
360,7.8176,7.7322,5.68e+13,6.25e+13,2949120
380,7.7455,7.7184,5.99e+13,6.60e+13,3112960
400,7.6314,7.7110,6.31e+13,6.95e+13,3276800
420,7.7346,7.7123,6.62e+13,7.30e+13,3440640
440,7.6607,7.7095,6.94e+13,7.64e+13,3604480
460,7.6114,7.7115,7.26e+13,7.99e+13,3768320
480,7.8035,7.7138,7.57e+13,8.34e+13,3932160
500,7.7542,7.7120,7.89e+13,8.69e+13,4096000
520,7.7119,7.7261,8.21e+13,9.03e+13,4259840
540,7.7311,7.7225,8.52e+13,9.38e+13,4423680
560,7.8051,7.7292,8.84e+13,9.73e+13,4587520
580,7.6162,7.7102,9.15e+13,1.01e+14,4751360
600,7.6033,7.7091,9.47e+13,1.04e+14,4915200
620,7.7540,7.7103,9.79e+13,1.08e+14,5079040
640,7.6892,7.7014,1.01e+14,1.11e+14,5242880
660,7.6137,7.7070,1.04e+14,1.15e+14,5406720
680,7.6047,7.6953,1.07e+14,1.18e+14,5570560
700,7.6133,7.6926,1.11e+14,1.22e+14,5734400
720,7.6927,7.7000,1.14e+14,1.25e+14,5898240
740,7.7642,7.6975,1.17e+14,1.29e+14,6062080
760,7.6840,7.6928,1.20e+14,1.32e+14,6225920
780,7.6000,7.6944,1.23e+14,1.35e+14,6389760
800,7.6186,7.7059,1.26e+14,1.39e+14,6553600
820,7.5657,7.7066,1.29e+14,1.42e+14,6717440
840,7.6302,7.7021,1.33e+14,1.46e+14,6881280
860,7.7075,7.6967,1.36e+14,1.49e+14,7045120
880,7.7816,7.6907,1.39e+14,1.53e+14,7208960
900,7.7571,7.6933,1.42e+14,1.56e+14,7372800
920,7.7422,7.6996,1.45e+14,1.60e+14,7536640
940,7.8416,7.6958,1.48e+14,1.63e+14,7700480
960,7.6936,7.6874,1.52e+14,1.67e+14,7864320
980,7.5587,7.6833,1.55e+14,1.70e+14,8028160
1000,7.8215,7.6864,1.58e+14,1.74e+14,8192000
1020,7.6758,7.6848,1.61e+14,1.77e+14,8355840
1040,7.7430,7.6858,1.64e+14,1.81e+14,8519680
1060,7.6180,7.6823,1.67e+14,1.84e+14,8683520
1080,7.5568,7.6811,1.71e+14,1.88e+14,8847360
1100,7.4646,7.6790,1.74e+14,1.91e+14,9011200
1120,7.6313,7.6815,1.77e+14,1.95e+14,9175040
1140,7.6452,7.6845,1.80e+14,1.98e+14,9338880
1160,7.6800,7.6824,1.83e+14,2.01e+14,9502720
1180,7.7219,7.6821,1.86e+14,2.05e+14,9666560
1200,7.5816,7.6819,1.90e+14,2.08e+14,9830400
1220,7.6941,7.6805,1.93e+14,2.12e+14,9994240
1240,7.6282,7.6758,1.96e+14,2.15e+14,10158080
1260,7.5690,7.6770,1.99e+14,2.19e+14,10321920
1280,7.7104,7.6759,2.02e+14,2.22e+14,10485760
1300,7.6226,7.6762,2.05e+14,2.26e+14,10649600
1320,7.6186,7.6812,2.09e+14,2.29e+14,10813440
1340,7.7057,7.6759,2.12e+14,2.33e+14,10977280
1360,7.6492,7.6769,2.15e+14,2.36e+14,11141120
1380,7.6057,7.6771,2.18e+14,2.40e+14,11304960
1400,7.6569,7.6778,2.21e+14,2.43e+14,11468800
1420,7.6231,7.6762,2.24e+14,2.47e+14,11632640
1440,7.6658,7.6776,2.28e+14,2.50e+14,11796480
1460,7.6084,7.6799,2.31e+14,2.54e+14,11960320
1480,7.6778,7.6792,2.34e+14,2.57e+14,12124160
1500,7.7552,7.6927,2.37e+14,2.61e+14,12288000
1520,7.7260,7.6900,2.40e+14,2.64e+14,12451840
1540,7.7039,7.6953,2.43e+14,2.68e+14,12615680
1560,7.6765,7.6868,2.46e+14,2.71e+14,12779520
1580,7.6899,7.6799,2.50e+14,2.74e+14,12943360
1600,7.5641,7.6798,2.53e+14,2.78e+14,13107200
1620,7.6816,7.6743,2.56e+14,2.81e+14,13271040
1640,7.6650,7.6728,2.59e+14,2.85e+14,13434880
1660,7.5679,7.6747,2.62e+14,2.88e+14,13598720
1680,7.6700,7.6728,2.65e+14,2.92e+14,13762560
1700,7.6783,7.6739,2.69e+14,2.95e+14,13926400
1720,7.7766,7.6711,2.72e+14,2.99e+14,14090240
1740,7.6602,7.6732,2.75e+14,3.02e+14,14254080
1760,7.7119,7.6765,2.78e+14,3.06e+14,14417920
1780,7.6707,7.6808,2.81e+14,3.09e+14,14581760
1800,7.6252,7.6743,2.84e+14,3.13e+14,14745600
1820,7.5466,7.6706,2.88e+14,3.16e+14,14909440
1840,7.7261,7.6670,2.91e+14,3.20e+14,15073280
1860,7.6418,7.6725,2.94e+14,3.23e+14,15237120
1880,7.6529,7.6814,2.97e+14,3.27e+14,15400960
1900,7.6006,7.6804,3.00e+14,3.30e+14,15564800
1920,7.6842,7.6843,3.03e+14,3.34e+14,15728640
1940,7.6310,7.6889,3.07e+14,3.37e+14,15892480
1960,7.6922,7.6830,3.10e+14,3.40e+14,16056320
1980,7.6225,7.6806,3.13e+14,3.44e+14,16220160
2000,7.7041,7.6806,3.16e+14,3.47e+14,16384000
2020,7.6616,7.6783,3.19e+14,3.51e+14,16547840
2040,7.6018,7.6723,3.22e+14,3.54e+14,16711680
2060,7.7643,7.6678,3.26e+14,3.58e+14,16875520
2080,7.7105,7.6673,3.29e+14,3.61e+14,17039360
2100,7.5161,7.6710,3.32e+14,3.65e+14,17203200
2120,7.7469,7.6711,3.35e+14,3.68e+14,17367040
2140,7.6685,7.6683,3.38e+14,3.72e+14,17530880
2160,7.7190,7.6678,3.41e+14,3.75e+14,17694720
2180,7.6004,7.6711,3.44e+14,3.79e+14,17858560
2200,7.6483,7.6730,3.48e+14,3.82e+14,18022400
2220,7.6910,7.6727,3.51e+14,3.86e+14,18186240
2240,7.6413,7.6696,3.54e+14,3.89e+14,18350080
2260,7.7296,7.6697,3.57e+14,3.93e+14,18513920
2280,7.6375,7.6735,3.60e+14,3.96e+14,18677760
2300,7.5457,7.6690,3.63e+14,4.00e+14,18841600
2320,7.6307,7.6657,3.67e+14,4.03e+14,19005440
2340,7.7134,7.6673,3.70e+14,4.06e+14,19169280
2360,7.7407,7.6711,3.73e+14,4.10e+14,19333120
2380,7.6808,7.6704,3.76e+14,4.13e+14,19496960
2400,7.6955,7.6684,3.79e+14,4.17e+14,19660800
2420,7.6748,7.6669,3.82e+14,4.20e+14,19824640
2440,7.6256,7.6635,3.86e+14,4.24e+14,19988480
2460,7.6949,7.6651,3.89e+14,4.27e+14,20152320
2480,7.6882,7.6683,3.92e+14,4.31e+14,20316160
2500,7.6400,7.6683,3.95e+14,4.34e+14,20480000
2520,7.6638,7.6653,3.98e+14,4.38e+14,20643840
2540,7.7376,7.6652,4.01e+14,4.41e+14,20807680
2560,7.6063,7.6671,4.05e+14,4.45e+14,20971520
2580,7.5967,7.6669,4.08e+14,4.48e+14,21135360
2600,7.6260,7.6673,4.11e+14,4.52e+14,21299200
2620,7.6981,7.6643,4.14e+14,4.55e+14,21463040
2640,7.7609,7.6675,4.17e+14,4.59e+14,21626880
2660,7.6950,7.6662,4.20e+14,4.62e+14,21790720
2680,7.8835,7.6663,4.24e+14,4.66e+14,21954560
2700,7.5985,7.6671,4.27e+14,4.69e+14,22118400
2720,7.6649,7.6693,4.30e+14,4.72e+14,22282240
2740,7.6489,7.6631,4.33e+14,4.76e+14,22446080
2760,7.6811,7.6614,4.36e+14,4.79e+14,22609920
2780,7.6556,7.6630,4.39e+14,4.83e+14,22773760
2800,7.6561,7.6612,4.43e+14,4.86e+14,22937600
2820,7.7469,7.6618,4.46e+14,4.90e+14,23101440
2840,7.5462,7.6629,4.49e+14,4.93e+14,23265280
2860,7.7042,7.6586,4.52e+14,4.97e+14,23429120
2880,7.7164,7.6594,4.55e+14,5.00e+14,23592960
2900,7.6955,7.6601,4.58e+14,5.04e+14,23756800
2920,7.5743,7.6591,4.61e+14,5.07e+14,23920640
2940,7.6491,7.6581,4.65e+14,5.11e+14,24084480
2960,7.6285,7.6580,4.68e+14,5.14e+14,24248320
2980,7.7139,7.6591,4.71e+14,5.18e+14,24412160
3000,7.4864,7.6615,4.74e+14,5.21e+14,24576000
3020,7.6727,7.6587,4.77e+14,5.25e+14,24739840
3040,7.6200,7.6604,4.80e+14,5.28e+14,24903680
3060,7.5452,7.6614,4.84e+14,5.32e+14,25067520
3080,7.7373,7.6610,4.87e+14,5.35e+14,25231360
3100,7.6986,7.6589,4.90e+14,5.38e+14,25395200
3120,7.6907,7.6594,4.93e+14,5.42e+14,25559040
3140,7.6916,7.6575,4.96e+14,5.45e+14,25722880
3160,7.8429,7.6592,4.99e+14,5.49e+14,25886720
3180,7.7856,7.6611,5.03e+14,5.52e+14,26050560
3200,7.6439,7.6631,5.06e+14,5.56e+14,26214400
3220,7.6652,7.6728,5.09e+14,5.59e+14,26378240
3240,7.7169,7.6711,5.12e+14,5.63e+14,26542080
3260,7.5345,7.6625,5.15e+14,5.66e+14,26705920
3280,7.6132,7.6626,5.18e+14,5.70e+14,26869760
3300,7.7833,7.6721,5.22e+14,5.73e+14,27033600
3320,7.7005,7.6641,5.25e+14,5.77e+14,27197440
3340,7.6681,7.6611,5.28e+14,5.80e+14,27361280
3360,7.5773,7.6593,5.31e+14,5.84e+14,27525120
3380,7.6454,7.6590,5.34e+14,5.87e+14,27688960
3400,7.6642,7.6591,5.37e+14,5.91e+14,27852800
3420,7.7052,7.6587,5.41e+14,5.94e+14,28016640
3440,7.7375,7.6590,5.44e+14,5.98e+14,28180480
3460,7.6581,7.6586,5.47e+14,6.01e+14,28344320
3480,7.5957,7.6600,5.50e+14,6.04e+14,28508160
3500,7.6081,8.7905,5.53e+14,6.08e+14,28672000
3520,7.5994,7.6560,5.56e+14,6.11e+14,28835840
3540,7.6534,7.6504,5.60e+14,6.15e+14,28999680
3560,7.6923,7.6477,5.63e+14,6.18e+14,29163520
3580,7.6141,7.6432,5.66e+14,6.22e+14,29327360
3600,7.5505,7.6447,5.69e+14,6.25e+14,29491200
3620,7.6132,7.6220,5.72e+14,6.29e+14,29655040
3640,7.5605,7.5618,5.75e+14,6.32e+14,29818880
3660,7.4184,7.5129,5.78e+14,6.36e+14,29982720
3680,7.3868,7.4944,5.82e+14,6.39e+14,30146560
3700,7.4750,7.4776,5.85e+14,6.43e+14,30310400
3720,7.3674,7.4582,5.88e+14,6.46e+14,30474240
3740,7.4043,7.4477,5.91e+14,6.50e+14,30638080
3760,7.4286,7.4385,5.94e+14,6.53e+14,30801920
3780,7.4425,7.4260,5.97e+14,6.57e+14,30965760
3800,7.5114,7.4186,6.01e+14,6.60e+14,31129600
3820,7.3189,7.4016,6.04e+14,6.64e+14,31293440
3840,7.3054,7.3922,6.07e+14,6.67e+14,31457280
