step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
20,37.0336,9.1123,2.37e+12,2.53e+12,163840
40,31.9195,7.7996,4.74e+12,5.06e+12,327680
60,30.9609,7.8007,7.11e+12,7.60e+12,491520
80,30.4603,7.7371,9.49e+12,1.01e+13,655360
100,32.3455,7.7115,1.19e+13,1.27e+13,819200
120,31.4567,7.7169,1.42e+13,1.52e+13,983040
140,30.9857,7.7007,1.66e+13,1.77e+13,1146880
160,31.2290,7.6944,1.90e+13,2.03e+13,1310720
180,30.5675,7.6989,2.13e+13,2.28e+13,1474560
200,31.0831,7.6926,2.37e+13,2.53e+13,1638400
220,31.1658,7.6827,2.61e+13,2.79e+13,1802240
240,29.9172,7.6821,2.85e+13,3.04e+13,1966080
260,30.2716,7.6846,3.08e+13,3.29e+13,2129920
280,30.9253,7.6848,3.32e+13,3.55e+13,2293760
300,30.3898,7.6805,3.56e+13,3.80e+13,2457600
320,33.2000,7.6834,3.79e+13,4.05e+13,2621440
340,31.7991,7.6803,4.03e+13,4.31e+13,2785280
360,30.8610,7.6801,4.27e+13,4.56e+13,2949120
380,30.2508,7.6728,4.51e+13,4.81e+13,3112960
400,30.4275,7.6719,4.74e+13,5.06e+13,3276800
420,30.6124,7.6715,4.98e+13,5.32e+13,3440640
440,30.3282,7.6697,5.22e+13,5.57e+13,3604480
460,30.6086,7.6744,5.45e+13,5.82e+13,3768320
480,30.7615,7.6695,5.69e+13,6.08e+13,3932160
500,30.0971,7.7086,5.93e+13,6.33e+13,4096000
520,30.3984,9.1141,6.17e+13,6.58e+13,4259840
540,30.7957,9.3470,6.40e+13,6.84e+13,4423680
560,30.9261,9.4074,6.64e+13,7.09e+13,4587520
580,31.1073,9.4553,6.88e+13,7.34e+13,4751360
600,30.5543,9.4846,7.11e+13,7.60e+13,4915200
620,30.5476,7.6641,7.35e+13,7.85e+13,5079040
640,30.8472,7.6648,7.59e+13,8.10e+13,5242880
660,31.5304,7.6667,7.83e+13,8.36e+13,5406720
680,30.1956,7.6617,8.06e+13,8.61e+13,5570560
700,31.2446,7.6619,8.30e+13,8.86e+13,5734400
720,30.1219,7.6605,8.54e+13,9.12e+13,5898240
740,30.8473,7.6612,8.77e+13,9.37e+13,6062080
760,30.7346,7.6605,9.01e+13,9.62e+13,6225920
780,31.0874,7.6582,9.25e+13,9.88e+13,6389760
800,32.7378,7.6597,9.49e+13,1.01e+14,6553600
820,30.0251,7.6589,9.72e+13,1.04e+14,6717440
840,30.4475,7.6558,9.96e+13,1.06e+14,6881280
860,30.2519,7.6560,1.02e+14,1.09e+14,7045120
880,30.5793,7.6567,1.04e+14,1.11e+14,7208960
900,29.8618,7.6581,1.07e+14,1.14e+14,7372800
920,30.9067,7.6562,1.09e+14,1.16e+14,7536640
940,30.9304,7.6538,1.11e+14,1.19e+14,7700480
960,30.9577,7.6544,1.14e+14,1.22e+14,7864320
980,30.8983,7.6540,1.16e+14,1.24e+14,8028160
1000,31.5771,7.6529,1.19e+14,1.27e+14,8192000
1020,30.6152,7.6518,1.21e+14,1.29e+14,8355840
1040,30.4255,7.6523,1.23e+14,1.32e+14,8519680
1060,30.8547,7.6542,1.26e+14,1.34e+14,8683520
1080,30.3446,7.6601,1.28e+14,1.37e+14,8847360
1100,30.5481,7.6518,1.30e+14,1.39e+14,9011200
1120,30.4075,7.6510,1.33e+14,1.42e+14,9175040
1140,30.1681,7.6506,1.35e+14,1.44e+14,9338880
1160,30.3744,7.6471,1.38e+14,1.47e+14,9502720
1180,30.7564,7.6534,1.40e+14,1.49e+14,9666560
1200,31.0072,7.6554,1.42e+14,1.52e+14,9830400
1220,30.1946,7.6521,1.45e+14,1.54e+14,9994240
1240,30.5007,7.6490,1.47e+14,1.57e+14,10158080
1260,29.6956,7.6488,1.49e+14,1.60e+14,10321920
1280,30.4433,7.6481,1.52e+14,1.62e+14,10485760
1300,30.6473,7.6480,1.54e+14,1.65e+14,10649600
1320,31.1870,7.6476,1.57e+14,1.67e+14,10813440
1340,31.1418,7.6488,1.59e+14,1.70e+14,10977280
1360,31.1897,7.6480,1.61e+14,1.72e+14,11141120
1380,31.0144,7.6464,1.64e+14,1.75e+14,11304960
1400,34.1331,7.6460,1.66e+14,1.77e+14,11468800
1420,30.6056,7.6451,1.68e+14,1.80e+14,11632640
1440,30.1037,7.6453,1.71e+14,1.82e+14,11796480
1460,29.8699,7.6466,1.73e+14,1.85e+14,11960320
1480,31.1076,7.6458,1.75e+14,1.87e+14,12124160
1500,30.4303,7.6446,1.78e+14,1.90e+14,12288000
1520,30.6079,7.6440,1.80e+14,1.92e+14,12451840
1540,30.7764,7.6439,1.83e+14,1.95e+14,12615680
1560,31.1553,7.6435,1.85e+14,1.98e+14,12779520
1580,30.2609,7.6435,1.87e+14,2.00e+14,12943360
1600,30.3696,7.6427,1.90e+14,2.03e+14,13107200
1620,30.0865,7.6425,1.92e+14,2.05e+14,13271040
1640,30.7217,7.6422,1.94e+14,2.08e+14,13434880
1660,31.5814,7.6412,1.97e+14,2.10e+14,13598720
1680,30.9391,7.6417,1.99e+14,2.13e+14,13762560
1700,32.6454,7.6424,2.02e+14,2.15e+14,13926400
1720,30.8165,7.6429,2.04e+14,2.18e+14,14090240
1740,30.4342,7.6409,2.06e+14,2.20e+14,14254080
1760,30.1550,7.6401,2.09e+14,2.23e+14,14417920
1780,30.4504,7.6396,2.11e+14,2.25e+14,14581760
1800,31.0947,7.6396,2.13e+14,2.28e+14,14745600
1820,30.7553,7.6398,2.16e+14,2.30e+14,14909440
1840,31.0071,7.6391,2.18e+14,2.33e+14,15073280
1860,33.6201,7.6385,2.21e+14,2.36e+14,15237120
1880,30.8248,7.6390,2.23e+14,2.38e+14,15400960
1900,29.9890,7.6382,2.25e+14,2.41e+14,15564800
1920,31.4094,7.6380,2.28e+14,2.43e+14,15728640
1940,30.7180,7.6379,2.30e+14,2.46e+14,15892480
1960,31.2637,7.6380,2.32e+14,2.48e+14,16056320
1980,31.0625,7.6381,2.35e+14,2.51e+14,16220160
2000,30.8104,7.6375,2.37e+14,2.53e+14,16384000
2020,31.8241,7.6377,2.40e+14,2.56e+14,16547840
2040,30.4890,7.6382,2.42e+14,2.58e+14,16711680
2060,35.9219,7.6372,2.44e+14,2.61e+14,16875520
2080,30.3263,7.6369,2.47e+14,2.63e+14,17039360
2100,31.1307,7.6366,2.49e+14,2.66e+14,17203200
2120,30.7534,7.6365,2.51e+14,2.68e+14,17367040
2140,30.4229,7.6368,2.54e+14,2.71e+14,17530880
2160,30.3033,7.6368,2.56e+14,2.73e+14,17694720
2180,30.5257,7.6367,2.58e+14,2.76e+14,17858560
2200,31.9748,7.6369,2.61e+14,2.79e+14,18022400
2220,29.9379,7.6366,2.63e+14,2.81e+14,18186240
