step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
20,9.4557,9.3471,2.25e+12,2.44e+12,163840
40,7.6234,7.7939,4.62e+12,4.88e+12,327680
60,7.5599,7.7875,7.00e+12,7.32e+12,491520
80,7.6204,7.8515,9.37e+12,9.76e+12,655360
100,7.6828,7.8912,1.17e+13,1.22e+13,819200
120,7.6150,7.7301,1.41e+13,1.46e+13,983040
140,7.4496,7.6132,1.65e+13,1.71e+13,1146880
160,7.3519,7.5111,1.89e+13,1.95e+13,1310720
180,7.3331,7.4239,2.12e+13,2.20e+13,1474560
200,7.2762,7.3652,2.36e+13,2.44e+13,1638400
220,7.2550,7.2857,2.60e+13,2.68e+13,1802240
240,7.1167,7.2165,2.83e+13,2.93e+13,1966080
260,7.1067,7.1511,3.07e+13,3.17e+13,2129920
280,7.1273,7.0983,3.31e+13,3.42e+13,2293760
300,7.0896,7.0404,3.55e+13,3.66e+13,2457600
320,6.8321,6.9987,3.78e+13,3.90e+13,2621440
340,7.0022,6.9455,4.02e+13,4.15e+13,2785280
360,6.8391,6.9003,4.26e+13,4.39e+13,2949120
380,6.9075,6.8702,4.49e+13,4.63e+13,3112960
400,6.7249,6.8253,4.73e+13,4.88e+13,3276800
420,6.6683,6.8021,4.97e+13,5.12e+13,3440640
440,6.7297,6.7691,5.21e+13,5.37e+13,3604480
460,6.6004,6.7354,5.44e+13,5.61e+13,3768320
480,6.6119,6.7122,5.68e+13,5.85e+13,3932160
500,6.5798,6.6914,5.92e+13,6.10e+13,4096000
520,6.8788,6.6640,6.15e+13,6.34e+13,4259840
540,6.6869,6.6475,6.39e+13,6.59e+13,4423680
560,6.6356,6.6236,6.63e+13,6.83e+13,4587520
580,6.6736,6.6117,6.87e+13,7.07e+13,4751360
600,6.5849,6.5881,7.10e+13,7.32e+13,4915200
620,6.6557,6.5814,7.34e+13,7.56e+13,5079040
640,6.5244,6.5629,7.58e+13,7.81e+13,5242880
660,6.4400,6.5451,7.81e+13,8.05e+13,5406720
680,6.5113,6.5308,8.05e+13,8.29e+13,5570560
700,6.3475,6.5153,8.29e+13,8.54e+13,5734400
720,6.5105,6.5055,8.53e+13,8.78e+13,5898240
740,6.3867,6.4905,8.76e+13,9.03e+13,6062080
760,6.5101,6.4788,9.00e+13,9.27e+13,6225920
780,6.4769,6.4698,9.24e+13,9.51e+13,6389760
800,6.3722,6.4708,9.47e+13,9.76e+13,6553600
820,6.4783,6.4476,9.71e+13,1.00e+14,6717440
840,6.3830,6.4444,9.95e+13,1.02e+14,6881280
860,6.5151,6.4339,1.02e+14,1.05e+14,7045120
880,6.4518,6.4261,1.04e+14,1.07e+14,7208960
900,6.4687,6.4241,1.07e+14,1.10e+14,7372800
920,6.3915,6.4143,1.09e+14,1.12e+14,7536640
940,6.4921,6.3861,1.11e+14,1.15e+14,7700480
960,6.4643,6.3808,1.14e+14,1.17e+14,7864320
980,6.3573,6.3766,1.16e+14,1.20e+14,8028160
1000,6.5354,6.3626,1.18e+14,1.22e+14,8192000
1020,6.4906,6.3647,1.21e+14,1.24e+14,8355840
1040,6.5298,6.3477,1.23e+14,1.27e+14,8519680
1060,6.4615,6.3442,1.26e+14,1.29e+14,8683520
1080,6.4230,6.3412,1.28e+14,1.32e+14,8847360
1100,6.3458,6.3290,1.30e+14,1.34e+14,9011200
1120,6.4847,6.3209,1.33e+14,1.37e+14,9175040
1140,6.3491,6.3140,1.35e+14,1.39e+14,9338880
1160,6.4461,6.3078,1.37e+14,1.41e+14,9502720
1180,6.3008,6.3028,1.40e+14,1.44e+14,9666560
1200,6.3310,6.2963,1.42e+14,1.46e+14,9830400
1220,6.4000,6.2870,1.45e+14,1.49e+14,9994240
1240,6.4316,6.2815,1.47e+14,1.51e+14,10158080
1260,6.3802,6.2750,1.49e+14,1.54e+14,10321920
1280,6.3863,6.2722,1.52e+14,1.56e+14,10485760
1300,6.4495,6.2621,1.54e+14,1.59e+14,10649600
1320,6.3906,6.2556,1.56e+14,1.61e+14,10813440
1340,6.2320,6.2517,1.59e+14,1.63e+14,10977280
1360,6.3658,6.2432,1.61e+14,1.66e+14,11141120
1380,6.2488,6.2403,1.64e+14,1.68e+14,11304960
1400,6.3884,6.2358,1.66e+14,1.71e+14,11468800
1420,6.4303,6.2370,1.68e+14,1.73e+14,11632640
1440,6.3309,6.2371,1.71e+14,1.76e+14,11796480
1460,6.3932,6.2329,1.73e+14,1.78e+14,11960320
1480,6.3763,6.2211,1.75e+14,1.81e+14,12124160
1500,6.4308,6.2184,1.78e+14,1.83e+14,12288000
1520,6.3301,6.2110,1.80e+14,1.85e+14,12451840
1540,6.1623,6.2131,1.82e+14,1.88e+14,12615680
1560,6.4348,6.2055,1.85e+14,1.90e+14,12779520
1580,6.2414,6.1985,1.87e+14,1.93e+14,12943360
1600,6.1466,6.2078,1.90e+14,1.95e+14,13107200
1620,6.3422,6.1945,1.92e+14,1.98e+14,13271040
1640,6.3851,6.1890,1.94e+14,2.00e+14,13434880
1660,6.2402,6.1962,1.97e+14,2.02e+14,13598720
1680,6.3048,6.1954,1.99e+14,2.05e+14,13762560
1700,6.1227,6.1852,2.01e+14,2.07e+14,13926400
1720,6.2811,6.1778,2.04e+14,2.10e+14,14090240
1740,6.2896,6.1751,2.06e+14,2.12e+14,14254080
1760,6.2792,6.1719,2.09e+14,2.15e+14,14417920
1780,6.4213,6.1709,2.11e+14,2.17e+14,14581760
1800,6.2114,6.1640,2.13e+14,2.20e+14,14745600
1820,6.2076,6.1610,2.16e+14,2.22e+14,14909440
1840,6.2863,6.1558,2.18e+14,2.24e+14,15073280
1860,6.2327,6.1558,2.20e+14,2.27e+14,15237120
1880,6.0778,6.1553,2.23e+14,2.29e+14,15400960
1900,6.2265,6.1506,2.25e+14,2.32e+14,15564800
1920,6.3567,6.1477,2.28e+14,2.34e+14,15728640
1940,6.2754,6.1447,2.30e+14,2.37e+14,15892480
1960,6.2639,6.1414,2.32e+14,2.39e+14,16056320
1980,6.2428,6.1349,2.35e+14,2.41e+14,16220160
2000,6.3122,6.1357,2.37e+14,2.44e+14,16384000
2020,6.2972,6.1334,2.39e+14,2.46e+14,16547840
2040,6.1572,6.1285,2.42e+14,2.49e+14,16711680
2060,6.3558,6.1275,2.44e+14,2.51e+14,16875520
2080,6.3260,6.1222,2.47e+14,2.54e+14,17039360
2100,6.2928,6.1162,2.49e+14,2.56e+14,17203200
2120,6.2725,6.1155,2.51e+14,2.59e+14,17367040
2140,6.2997,6.1163,2.54e+14,2.61e+14,17530880
2160,6.1737,6.1215,2.56e+14,2.63e+14,17694720
2180,6.2418,6.1105,2.58e+14,2.66e+14,17858560
2200,6.1910,6.1061,2.61e+14,2.68e+14,18022400
2220,6.2399,6.1035,2.63e+14,2.71e+14,18186240
2240,6.3654,6.0969,2.65e+14,2.73e+14,18350080
2260,6.1945,6.1021,2.68e+14,2.76e+14,18513920
2280,6.1578,6.0983,2.70e+14,2.78e+14,18677760
2300,6.2799,6.0931,2.73e+14,2.81e+14,18841600
2320,6.3134,6.0921,2.75e+14,2.83e+14,19005440
2340,6.2531,6.0890,2.77e+14,2.85e+14,19169280
2360,6.1513,6.0858,2.80e+14,2.88e+14,19333120
2380,6.2172,6.0791,2.82e+14,2.90e+14,19496960
2400,6.3571,6.0782,2.84e+14,2.93e+14,19660800
2420,6.2689,6.0765,2.87e+14,2.95e+14,19824640
2440,6.3662,6.0764,2.89e+14,2.98e+14,19988480
2460,6.1605,6.0752,2.92e+14,3.00e+14,20152320
2480,6.2633,6.0678,2.94e+14,3.02e+14,20316160
2500,6.1176,6.0695,2.96e+14,3.05e+14,20480000
2520,6.2067,6.0631,2.99e+14,3.07e+14,20643840
2540,6.1923,6.0642,3.01e+14,3.10e+14,20807680
2560,6.1076,6.0583,3.03e+14,3.12e+14,20971520
2580,6.2883,6.0594,3.06e+14,3.15e+14,21135360
2600,6.2753,6.0578,3.08e+14,3.17e+14,21299200
2620,6.2132,6.0552,3.11e+14,3.20e+14,21463040
2640,6.3294,6.0526,3.13e+14,3.22e+14,21626880
2660,6.2431,6.0502,3.15e+14,3.24e+14,21790720
2680,6.2700,6.0502,3.18e+14,3.27e+14,21954560
2700,6.2071,6.0510,3.20e+14,3.29e+14,22118400
2720,6.1947,6.0518,3.22e+14,3.32e+14,22282240
2740,6.1100,6.0490,3.25e+14,3.34e+14,22446080
2760,6.1075,6.0488,3.27e+14,3.37e+14,22609920
2780,6.0997,6.0441,3.30e+14,3.39e+14,22773760
2800,6.1750,6.0402,3.32e+14,3.42e+14,22937600
2820,6.3019,6.0354,3.34e+14,3.44e+14,23101440
2840,6.3235,6.0354,3.37e+14,3.46e+14,23265280
2860,6.1343,6.0360,3.39e+14,3.49e+14,23429120
2880,6.2816,6.0364,3.41e+14,3.51e+14,23592960
2900,6.0858,6.0314,3.44e+14,3.54e+14,23756800
2920,6.2306,6.0308,3.46e+14,3.56e+14,23920640
2940,6.1771,6.0238,3.48e+14,3.59e+14,24084480
2960,6.1431,6.0242,3.51e+14,3.61e+14,24248320
2980,6.2200,6.0243,3.53e+14,3.63e+14,24412160
3000,6.0927,6.0215,3.56e+14,3.66e+14,24576000
3020,6.2606,6.0194,3.58e+14,3.68e+14,24739840
3040,6.2762,6.0196,3.60e+14,3.71e+14,24903680
3060,6.1784,6.0169,3.63e+14,3.73e+14,25067520
3080,6.1809,6.0146,3.65e+14,3.76e+14,25231360
3100,6.1516,6.0148,3.67e+14,3.78e+14,25395200
3120,6.3005,6.0098,3.70e+14,3.81e+14,25559040
3140,6.1925,6.0091,3.72e+14,3.83e+14,25722880
3160,6.2009,6.0094,3.75e+14,3.85e+14,25886720
3180,6.3020,6.0070,3.77e+14,3.88e+14,26050560
3200,6.1796,6.0078,3.79e+14,3.90e+14,26214400
3220,6.2192,6.0057,3.82e+14,3.93e+14,26378240
3240,6.1541,6.0041,3.84e+14,3.95e+14,26542080
3260,6.0946,6.0053,3.86e+14,3.98e+14,26705920
3280,6.3391,6.0016,3.89e+14,4.00e+14,26869760
3300,6.1573,6.0013,3.91e+14,4.02e+14,27033600
3320,6.1905,5.9996,3.94e+14,4.05e+14,27197440
3340,6.1875,5.9984,3.96e+14,4.07e+14,27361280
3360,6.1023,5.9971,3.98e+14,4.10e+14,27525120
3380,6.2591,5.9955,4.01e+14,4.12e+14,27688960
3400,6.2017,5.9957,4.03e+14,4.15e+14,27852800
3420,6.2216,5.9926,4.05e+14,4.17e+14,28016640
3440,6.1088,5.9910,4.08e+14,4.20e+14,28180480
3460,6.0773,5.9911,4.10e+14,4.22e+14,28344320
3480,6.0557,5.9892,4.13e+14,4.24e+14,28508160
3500,6.2054,5.9882,4.15e+14,4.27e+14,28672000
3520,6.1016,5.9872,4.17e+14,4.29e+14,28835840
3540,6.1257,5.9874,4.20e+14,4.32e+14,28999680
3560,6.2027,5.9838,4.22e+14,4.34e+14,29163520
3580,6.3122,5.9833,4.24e+14,4.37e+14,29327360
3600,6.2052,5.9833,4.27e+14,4.39e+14,29491200
3620,6.1583,5.9828,4.29e+14,4.42e+14,29655040
3640,6.0787,5.9815,4.31e+14,4.44e+14,29818880
3660,6.2211,5.9790,4.34e+14,4.46e+14,29982720
3680,6.2487,5.9788,4.36e+14,4.49e+14,30146560
3700,6.2278,5.9767,4.39e+14,4.51e+14,30310400
3720,6.0658,5.9753,4.41e+14,4.54e+14,30474240
3740,6.0994,5.9749,4.43e+14,4.56e+14,30638080
3760,6.0518,5.9767,4.46e+14,4.59e+14,30801920
3780,6.0833,5.9771,4.48e+14,4.61e+14,30965760
3800,6.1557,5.9759,4.50e+14,4.63e+14,31129600
3820,6.2173,5.9738,4.53e+14,4.66e+14,31293440
3840,6.3180,5.9729,4.55e+14,4.68e+14,31457280
3860,6.2037,5.9725,4.58e+14,4.71e+14,31621120
3880,6.0712,5.9724,4.60e+14,4.73e+14,31784960
3900,6.2920,5.9709,4.62e+14,4.76e+14,31948800
3920,6.2440,5.9697,4.65e+14,4.78e+14,32112640
3940,6.1254,5.9689,4.67e+14,4.81e+14,32276480
3960,6.0354,5.9682,4.69e+14,4.83e+14,32440320
3980,6.1337,5.9671,4.72e+14,4.85e+14,32604160
4000,6.1870,5.9666,4.74e+14,4.88e+14,32768000
4020,6.1987,5.9660,4.77e+14,4.90e+14,32931840
4040,6.1991,5.9653,4.79e+14,4.93e+14,33095680
4060,6.0309,5.9651,4.81e+14,4.95e+14,33259520
4080,6.1480,5.9637,4.84e+14,4.98e+14,33423360
4100,6.1652,5.9626,4.86e+14,5.00e+14,33587200
4120,6.2739,5.9624,4.88e+14,5.03e+14,33751040
4140,6.1194,5.9632,4.91e+14,5.05e+14,33914880
4160,6.3498,5.9621,4.93e+14,5.07e+14,34078720
4180,6.0488,5.9616,4.96e+14,5.10e+14,34242560
4200,6.1577,5.9610,4.98e+14,5.12e+14,34406400
4220,6.1671,5.9607,5.00e+14,5.15e+14,34570240
4240,6.1761,5.9586,5.03e+14,5.17e+14,34734080
4260,6.0557,5.9588,5.05e+14,5.20e+14,34897920
4280,6.1564,5.9579,5.07e+14,5.22e+14,35061760
4300,6.1833,5.9562,5.10e+14,5.24e+14,35225600
4320,6.1711,5.9561,5.12e+14,5.27e+14,35389440
4340,6.2416,5.9565,5.14e+14,5.29e+14,35553280
4360,6.1874,5.9556,5.17e+14,5.32e+14,35717120
4380,6.3240,5.9550,5.19e+14,5.34e+14,35880960
4400,6.2875,5.9565,5.22e+14,5.37e+14,36044800
4420,6.1633,5.9559,5.24e+14,5.39e+14,36208640
4440,6.2280,5.9549,5.26e+14,5.42e+14,36372480
