step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
20,10.6796,10.6602,3.00e+12,3.47e+12,163840
40,9.5641,9.4913,6.17e+12,6.95e+12,327680
60,8.1471,8.1734,9.33e+12,1.04e+13,491520
80,7.6767,7.7388,1.25e+13,1.39e+13,655360
100,7.7582,7.7485,1.57e+13,1.74e+13,819200
120,7.6999,7.7644,1.88e+13,2.08e+13,983040
140,7.6637,7.7636,2.20e+13,2.43e+13,1146880
160,7.7039,7.7601,2.51e+13,2.78e+13,1310720
180,7.6617,7.7650,2.83e+13,3.13e+13,1474560
200,7.6933,7.7653,3.15e+13,3.47e+13,1638400
220,7.7443,7.7610,3.46e+13,3.82e+13,1802240
240,7.8950,7.7716,3.78e+13,4.17e+13,1966080
260,7.6939,7.7625,4.09e+13,4.51e+13,2129920
280,7.7211,7.7623,4.41e+13,4.86e+13,2293760
300,7.7626,7.7630,4.73e+13,5.21e+13,2457600
320,7.6975,7.7737,5.04e+13,5.56e+13,2621440
340,7.7706,7.7718,5.36e+13,5.90e+13,2785280
360,7.8575,7.7550,5.68e+13,6.25e+13,2949120
380,7.7847,7.7421,5.99e+13,6.60e+13,3112960
400,7.6593,7.7245,6.31e+13,6.95e+13,3276800
420,7.7660,7.7220,6.62e+13,7.29e+13,3440640
440,7.6837,7.7177,6.94e+13,7.64e+13,3604480
460,7.6378,7.7140,7.26e+13,7.99e+13,3768320
480,7.8204,7.7112,7.57e+13,8.34e+13,3932160
500,7.7697,7.7101,7.89e+13,8.68e+13,4096000
520,7.7218,7.7212,8.21e+13,9.03e+13,4259840
540,7.7433,7.7178,8.52e+13,9.38e+13,4423680
560,7.8224,7.7273,8.84e+13,9.72e+13,4587520
580,7.6267,7.7086,9.15e+13,1.01e+14,4751360
600,7.6165,7.7059,9.47e+13,1.04e+14,4915200
620,7.7734,7.7100,9.79e+13,1.08e+14,5079040
640,7.7018,7.6987,1.01e+14,1.11e+14,5242880
660,7.6327,7.7036,1.04e+14,1.15e+14,5406720
680,7.6256,7.6955,1.07e+14,1.18e+14,5570560
700,7.6346,7.6920,1.11e+14,1.22e+14,5734400
720,7.7058,7.6928,1.14e+14,1.25e+14,5898240
740,7.7781,7.6943,1.17e+14,1.29e+14,6062080
760,7.6949,7.6900,1.20e+14,1.32e+14,6225920
780,7.6187,7.6932,1.23e+14,1.35e+14,6389760
