step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
20,9.1427,9.0090,4.51e+12,5.06e+12,327680
40,7.9140,8.0533,9.25e+12,1.01e+13,655360
60,7.7440,7.8725,1.40e+13,1.52e+13,983040
80,7.7352,7.8465,1.87e+13,2.03e+13,1310720
100,7.7294,7.8344,2.35e+13,2.53e+13,1638400
120,7.7548,7.8352,2.82e+13,3.04e+13,1966080
140,7.7504,7.8211,3.30e+13,3.54e+13,2293760
160,7.8436,7.8341,3.77e+13,4.05e+13,2621440
180,7.7576,7.8288,4.24e+13,4.56e+13,2949120
200,7.7258,7.8360,4.72e+13,5.06e+13,3276800
220,7.8053,7.8227,5.19e+13,5.57e+13,3604480
240,7.6518,7.8252,5.67e+13,6.08e+13,3932160
260,7.7902,7.8328,6.14e+13,6.58e+13,4259840
280,7.8020,7.8497,6.62e+13,7.09e+13,4587520
300,7.8776,7.8278,7.09e+13,7.60e+13,4915200
320,7.7591,7.8289,7.56e+13,8.10e+13,5242880
340,7.8314,7.8299,8.04e+13,8.61e+13,5570560
360,7.7470,7.8211,8.51e+13,9.11e+13,5898240
380,7.8385,7.8167,8.99e+13,9.62e+13,6225920
400,7.7511,7.8146,9.46e+13,1.01e+14,6553600
420,7.7487,7.8164,9.94e+13,1.06e+14,6881280
440,7.7918,7.8196,1.04e+14,1.11e+14,7208960
460,7.7262,7.8125,1.09e+14,1.16e+14,7536640
480,7.8124,7.8298,1.14e+14,1.22e+14,7864320
500,7.7627,7.8248,1.18e+14,1.27e+14,8192000
520,7.8078,7.8226,1.23e+14,1.32e+14,8519680
540,7.7536,7.8256,1.28e+14,1.37e+14,8847360
560,7.6939,7.8145,1.33e+14,1.42e+14,9175040
580,7.8359,7.8215,1.37e+14,1.47e+14,9502720
600,7.7679,7.8150,1.42e+14,1.52e+14,9830400
620,7.8640,7.8123,1.47e+14,1.57e+14,10158080
640,7.7730,7.8137,1.52e+14,1.62e+14,10485760
660,7.7621,7.8080,1.56e+14,1.67e+14,10813440
680,7.8306,7.8040,1.61e+14,1.72e+14,11141120
700,7.6912,7.8117,1.66e+14,1.77e+14,11468800
720,7.7500,7.7916,1.71e+14,1.82e+14,11796480
740,7.7727,7.7900,1.75e+14,1.87e+14,12124160
760,7.8080,7.8030,1.80e+14,1.92e+14,12451840
780,7.7505,7.7918,1.85e+14,1.97e+14,12779520
800,7.6348,7.7898,1.89e+14,2.03e+14,13107200
820,7.7342,7.7921,1.94e+14,2.08e+14,13434880
840,7.6117,7.7901,1.99e+14,2.13e+14,13762560
860,7.8002,7.7849,2.04e+14,2.18e+14,14090240
880,7.7706,7.8033,2.08e+14,2.23e+14,14417920
900,7.7676,7.7910,2.13e+14,2.28e+14,14745600
920,7.7682,7.7860,2.18e+14,2.33e+14,15073280
940,7.8184,7.7779,2.23e+14,2.38e+14,15400960
960,7.7640,7.7730,2.27e+14,2.43e+14,15728640
980,7.7463,7.7761,2.32e+14,2.48e+14,16056320
1000,7.7506,7.7717,2.37e+14,2.53e+14,16384000
1020,7.7047,7.7708,2.42e+14,2.58e+14,16711680
1040,7.7531,7.7631,2.46e+14,2.63e+14,17039360
1060,7.8177,7.7610,2.51e+14,2.68e+14,17367040
1080,7.7590,7.7607,2.56e+14,2.73e+14,17694720
1100,7.7104,7.7571,2.61e+14,2.78e+14,18022400
1120,7.7156,7.7553,2.65e+14,2.84e+14,18350080
1140,7.6582,7.7500,2.70e+14,2.89e+14,18677760
1160,7.6799,7.7446,2.75e+14,2.94e+14,19005440
1180,7.6730,7.7434,2.80e+14,2.99e+14,19333120
1200,7.6701,7.7556,2.84e+14,3.04e+14,19660800
1220,7.7457,7.7449,2.89e+14,3.09e+14,19988480
1240,7.7893,7.7485,2.94e+14,3.14e+14,20316160
1260,7.7244,7.7366,2.99e+14,3.19e+14,20643840
1280,7.6698,7.7336,3.03e+14,3.24e+14,20971520
1300,7.7327,7.7279,3.08e+14,3.29e+14,21299200
1320,7.7196,7.7260,3.13e+14,3.34e+14,21626880
1340,7.5839,7.7324,3.18e+14,3.39e+14,21954560
1360,7.7135,7.7231,3.22e+14,3.44e+14,22282240
1380,7.6736,7.7246,3.27e+14,3.49e+14,22609920
1400,7.6341,7.7188,3.32e+14,3.54e+14,22937600
1420,7.7865,7.7167,3.37e+14,3.60e+14,23265280
1440,7.7022,7.7094,3.41e+14,3.65e+14,23592960
1460,7.7824,7.7191,3.46e+14,3.70e+14,23920640
1480,7.7218,7.7050,3.51e+14,3.75e+14,24248320
1500,7.7144,7.7094,3.55e+14,3.80e+14,24576000
1520,7.7307,7.7106,3.60e+14,3.85e+14,24903680
1540,7.6931,7.7184,3.65e+14,3.90e+14,25231360
1560,7.7263,7.7036,3.70e+14,3.95e+14,25559040
1580,7.5805,7.6980,3.74e+14,4.00e+14,25886720
1600,7.5249,7.6996,3.79e+14,4.05e+14,26214400
1620,7.6792,7.7009,3.84e+14,4.10e+14,26542080
1640,7.7028,7.6992,3.89e+14,4.15e+14,26869760
1660,7.6062,7.7007,3.93e+14,4.20e+14,27197440
1680,7.6699,7.6924,3.98e+14,4.25e+14,27525120
1700,7.6571,7.6858,4.03e+14,4.30e+14,27852800
1720,7.6278,7.6876,4.08e+14,4.35e+14,28180480
1740,7.6466,7.6796,4.12e+14,4.41e+14,28508160
1760,7.7420,7.6863,4.17e+14,4.46e+14,28835840
1780,7.7745,7.6812,4.22e+14,4.51e+14,29163520
1800,7.6161,7.6834,4.27e+14,4.56e+14,29491200
1820,7.6359,7.6791,4.31e+14,4.61e+14,29818880
1840,7.7029,7.6802,4.36e+14,4.66e+14,30146560
1860,7.7038,7.6789,4.41e+14,4.71e+14,30474240
1880,7.6191,7.6751,4.46e+14,4.76e+14,30801920
1900,7.7010,7.6794,4.50e+14,4.81e+14,31129600
1920,7.6882,7.6777,4.55e+14,4.86e+14,31457280
1940,7.6569,7.6802,4.60e+14,4.91e+14,31784960
1960,7.6234,7.6731,4.65e+14,4.96e+14,32112640
