step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
20,9.5203,9.4168,3.00e+12,3.24e+12,163840
40,7.8440,7.7948,6.17e+12,6.49e+12,327680
60,7.7563,7.7863,9.33e+12,9.73e+12,491520
80,7.8092,7.7898,1.25e+13,1.30e+13,655360
100,7.9259,7.8467,1.57e+13,1.62e+13,819200
120,7.7378,7.6680,1.88e+13,1.95e+13,983040
140,7.6656,7.5767,2.20e+13,2.27e+13,1146880
160,7.6255,7.4820,2.51e+13,2.60e+13,1310720
180,7.5949,7.4473,2.83e+13,2.92e+13,1474560
200,7.5765,7.4119,3.15e+13,3.24e+13,1638400
220,7.5790,7.3658,3.46e+13,3.57e+13,1802240
240,7.6900,7.3207,3.78e+13,3.89e+13,1966080
260,7.4681,7.2721,4.09e+13,4.22e+13,2129920
280,7.6053,7.3523,4.41e+13,4.54e+13,2293760
300,7.5185,7.2176,4.73e+13,4.87e+13,2457600
320,7.3939,7.1973,5.04e+13,5.19e+13,2621440
340,7.4404,7.1676,5.36e+13,5.51e+13,2785280
360,7.5042,7.1538,5.68e+13,5.84e+13,2949120
380,7.4849,7.1094,5.99e+13,6.16e+13,3112960
400,7.3297,7.0870,6.31e+13,6.49e+13,3276800
420,7.3900,7.0705,6.62e+13,6.81e+13,3440640
440,7.3045,7.0388,6.94e+13,7.14e+13,3604480
460,7.2585,7.0125,7.26e+13,7.46e+13,3768320
480,7.4409,6.9925,7.57e+13,7.79e+13,3932160
500,7.3686,6.9756,7.89e+13,8.11e+13,4096000
520,7.2899,6.9707,8.21e+13,8.43e+13,4259840
540,7.2416,6.9403,8.52e+13,8.76e+13,4423680
560,7.2902,6.9331,8.84e+13,9.08e+13,4587520
580,7.1355,6.9085,9.15e+13,9.41e+13,4751360
600,7.1303,6.8925,9.47e+13,9.73e+13,4915200
620,7.2516,6.8900,9.79e+13,1.01e+14,5079040
640,7.1148,6.8625,1.01e+14,1.04e+14,5242880
660,7.1144,6.8501,1.04e+14,1.07e+14,5406720
680,7.0495,6.8298,1.07e+14,1.10e+14,5570560
700,7.1079,6.8192,1.11e+14,1.14e+14,5734400
720,7.1728,6.8103,1.14e+14,1.17e+14,5898240
740,7.2090,6.7984,1.17e+14,1.20e+14,6062080
760,7.1345,6.7871,1.20e+14,1.23e+14,6225920
780,7.0355,6.7839,1.23e+14,1.27e+14,6389760
800,6.9700,6.7805,1.26e+14,1.30e+14,6553600
820,6.9015,6.7701,1.29e+14,1.33e+14,6717440
840,7.0073,6.7656,1.33e+14,1.36e+14,6881280
860,7.1638,6.7536,1.36e+14,1.39e+14,7045120
880,7.2057,6.7472,1.39e+14,1.43e+14,7208960
900,7.0937,6.7314,1.42e+14,1.46e+14,7372800
920,7.1000,6.7259,1.45e+14,1.49e+14,7536640
940,7.2220,6.7189,1.48e+14,1.52e+14,7700480
960,7.0461,6.7104,1.52e+14,1.56e+14,7864320
980,6.9337,6.6956,1.55e+14,1.59e+14,8028160
1000,7.2065,6.6976,1.58e+14,1.62e+14,8192000
1020,7.0221,6.6854,1.61e+14,1.65e+14,8355840
1040,7.0067,6.6808,1.64e+14,1.69e+14,8519680
1060,6.9723,6.6729,1.67e+14,1.72e+14,8683520
1080,6.8661,6.6683,1.71e+14,1.75e+14,8847360
1100,6.7883,6.6607,1.74e+14,1.78e+14,9011200
1120,6.9422,6.6563,1.77e+14,1.82e+14,9175040
1140,6.9643,6.6485,1.80e+14,1.85e+14,9338880
1160,6.9756,6.6479,1.83e+14,1.88e+14,9502720
1180,7.0221,6.6450,1.86e+14,1.91e+14,9666560
1200,6.8711,6.6353,1.90e+14,1.95e+14,9830400
1220,7.0002,6.6329,1.93e+14,1.98e+14,9994240
1240,6.9000,6.6284,1.96e+14,2.01e+14,10158080
1260,6.8684,6.6236,1.99e+14,2.04e+14,10321920
1280,7.0108,6.6198,2.02e+14,2.08e+14,10485760
1300,6.9275,6.6177,2.05e+14,2.11e+14,10649600
1320,6.9330,6.6119,2.09e+14,2.14e+14,10813440
1340,6.9327,6.6090,2.12e+14,2.17e+14,10977280
1360,6.9393,6.6041,2.15e+14,2.21e+14,11141120
1380,6.8297,6.6019,2.18e+14,2.24e+14,11304960
1400,6.9467,6.5941,2.21e+14,2.27e+14,11468800
1420,6.9085,6.5908,2.24e+14,2.30e+14,11632640
1440,6.8772,6.5899,2.28e+14,2.34e+14,11796480
1460,6.8199,6.5875,2.31e+14,2.37e+14,11960320
1480,6.8999,6.5833,2.34e+14,2.40e+14,12124160
1500,6.9018,6.5805,2.37e+14,2.43e+14,12288000
1520,6.8836,6.5864,2.40e+14,2.47e+14,12451840
1540,6.8865,6.5848,2.43e+14,2.50e+14,12615680
1560,6.8387,6.5848,2.46e+14,2.53e+14,12779520
1580,6.9793,6.5792,2.50e+14,2.56e+14,12943360
1600,6.7869,6.5739,2.53e+14,2.60e+14,13107200
1620,6.9420,6.5683,2.56e+14,2.63e+14,13271040
1640,6.9082,6.5610,2.59e+14,2.66e+14,13434880
1660,6.7188,6.5567,2.62e+14,2.69e+14,13598720
1680,6.9413,6.5508,2.65e+14,2.72e+14,13762560
1700,6.8364,6.5482,2.69e+14,2.76e+14,13926400
1720,6.9607,6.5434,2.72e+14,2.79e+14,14090240
1740,6.8481,6.5400,2.75e+14,2.82e+14,14254080
1760,6.8840,6.5408,2.78e+14,2.85e+14,14417920
1780,6.8477,6.5408,2.81e+14,2.89e+14,14581760
1800,6.8114,6.5337,2.84e+14,2.92e+14,14745600
1820,6.7383,6.5297,2.88e+14,2.95e+14,14909440
1840,6.9358,6.5284,2.91e+14,2.98e+14,15073280
1860,6.8100,6.5277,2.94e+14,3.02e+14,15237120
1880,6.8542,6.5321,2.97e+14,3.05e+14,15400960
1900,6.7659,6.5297,3.00e+14,3.08e+14,15564800
1920,6.8165,6.5220,3.03e+14,3.11e+14,15728640
1940,6.7587,6.5260,3.07e+14,3.15e+14,15892480
1960,6.8252,6.5277,3.10e+14,3.18e+14,16056320
1980,6.7830,6.5237,3.13e+14,3.21e+14,16220160
