step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
20,10.0926,9.9310,3.32e+12,6.66e+12,655360
40,8.9182,8.8847,6.48e+12,1.33e+13,1310720
60,8.2897,8.1851,9.64e+12,2.00e+13,1966080
80,7.8984,7.7967,1.28e+13,2.66e+13,2621440
100,7.6917,7.6911,1.60e+13,3.33e+13,3276800
120,7.5309,7.6769,1.91e+13,3.99e+13,3932160
140,7.7117,7.6712,2.23e+13,4.66e+13,4587520
160,7.9831,7.6690,2.55e+13,5.32e+13,5242880
180,7.7395,7.6681,2.86e+13,5.99e+13,5898240
200,7.6718,7.6666,3.18e+13,6.66e+13,6553600
220,7.6832,7.6662,3.49e+13,7.32e+13,7208960
240,7.6738,7.6642,3.81e+13,7.99e+13,7864320
260,7.7806,7.6619,4.13e+13,8.65e+13,8519680
280,7.7459,7.6624,4.44e+13,9.32e+13,9175040
300,7.6352,7.6600,4.76e+13,9.98e+13,9830400
320,7.6800,7.6583,5.08e+13,1.06e+14,10485760
340,7.6120,7.6587,5.39e+13,1.13e+14,11141120
360,7.5303,7.6573,5.71e+13,1.20e+14,11796480
380,7.6753,7.6557,6.02e+13,1.26e+14,12451840
400,7.9951,7.6548,6.34e+13,1.33e+14,13107200
420,7.6637,7.6542,6.66e+13,1.40e+14,13762560
440,7.6517,7.6533,6.97e+13,1.46e+14,14417920
460,7.6827,7.6526,7.29e+13,1.53e+14,15073280
480,7.7875,7.6515,7.60e+13,1.60e+14,15728640
500,7.8350,7.6506,7.92e+13,1.66e+14,16384000
520,7.6320,7.6498,8.24e+13,1.73e+14,17039360
540,7.6146,7.6492,8.55e+13,1.80e+14,17694720
560,7.6832,7.6487,8.87e+13,1.86e+14,18350080
580,7.6134,7.6479,9.19e+13,1.93e+14,19005440
600,7.7249,7.6473,9.50e+13,2.00e+14,19660800
620,7.6425,7.6467,9.82e+13,2.06e+14,20316160
640,7.7092,7.6462,1.01e+14,2.13e+14,20971520
660,7.6704,7.6458,1.05e+14,2.20e+14,21626880
680,7.6874,7.6453,1.08e+14,2.26e+14,22282240
