step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
20,15.4568,7.7913,6.32e+12,6.66e+12,655360
40,15.4399,7.7112,1.26e+13,1.33e+13,1310720
60,15.2130,7.7744,1.90e+13,2.00e+13,1966080
80,15.7478,7.7202,2.53e+13,2.66e+13,2621440
100,15.2545,7.7048,3.16e+13,3.33e+13,3276800
120,15.3449,7.6896,3.79e+13,3.99e+13,3932160
140,15.4969,7.6912,4.43e+13,4.66e+13,4587520
160,15.4070,7.6810,5.06e+13,5.32e+13,5242880
180,15.1991,7.6784,5.69e+13,5.99e+13,5898240
200,15.6171,7.6722,6.32e+13,6.66e+13,6553600
220,15.5020,7.6713,6.96e+13,7.32e+13,7208960
240,15.3544,7.6655,7.59e+13,7.99e+13,7864320
260,15.1819,7.6613,8.22e+13,8.65e+13,8519680
280,15.4362,7.6618,8.85e+13,9.32e+13,9175040
300,15.4679,7.6631,9.49e+13,9.98e+13,9830400
320,15.4002,7.6563,1.01e+14,1.06e+14,10485760
340,15.2206,7.6521,1.08e+14,1.13e+14,11141120
