step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
20,10.6805,10.6642,2.25e+12,2.53e+12,163840
40,10.0956,10.0668,4.62e+12,5.06e+12,327680
60,9.1607,9.1546,7.00e+12,7.60e+12,491520
80,8.3883,8.3964,9.37e+12,1.01e+13,655360
100,8.0093,7.9319,1.17e+13,1.27e+13,819200
120,7.8221,7.7254,1.41e+13,1.52e+13,983040
140,7.6653,7.6923,1.65e+13,1.77e+13,1146880
160,7.6263,7.6902,1.89e+13,2.03e+13,1310720
180,7.7355,7.6880,2.12e+13,2.28e+13,1474560
200,7.5931,7.6914,2.36e+13,2.53e+13,1638400
220,7.6673,7.6888,2.60e+13,2.79e+13,1802240
240,7.6796,7.6858,2.83e+13,3.04e+13,1966080
260,7.6202,7.6780,3.07e+13,3.29e+13,2129920
280,7.6830,7.6781,3.31e+13,3.55e+13,2293760
300,7.8281,7.6738,3.55e+13,3.80e+13,2457600
320,7.6093,7.6637,3.78e+13,4.05e+13,2621440
340,7.6432,7.6593,4.02e+13,4.31e+13,2785280
360,7.7187,7.6625,4.26e+13,4.56e+13,2949120
380,7.5671,7.6456,4.49e+13,4.81e+13,3112960
400,7.6345,7.6394,4.73e+13,5.06e+13,3276800
420,7.5846,7.6296,4.97e+13,5.32e+13,3440640
440,7.5520,7.6318,5.21e+13,5.57e+13,3604480
460,7.5535,7.6171,5.44e+13,5.82e+13,3768320
480,7.5838,7.5867,5.68e+13,6.08e+13,3932160
500,7.5866,7.5448,5.92e+13,6.33e+13,4096000
520,7.4432,7.4894,6.15e+13,6.58e+13,4259840
540,7.4203,7.4591,6.39e+13,6.84e+13,4423680
560,7.4693,7.4311,6.63e+13,7.09e+13,4587520
580,7.3016,7.3969,6.87e+13,7.34e+13,4751360
600,7.4537,7.3587,7.10e+13,7.60e+13,4915200
620,7.1596,7.3131,7.34e+13,7.85e+13,5079040
640,7.2665,7.2707,7.58e+13,8.10e+13,5242880
660,7.1667,7.2501,7.81e+13,8.36e+13,5406720
680,7.1553,7.2027,8.05e+13,8.61e+13,5570560
700,7.1007,7.1609,8.29e+13,8.86e+13,5734400
720,6.8973,7.1341,8.53e+13,9.12e+13,5898240
740,7.0722,7.1050,8.76e+13,9.37e+13,6062080
760,6.9970,7.0806,9.00e+13,9.62e+13,6225920
780,7.0168,7.0408,9.24e+13,9.88e+13,6389760
800,6.9300,7.0097,9.47e+13,1.01e+14,6553600
820,6.9328,6.9743,9.71e+13,1.04e+14,6717440
840,7.0894,6.9515,9.95e+13,1.06e+14,6881280
860,6.8901,6.9199,1.02e+14,1.09e+14,7045120
880,6.9090,6.8964,1.04e+14,1.11e+14,7208960
900,6.8221,6.8752,1.07e+14,1.14e+14,7372800
920,7.0278,6.8528,1.09e+14,1.16e+14,7536640
940,6.8516,6.8334,1.11e+14,1.19e+14,7700480
960,6.8501,6.8157,1.14e+14,1.22e+14,7864320
980,6.7169,6.8015,1.16e+14,1.24e+14,8028160
1000,6.7719,6.7797,1.18e+14,1.27e+14,8192000
1020,6.8335,6.7649,1.21e+14,1.29e+14,8355840
1040,6.7621,6.7518,1.23e+14,1.32e+14,8519680
1060,6.7443,6.7388,1.26e+14,1.34e+14,8683520
1080,6.6601,6.7220,1.28e+14,1.37e+14,8847360
1100,6.6333,6.7075,1.30e+14,1.39e+14,9011200
1120,6.6869,6.7043,1.33e+14,1.42e+14,9175040
1140,6.6335,6.6857,1.35e+14,1.44e+14,9338880
1160,6.5596,6.6764,1.37e+14,1.47e+14,9502720
1180,6.6661,6.6643,1.40e+14,1.49e+14,9666560
1200,6.7077,6.6510,1.42e+14,1.52e+14,9830400
1220,6.7078,6.6399,1.45e+14,1.54e+14,9994240
1240,6.6166,6.6374,1.47e+14,1.57e+14,10158080
1260,6.4885,6.6265,1.49e+14,1.60e+14,10321920
1280,6.4719,6.6179,1.52e+14,1.62e+14,10485760
1300,6.5690,6.6125,1.54e+14,1.65e+14,10649600
1320,6.4657,6.6072,1.56e+14,1.67e+14,10813440
1340,6.6045,6.6024,1.59e+14,1.70e+14,10977280
1360,6.5500,6.5906,1.61e+14,1.72e+14,11141120
1380,6.5072,6.5824,1.64e+14,1.75e+14,11304960
1400,6.4698,6.5723,1.66e+14,1.77e+14,11468800
1420,6.4341,6.5670,1.68e+14,1.80e+14,11632640
1440,6.4840,6.5550,1.71e+14,1.82e+14,11796480
1460,6.4263,6.5494,1.73e+14,1.85e+14,11960320
1480,6.5691,6.5469,1.75e+14,1.87e+14,12124160
1500,6.4644,6.5433,1.78e+14,1.90e+14,12288000
1520,6.5314,6.5319,1.80e+14,1.92e+14,12451840
1540,6.6167,6.5287,1.82e+14,1.95e+14,12615680
1560,6.5064,6.5222,1.85e+14,1.98e+14,12779520
1580,6.5604,6.5129,1.87e+14,2.00e+14,12943360
1600,6.5008,6.5104,1.90e+14,2.03e+14,13107200
1620,6.4868,6.5071,1.92e+14,2.05e+14,13271040
1640,6.5391,6.4984,1.94e+14,2.08e+14,13434880
1660,6.5211,6.4978,1.97e+14,2.10e+14,13598720
1680,6.5866,6.4873,1.99e+14,2.13e+14,13762560
1700,6.4337,6.4829,2.01e+14,2.15e+14,13926400
1720,6.4364,6.4822,2.04e+14,2.18e+14,14090240
1740,6.4872,6.4722,2.06e+14,2.20e+14,14254080
1760,6.4407,6.4698,2.09e+14,2.23e+14,14417920
1780,6.5187,6.4681,2.11e+14,2.25e+14,14581760
1800,6.4474,6.4638,2.13e+14,2.28e+14,14745600
1820,6.3884,6.4580,2.16e+14,2.30e+14,14909440
1840,6.3348,6.4536,2.18e+14,2.33e+14,15073280
1860,6.4715,6.4482,2.20e+14,2.36e+14,15237120
1880,6.2952,6.4436,2.23e+14,2.38e+14,15400960
1900,6.5055,6.4401,2.25e+14,2.41e+14,15564800
1920,6.3633,6.4355,2.28e+14,2.43e+14,15728640
1940,6.5312,6.4352,2.30e+14,2.46e+14,15892480
1960,6.4755,6.4350,2.32e+14,2.48e+14,16056320
1980,6.3958,6.4255,2.35e+14,2.51e+14,16220160
2000,6.6012,6.4229,2.37e+14,2.53e+14,16384000
2020,6.3558,6.4190,2.39e+14,2.56e+14,16547840
2040,6.4402,6.4184,2.42e+14,2.58e+14,16711680
2060,6.1938,6.4139,2.44e+14,2.61e+14,16875520
2080,6.3704,6.4101,2.47e+14,2.63e+14,17039360
2100,6.4030,6.4087,2.49e+14,2.66e+14,17203200
2120,6.3963,6.4067,2.51e+14,2.68e+14,17367040
2140,6.4309,6.4027,2.54e+14,2.71e+14,17530880
2160,6.3500,6.4008,2.56e+14,2.73e+14,17694720
2180,6.4517,6.3966,2.58e+14,2.76e+14,17858560
2200,6.4676,6.3984,2.61e+14,2.79e+14,18022400
2220,6.4418,6.3924,2.63e+14,2.81e+14,18186240
2240,6.2761,6.3909,2.65e+14,2.84e+14,18350080
2260,6.4110,6.3889,2.68e+14,2.86e+14,18513920
2280,6.5884,6.3872,2.70e+14,2.89e+14,18677760
2300,6.3950,6.3873,2.73e+14,2.91e+14,18841600
2320,6.4280,6.3843,2.75e+14,2.94e+14,19005440
2340,6.3547,6.3826,2.77e+14,2.96e+14,19169280
2360,6.3232,6.3793,2.80e+14,2.99e+14,19333120
2380,6.2855,6.3814,2.82e+14,3.01e+14,19496960
2400,6.2777,6.3773,2.84e+14,3.04e+14,19660800
2420,6.3955,6.3762,2.87e+14,3.06e+14,19824640
2440,6.2986,6.3751,2.89e+14,3.09e+14,19988480
2460,6.2609,6.3719,2.92e+14,3.11e+14,20152320
2480,6.3798,6.3698,2.94e+14,3.14e+14,20316160
2500,6.4686,6.3691,2.96e+14,3.17e+14,20480000
2520,6.4122,6.3667,2.99e+14,3.19e+14,20643840
2540,6.3828,6.3651,3.01e+14,3.22e+14,20807680
2560,6.3904,6.3634,3.03e+14,3.24e+14,20971520
2580,6.3731,6.3617,3.06e+14,3.27e+14,21135360
2600,6.2857,6.3617,3.08e+14,3.29e+14,21299200
2620,6.3758,6.3597,3.11e+14,3.32e+14,21463040
2640,6.3793,6.3585,3.13e+14,3.34e+14,21626880
2660,6.4272,6.3584,3.15e+14,3.37e+14,21790720
2680,6.3924,6.3570,3.18e+14,3.39e+14,21954560
2700,6.3246,6.3552,3.20e+14,3.42e+14,22118400
2720,6.2092,6.3536,3.22e+14,3.44e+14,22282240
2740,6.2432,6.3536,3.25e+14,3.47e+14,22446080
2760,6.3885,6.3519,3.27e+14,3.49e+14,22609920
2780,6.3526,6.3510,3.30e+14,3.52e+14,22773760
