step,training_loss,validation_loss,non_streaming_loss,total_flops_profiler,theoretical_flops,tokens
50,7.6844,7.8344,8.0481,7.75e+12,8.19e+12,409600
100,7.7229,7.9344,7.9673,1.57e+13,1.64e+13,819200
150,7.7134,8.0924,8.1239,2.36e+13,2.46e+13,1228800
200,7.5900,7.7410,7.7574,3.15e+13,3.28e+13,1638400
250,7.2929,7.5373,7.5623,3.94e+13,4.10e+13,2048000
300,7.0691,7.3613,7.3963,4.73e+13,4.92e+13,2457600
350,6.7842,7.0885,7.1113,5.52e+13,5.73e+13,2867200
400,6.7476,7.3603,7.3655,6.31e+13,6.55e+13,3276800
450,6.6625,6.8459,6.8503,7.10e+13,7.37e+13,3686400
500,6.6240,6.7661,6.7828,7.89e+13,8.19e+13,4096000
550,6.5130,6.7008,6.7137,8.68e+13,9.01e+13,4505600
600,6.4245,6.7553,6.7842,9.47e+13,9.83e+13,4915200
650,6.3489,6.5918,6.6090,1.03e+14,1.06e+14,5324800
700,6.4256,6.5385,6.5567,1.11e+14,1.15e+14,5734400
750,6.2419,6.4680,6.4834,1.18e+14,1.23e+14,6144000
800,6.3314,6.4392,6.4559,1.26e+14,1.31e+14,6553600
850,6.2323,6.4310,6.4526,1.34e+14,1.39e+14,6963200
900,6.2467,6.4893,6.4913,1.42e+14,1.47e+14,7372800
950,6.1790,6.4201,6.4437,1.50e+14,1.56e+14,7782400
1000,6.1752,6.3894,6.4128,1.58e+14,1.64e+14,8192000
1050,6.0578,6.4229,6.4366,1.66e+14,1.72e+14,8601600
1100,6.0329,6.3853,6.4037,1.74e+14,1.80e+14,9011200
1150,6.1176,6.3736,6.3827,1.82e+14,1.88e+14,9420800
1200,6.0789,6.3467,6.3599,1.90e+14,1.97e+14,9830400
1250,6.1177,6.3364,6.3477,1.97e+14,2.05e+14,10240000
1300,6.0255,6.3062,6.3167,2.05e+14,2.13e+14,10649600
1350,6.1514,6.2879,6.3001,2.13e+14,2.21e+14,11059200
1400,6.0036,6.3118,6.3348,2.21e+14,2.29e+14,11468800
1450,6.1018,6.2900,6.3059,2.29e+14,2.38e+14,11878400
1500,6.1367,6.2828,6.2948,2.37e+14,2.46e+14,12288000
1550,6.0316,6.2480,6.2651,2.45e+14,2.54e+14,12697600
1600,6.0107,6.2322,6.2505,2.53e+14,2.62e+14,13107200
1650,6.0212,6.2430,6.2602,2.61e+14,2.70e+14,13516800
1700,5.9895,6.2259,6.2489,2.69e+14,2.79e+14,13926400
1750,5.9919,6.2126,6.2309,2.77e+14,2.87e+14,14336000
1800,6.0176,6.2090,6.2331,2.84e+14,2.95e+14,14745600
1850,6.0903,6.1813,6.2088,2.92e+14,3.03e+14,15155200
1900,5.9667,6.1844,6.2119,3.00e+14,3.11e+14,15564800
1950,6.0275,6.1711,6.2028,3.08e+14,3.19e+14,15974400
2000,5.7682,6.1761,6.2017,3.16e+14,3.28e+14,16384000
2050,5.9163,6.1634,6.1983,3.24e+14,3.36e+14,16793600
2100,6.0192,6.1623,6.1927,3.32e+14,3.44e+14,17203200
2150,5.8769,6.1668,6.1939,3.40e+14,3.52e+14,17612800
2200,6.0639,6.1558,6.1742,3.48e+14,3.60e+14,18022400
2250,5.9757,6.1475,6.1643,3.56e+14,3.69e+14,18432000
2300,5.8107,6.1840,6.2017,3.63e+14,3.77e+14,18841600
2350,5.9795,6.1527,6.1754,3.71e+14,3.85e+14,19251200
2400,6.1595,6.1627,6.1874,3.79e+14,3.93e+14,19660800
2450,5.9547,6.1662,6.1901,3.87e+14,4.01e+14,20070400
2500,5.9343,6.1160,6.1467,3.95e+14,4.10e+14,20480000
