step,training_loss,validation_loss,non_streaming_loss,total_flops_profiler,theoretical_flops,tokens
50,8.7025,10.7834,9.0732,7.75e+12,8.68e+12,409600
100,7.6348,10.1134,8.1774,1.57e+13,1.74e+13,819200
150,7.6693,8.7206,8.2086,2.36e+13,2.60e+13,1228800
200,7.6433,7.8648,8.2389,3.15e+13,3.47e+13,1638400
250,7.6006,8.2614,8.4102,3.94e+13,4.34e+13,2048000
300,7.6841,7.9425,7.9495,4.73e+13,5.21e+13,2457600
350,7.6399,7.8696,7.8773,5.52e+13,6.08e+13,2867200
400,7.8621,8.0050,8.0048,6.31e+13,6.95e+13,3276800
450,7.6854,7.8313,7.8365,7.10e+13,7.81e+13,3686400
500,7.6939,7.7950,7.8029,7.89e+13,8.68e+13,4096000
550,7.6437,7.8016,7.8105,8.68e+13,9.55e+13,4505600
600,7.6815,7.7913,7.7959,9.47e+13,1.04e+14,4915200
650,7.6338,7.7904,7.7950,1.03e+14,1.13e+14,5324800
700,7.7091,7.7652,7.7685,1.11e+14,1.22e+14,5734400
750,7.6355,7.7692,7.7724,1.18e+14,1.30e+14,6144000
800,7.6745,7.7607,7.7640,1.26e+14,1.39e+14,6553600
850,7.6444,7.7669,7.7692,1.34e+14,1.48e+14,6963200
900,7.6536,7.7696,7.7710,1.42e+14,1.56e+14,7372800
950,7.5746,7.7585,7.7599,1.50e+14,1.65e+14,7782400
1000,7.6772,7.7633,7.7648,1.58e+14,1.74e+14,8192000
1050,7.5523,7.7806,7.7817,1.66e+14,1.82e+14,8601600
1100,7.6362,7.7768,7.7781,1.74e+14,1.91e+14,9011200
1150,7.6511,7.7622,7.7631,1.82e+14,2.00e+14,9420800
1200,7.6568,7.7624,7.7628,1.90e+14,2.08e+14,9830400
1250,7.5946,7.7619,7.7621,1.97e+14,2.17e+14,10240000
1300,7.5406,7.7553,7.7557,2.05e+14,2.26e+14,10649600
1350,7.6717,7.7541,7.7544,2.13e+14,2.34e+14,11059200
1400,7.6626,7.7549,7.7552,2.21e+14,2.43e+14,11468800
