step,training_loss,validation_loss,non_streaming_loss,total_flops_profiler,theoretical_flops,tokens
200,7.7136,7.8257,8.0645,6.29e+13,8.45e+13,1638400
400,7.6549,7.8349,7.8573,1.26e+14,1.69e+14,3276800
600,8.2850,7.8406,7.8592,1.89e+14,2.54e+14,4915200
800,7.5478,7.7828,7.7861,2.53e+14,3.38e+14,6553600
1000,7.6194,7.7833,7.7843,3.16e+14,4.23e+14,8192000
1200,7.6485,7.7652,7.7653,3.79e+14,5.07e+14,9830400
1400,7.5977,7.7429,7.7431,4.42e+14,5.92e+14,11468800
1600,7.5632,7.7559,7.7562,5.06e+14,6.76e+14,13107200
1800,7.5795,7.7493,7.7495,5.69e+14,7.61e+14,14745600
2000,7.6234,7.7418,7.7448,6.32e+14,8.45e+14,16384000
2200,7.6110,7.7384,7.7404,6.95e+14,9.30e+14,18022400
2400,7.6311,7.6969,7.6977,7.59e+14,1.01e+15,19660800
2600,7.6416,7.7096,7.7098,8.22e+14,1.10e+15,21299200
2800,7.5965,7.7077,7.7081,8.85e+14,1.18e+15,22937600
3000,7.8327,7.7209,7.7216,9.48e+14,1.27e+15,24576000
3200,7.7260,7.7228,7.7235,1.01e+15,1.35e+15,26214400
3400,7.7040,7.7213,7.7218,1.07e+15,1.44e+15,27852800
3600,7.6853,7.7151,7.7153,1.14e+15,1.52e+15,29491200
3800,7.5856,7.7189,7.7189,1.20e+15,1.61e+15,31129600
4000,7.6306,7.7357,7.7359,1.26e+15,1.69e+15,32768000
4200,7.6591,7.7063,7.7067,1.33e+15,1.77e+15,34406400
4400,7.6285,7.7194,7.7196,1.39e+15,1.86e+15,36044800
4600,7.5753,7.7082,7.7093,1.45e+15,1.94e+15,37683200
4800,7.6306,7.7085,7.7087,1.52e+15,2.03e+15,39321600
5000,7.5277,7.7130,7.7131,1.58e+15,2.11e+15,40960000
5200,7.4984,7.7172,7.7174,1.64e+15,2.20e+15,42598400
5400,7.6565,7.7191,7.7191,1.71e+15,2.28e+15,44236800
5600,7.6293,7.7165,7.7170,1.77e+15,2.37e+15,45875200
5800,7.6181,7.7059,7.7060,1.83e+15,2.45e+15,47513600
6000,7.6133,7.7032,7.7033,1.90e+15,2.54e+15,49152000
6200,7.6839,7.7056,7.7059,1.96e+15,2.62e+15,50790400
6400,7.5687,7.7110,7.7112,2.02e+15,2.70e+15,52428800
6600,7.5789,7.7309,7.7307,2.09e+15,2.79e+15,54067200
6800,7.7215,7.7074,7.7074,2.15e+15,2.87e+15,55705600
7000,7.5873,7.7044,7.7044,2.21e+15,2.96e+15,57344000
7200,7.6334,7.7275,7.7272,2.28e+15,3.04e+15,58982400
7400,7.6028,7.7016,7.7017,2.34e+15,3.13e+15,60620800
7600,7.5846,7.7119,7.7119,2.40e+15,3.21e+15,62259200
