step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
20,10.8030,10.7843,1.20e+13,1.33e+13,327680
40,10.4385,10.4039,2.47e+13,2.65e+13,655360
60,9.2071,9.1895,3.73e+13,3.98e+13,983040
80,8.7878,8.7458,5.00e+13,5.31e+13,1310720
100,8.5814,8.5289,6.26e+13,6.63e+13,1638400
120,8.4441,8.4032,7.53e+13,7.96e+13,1966080
140,8.2693,8.3128,8.79e+13,9.29e+13,2293760
160,8.2630,8.2451,1.01e+14,1.06e+14,2621440
180,8.2340,8.1899,1.13e+14,1.19e+14,2949120
200,8.1258,8.1461,1.26e+14,1.33e+14,3276800
220,8.1378,8.1089,1.38e+14,1.46e+14,3604480
240,8.1026,8.0772,1.51e+14,1.59e+14,3932160
260,7.9925,8.0498,1.64e+14,1.72e+14,4259840
280,8.0404,8.0258,1.76e+14,1.86e+14,4587520
300,8.0518,8.0046,1.89e+14,1.99e+14,4915200
320,7.9744,7.9863,2.02e+14,2.12e+14,5242880
340,7.9673,7.9690,2.14e+14,2.26e+14,5570560
360,7.9614,7.9539,2.27e+14,2.39e+14,5898240
380,7.9660,7.9404,2.40e+14,2.52e+14,6225920
400,7.9647,7.9279,2.52e+14,2.65e+14,6553600
420,7.9405,7.9173,2.65e+14,2.79e+14,6881280
440,7.8518,7.9078,2.78e+14,2.92e+14,7208960
460,7.8753,7.8985,2.90e+14,3.05e+14,7536640
480,7.8848,7.8899,3.03e+14,3.18e+14,7864320
500,7.9019,7.8821,3.16e+14,3.32e+14,8192000
520,7.8555,7.8750,3.28e+14,3.45e+14,8519680
540,7.8024,7.8685,3.41e+14,3.58e+14,8847360
560,7.9002,7.8626,3.54e+14,3.71e+14,9175040
580,7.8321,7.8571,3.66e+14,3.85e+14,9502720
600,7.9095,7.8511,3.79e+14,3.98e+14,9830400
620,7.7827,7.8466,3.91e+14,4.11e+14,10158080
640,7.7818,7.8417,4.04e+14,4.25e+14,10485760
660,7.8024,7.8372,4.17e+14,4.38e+14,10813440
680,7.7430,7.8334,4.29e+14,4.51e+14,11141120
700,7.8082,7.8294,4.42e+14,4.64e+14,11468800
720,7.7533,7.8263,4.55e+14,4.78e+14,11796480
740,7.8843,7.8229,4.67e+14,4.91e+14,12124160
760,7.7961,7.8199,4.80e+14,5.04e+14,12451840
780,7.7979,7.8168,4.93e+14,5.17e+14,12779520
800,7.7854,7.8143,5.05e+14,5.31e+14,13107200
820,7.7946,7.8118,5.18e+14,5.44e+14,13434880
840,7.9222,7.8101,5.31e+14,5.57e+14,13762560
860,7.7809,7.8074,5.43e+14,5.70e+14,14090240
880,7.8488,7.8054,5.56e+14,5.84e+14,14417920
900,7.8497,7.8043,5.69e+14,5.97e+14,14745600
920,7.8895,7.8019,5.81e+14,6.10e+14,15073280
940,7.8891,7.8005,5.94e+14,6.23e+14,15400960
960,7.8113,7.7990,6.06e+14,6.37e+14,15728640
980,7.7566,7.7975,6.19e+14,6.50e+14,16056320
1000,7.7937,7.7964,6.32e+14,6.63e+14,16384000
1020,7.7925,7.7951,6.44e+14,6.77e+14,16711680
1040,7.7914,7.7940,6.57e+14,6.90e+14,17039360
1060,7.7630,7.7929,6.70e+14,7.03e+14,17367040
1080,7.7876,7.7920,6.82e+14,7.16e+14,17694720
1100,7.7476,7.7912,6.95e+14,7.30e+14,18022400
1120,7.8000,7.7905,7.08e+14,7.43e+14,18350080
1140,7.7827,7.7896,7.20e+14,7.56e+14,18677760
1160,7.7678,7.7888,7.33e+14,7.69e+14,19005440
1180,7.8044,7.7882,7.46e+14,7.83e+14,19333120
1200,7.8394,7.7877,7.58e+14,7.96e+14,19660800
1220,7.7551,7.7870,7.71e+14,8.09e+14,19988480
1240,7.7843,7.7865,7.84e+14,8.22e+14,20316160
1260,7.8317,7.7861,7.96e+14,8.36e+14,20643840
1280,7.8110,7.7857,8.09e+14,8.49e+14,20971520
1300,7.8346,7.7852,8.21e+14,8.62e+14,21299200
1320,7.7406,7.7848,8.34e+14,8.76e+14,21626880
1340,7.8316,7.7846,8.47e+14,8.89e+14,21954560
1360,7.7657,7.7841,8.59e+14,9.02e+14,22282240
1380,7.7465,7.7837,8.72e+14,9.15e+14,22609920
