step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
20,10.8228,10.8225,4.51e+12,4.92e+12,327680
40,10.8082,10.8072,9.25e+12,9.83e+12,655360
60,10.7577,10.7542,1.40e+13,1.47e+13,983040
80,10.6389,10.6289,1.87e+13,1.97e+13,1310720
100,10.4544,10.4382,2.35e+13,2.46e+13,1638400
120,10.2075,10.1743,2.82e+13,2.95e+13,1966080
140,9.8249,9.8167,3.30e+13,3.44e+13,2293760
160,9.4936,9.4873,3.77e+13,3.93e+13,2621440
180,9.3280,9.2959,4.24e+13,4.42e+13,2949120
200,9.1490,9.1583,4.72e+13,4.92e+13,3276800
220,9.0988,9.0645,5.19e+13,5.41e+13,3604480
240,9.0410,8.9921,5.67e+13,5.90e+13,3932160
260,8.9056,8.9277,6.14e+13,6.39e+13,4259840
280,8.8668,8.8699,6.62e+13,6.88e+13,4587520
300,8.8497,8.8185,7.09e+13,7.37e+13,4915200
320,8.7374,8.7719,7.56e+13,7.87e+13,5242880
340,8.8625,8.7310,8.04e+13,8.36e+13,5570560
360,8.7028,8.6956,8.51e+13,8.85e+13,5898240
380,8.6985,8.6639,8.99e+13,9.34e+13,6225920
400,8.6633,8.6359,9.46e+13,9.83e+13,6553600
420,8.6490,8.6113,9.94e+13,1.03e+14,6881280
440,8.5423,8.5878,1.04e+14,1.08e+14,7208960
460,8.5411,8.5666,1.09e+14,1.13e+14,7536640
480,8.5595,8.5474,1.14e+14,1.18e+14,7864320
500,8.5331,8.5299,1.18e+14,1.23e+14,8192000
520,8.5084,8.5144,1.23e+14,1.28e+14,8519680
540,8.4487,8.4994,1.28e+14,1.33e+14,8847360
560,8.4984,8.4856,1.33e+14,1.38e+14,9175040
580,8.4511,8.4731,1.37e+14,1.43e+14,9502720
600,8.5207,8.4609,1.42e+14,1.47e+14,9830400
620,8.3929,8.4497,1.47e+14,1.52e+14,10158080
640,8.3881,8.4392,1.52e+14,1.57e+14,10485760
660,8.4244,8.4293,1.56e+14,1.62e+14,10813440
680,8.3409,8.4203,1.61e+14,1.67e+14,11141120
700,8.4076,8.4114,1.66e+14,1.72e+14,11468800
720,8.3300,8.4032,1.71e+14,1.77e+14,11796480
740,8.4600,8.3958,1.75e+14,1.82e+14,12124160
760,8.3774,8.3889,1.80e+14,1.87e+14,12451840
780,8.3736,8.3822,1.85e+14,1.92e+14,12779520
800,8.3595,8.3760,1.89e+14,1.97e+14,13107200
820,8.3553,8.3700,1.94e+14,2.02e+14,13434880
840,8.3293,8.3645,1.99e+14,2.06e+14,13762560
860,8.3440,8.3593,2.04e+14,2.11e+14,14090240
880,8.4062,8.3545,2.08e+14,2.16e+14,14417920
900,8.3752,8.3501,2.13e+14,2.21e+14,14745600
920,8.4126,8.3459,2.18e+14,2.26e+14,15073280
940,8.4137,8.3421,2.23e+14,2.31e+14,15400960
960,8.3524,8.3385,2.27e+14,2.36e+14,15728640
980,8.2955,8.3351,2.32e+14,2.41e+14,16056320
1000,8.3322,8.3320,2.37e+14,2.46e+14,16384000
1020,8.3277,8.3290,2.42e+14,2.51e+14,16711680
1040,8.3376,8.3262,2.46e+14,2.56e+14,17039360
1060,8.2922,8.3236,2.51e+14,2.61e+14,17367040
1080,8.3163,8.3212,2.56e+14,2.65e+14,17694720
1100,8.2829,8.3190,2.61e+14,2.70e+14,18022400
1120,8.3416,8.3169,2.65e+14,2.75e+14,18350080
1140,8.3090,8.3150,2.70e+14,2.80e+14,18677760
1160,8.2987,8.3132,2.75e+14,2.85e+14,19005440
1180,8.3236,8.3115,2.80e+14,2.90e+14,19333120
1200,8.3652,8.3100,2.84e+14,2.95e+14,19660800
1220,8.2854,8.3085,2.89e+14,3.00e+14,19988480
1240,8.2984,8.3072,2.94e+14,3.05e+14,20316160
1260,8.3466,8.3059,2.99e+14,3.10e+14,20643840
1280,8.3127,8.3047,3.03e+14,3.15e+14,20971520
1300,8.3516,8.3036,3.08e+14,3.20e+14,21299200
1320,8.2760,8.3026,3.13e+14,3.24e+14,21626880
1340,8.3477,8.3016,3.18e+14,3.29e+14,21954560
1360,8.2680,8.3006,3.22e+14,3.34e+14,22282240
1380,8.2504,8.2996,3.27e+14,3.39e+14,22609920
