step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
20,11.1981,11.2440,2.70e+13,2.73e+13,1310720
40,10.0487,9.9612,5.40e+13,5.45e+13,2621440
60,8.7933,8.7125,8.09e+13,8.18e+13,3932160
80,8.0169,7.9572,1.08e+14,1.09e+14,5242880
100,7.6035,7.5482,1.35e+14,1.36e+14,6553600
120,7.3380,7.3502,1.62e+14,1.64e+14,7864320
140,7.2494,7.2341,1.89e+14,1.91e+14,9175040
160,7.2188,7.1868,2.16e+14,2.18e+14,10485760
180,7.1139,7.1170,2.43e+14,2.45e+14,11796480
200,7.0540,7.0721,2.70e+14,2.73e+14,13107200
220,7.0435,7.0410,2.97e+14,3.00e+14,14417920
240,6.9981,7.0132,3.24e+14,3.27e+14,15728640
260,7.0763,7.0145,3.51e+14,3.54e+14,17039360
280,6.9202,6.9708,3.78e+14,3.82e+14,18350080
300,6.9726,6.9452,4.05e+14,4.09e+14,19660800
320,6.8774,6.9249,4.32e+14,4.36e+14,20971520
340,6.8893,6.9247,4.59e+14,4.63e+14,22282240
360,6.8818,6.8753,4.86e+14,4.91e+14,23592960
380,6.8865,6.8663,5.13e+14,5.18e+14,24903680
400,6.8777,6.8284,5.40e+14,5.45e+14,26214400
420,6.7886,6.7928,5.67e+14,5.73e+14,27525120
440,6.7707,6.7653,5.94e+14,6.00e+14,28835840
460,6.7293,6.7373,6.20e+14,6.27e+14,30146560
480,6.6788,6.7239,6.47e+14,6.54e+14,31457280
500,6.7165,6.6845,6.74e+14,6.82e+14,32768000
520,6.6266,6.6520,7.01e+14,7.09e+14,34078720
540,6.6508,6.6381,7.28e+14,7.36e+14,35389440
560,6.6658,6.6123,7.55e+14,7.63e+14,36700160
580,6.5487,6.5939,7.82e+14,7.91e+14,38010880
600,6.5557,6.5569,8.09e+14,8.18e+14,39321600
620,6.5059,6.5436,8.36e+14,8.45e+14,40632320
640,6.4960,6.5112,8.63e+14,8.72e+14,41943040
660,6.4742,6.4929,8.90e+14,9.00e+14,43253760
680,6.5016,6.4672,9.17e+14,9.27e+14,44564480
700,6.4629,6.4457,9.44e+14,9.54e+14,45875200
720,6.4636,6.4318,9.71e+14,9.81e+14,47185920
740,6.4038,6.4139,9.98e+14,1.01e+15,48496640
760,6.3941,6.4016,1.03e+15,1.04e+15,49807360
780,6.3842,6.3875,1.05e+15,1.06e+15,51118080
800,6.3658,6.3750,1.08e+15,1.09e+15,52428800
820,6.3775,6.3598,1.11e+15,1.12e+15,53739520
