step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
20,10.7289,10.7180,1.61e+12,1.66e+12,163840
40,10.3953,10.3762,3.21e+12,3.31e+12,327680
60,9.8515,9.8158,4.82e+12,4.97e+12,491520
80,9.1299,9.1091,6.42e+12,6.62e+12,655360
100,8.4775,8.4492,8.03e+12,8.28e+12,819200
120,7.9730,7.9513,9.63e+12,9.93e+12,983040
140,7.6090,7.6318,1.12e+13,1.16e+13,1146880
160,7.4506,7.4965,1.28e+13,1.32e+13,1310720
180,7.4562,7.4569,1.44e+13,1.49e+13,1474560
200,7.4519,7.4189,1.61e+13,1.66e+13,1638400
220,7.3610,7.3595,1.77e+13,1.82e+13,1802240
240,7.2695,7.2976,1.93e+13,1.99e+13,1966080
260,7.2399,7.2296,2.09e+13,2.15e+13,2129920
280,7.1082,7.1708,2.25e+13,2.32e+13,2293760
300,7.0545,7.1195,2.41e+13,2.48e+13,2457600
320,6.9881,7.0609,2.57e+13,2.65e+13,2621440
340,6.9493,6.9936,2.73e+13,2.81e+13,2785280
360,6.8625,6.9254,2.89e+13,2.98e+13,2949120
380,6.8456,6.8624,3.05e+13,3.15e+13,3112960
400,6.8218,6.8005,3.21e+13,3.31e+13,3276800
420,6.7774,6.7457,3.37e+13,3.48e+13,3440640
440,6.7230,6.6926,3.53e+13,3.64e+13,3604480
460,6.6162,6.6435,3.69e+13,3.81e+13,3768320
480,6.6769,6.5990,3.85e+13,3.97e+13,3932160
500,6.6162,6.5602,4.01e+13,4.14e+13,4096000
520,6.5502,6.5212,4.17e+13,4.30e+13,4259840
540,6.5069,6.4856,4.33e+13,4.47e+13,4423680
560,6.4617,6.4563,4.49e+13,4.64e+13,4587520
580,6.4066,6.4267,4.66e+13,4.80e+13,4751360
600,6.4570,6.4020,4.82e+13,4.97e+13,4915200
620,6.3707,6.3777,4.98e+13,5.13e+13,5079040
640,6.4724,6.3543,5.14e+13,5.30e+13,5242880
660,6.3183,6.3345,5.30e+13,5.46e+13,5406720
680,6.3992,6.3135,5.46e+13,5.63e+13,5570560
700,6.3205,6.2945,5.62e+13,5.79e+13,5734400
720,6.3121,6.2773,5.78e+13,5.96e+13,5898240
740,6.2448,6.2592,5.94e+13,6.12e+13,6062080
760,6.2610,6.2457,6.10e+13,6.29e+13,6225920
780,6.2208,6.2316,6.26e+13,6.46e+13,6389760
800,6.2139,6.2176,6.42e+13,6.62e+13,6553600
820,6.1846,6.2050,6.58e+13,6.79e+13,6717440
840,6.1860,6.1909,6.74e+13,6.95e+13,6881280
860,6.0948,6.1788,6.90e+13,7.12e+13,7045120
880,6.1746,6.1695,7.06e+13,7.28e+13,7208960
900,6.1912,6.1583,7.22e+13,7.45e+13,7372800
920,6.1737,6.1489,7.38e+13,7.61e+13,7536640
940,6.1589,6.1380,7.54e+13,7.78e+13,7700480
960,6.0315,6.1297,7.71e+13,7.95e+13,7864320
980,6.0906,6.1213,7.87e+13,8.11e+13,8028160
1000,5.9613,6.1127,8.03e+13,8.28e+13,8192000
1020,6.0421,6.1057,8.19e+13,8.44e+13,8355840
1040,6.0782,6.0973,8.35e+13,8.61e+13,8519680
1060,6.0287,6.0904,8.51e+13,8.77e+13,8683520
1080,6.1466,6.0838,8.67e+13,8.94e+13,8847360
1100,6.0122,6.0789,8.83e+13,9.10e+13,9011200
1120,6.0776,6.0730,8.99e+13,9.27e+13,9175040
1140,6.0977,6.0678,9.15e+13,9.44e+13,9338880
1160,5.9529,6.0624,9.31e+13,9.60e+13,9502720
1180,6.0961,6.0580,9.47e+13,9.77e+13,9666560
1200,6.0550,6.0534,9.63e+13,9.93e+13,9830400
1220,6.0620,6.0496,9.79e+13,1.01e+14,9994240
1240,6.0831,6.0457,9.95e+13,1.03e+14,10158080
1260,5.9915,6.0425,1.01e+14,1.04e+14,10321920
1280,6.0410,6.0380,1.03e+14,1.06e+14,10485760
1300,5.8732,6.0351,1.04e+14,1.08e+14,10649600
1320,6.0021,6.0324,1.06e+14,1.09e+14,10813440
1340,6.0713,6.0299,1.08e+14,1.11e+14,10977280
1360,6.0084,6.0267,1.09e+14,1.13e+14,11141120
1380,6.0037,6.0238,1.11e+14,1.14e+14,11304960
1400,6.0306,6.0224,1.12e+14,1.16e+14,11468800
1420,5.9683,6.0197,1.14e+14,1.18e+14,11632640
1440,6.0726,6.0176,1.16e+14,1.19e+14,11796480
1460,6.0080,6.0168,1.17e+14,1.21e+14,11960320
1480,6.0872,6.0138,1.19e+14,1.22e+14,12124160
1500,6.0503,6.0116,1.20e+14,1.24e+14,12288000
1520,5.8761,6.0100,1.22e+14,1.26e+14,12451840
1540,5.9338,6.0084,1.24e+14,1.27e+14,12615680
1560,5.9418,6.0067,1.25e+14,1.29e+14,12779520
