step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
20,9.6092,9.4936,2.45e+12,2.50e+12,163840
40,7.5790,7.6094,4.91e+12,5.01e+12,327680
60,7.5767,7.5521,7.36e+12,7.51e+12,491520
80,7.5089,7.5580,9.81e+12,1.00e+13,655360
100,7.5422,7.5434,1.23e+13,1.25e+13,819200
120,7.5225,7.5317,1.47e+13,1.50e+13,983040
140,7.4905,7.5193,1.72e+13,1.75e+13,1146880
160,7.4600,7.5146,1.96e+13,2.00e+13,1310720
180,7.5067,7.5093,2.21e+13,2.25e+13,1474560
200,7.5426,7.5002,2.45e+13,2.50e+13,1638400
220,7.4556,7.4490,2.70e+13,2.75e+13,1802240
240,7.2999,7.3460,2.94e+13,3.01e+13,1966080
260,7.3103,7.2773,3.19e+13,3.26e+13,2129920
280,7.1834,7.2462,3.43e+13,3.51e+13,2293760
300,7.0721,7.1139,3.68e+13,3.76e+13,2457600
320,6.9307,7.0159,3.92e+13,4.01e+13,2621440
340,6.8811,6.9276,4.17e+13,4.26e+13,2785280
360,6.8098,6.8930,4.42e+13,4.51e+13,2949120
380,6.7870,6.8172,4.66e+13,4.76e+13,3112960
400,6.7673,6.7548,4.91e+13,5.01e+13,3276800
420,6.7121,6.6794,5.15e+13,5.26e+13,3440640
440,6.6510,6.6189,5.40e+13,5.51e+13,3604480
460,6.5261,6.5595,5.64e+13,5.76e+13,3768320
480,6.6008,6.5013,5.89e+13,6.01e+13,3932160
500,6.5285,6.4533,6.13e+13,6.26e+13,4096000
520,6.4241,6.4103,6.38e+13,6.51e+13,4259840
540,6.3662,6.3527,6.62e+13,6.76e+13,4423680
560,6.3130,6.3116,6.87e+13,7.01e+13,4587520
580,6.2434,6.2719,7.11e+13,7.26e+13,4751360
600,6.2970,6.2435,7.36e+13,7.51e+13,4915200
620,6.1923,6.2100,7.60e+13,7.76e+13,5079040
640,6.3121,6.1828,7.85e+13,8.01e+13,5242880
660,6.1602,6.1632,8.10e+13,8.26e+13,5406720
680,6.2232,6.1385,8.34e+13,8.51e+13,5570560
700,6.1575,6.1140,8.59e+13,8.77e+13,5734400
720,6.1158,6.0962,8.83e+13,9.02e+13,5898240
740,6.0862,6.0772,9.08e+13,9.27e+13,6062080
760,6.0698,6.0604,9.32e+13,9.52e+13,6225920
780,6.0227,6.0438,9.57e+13,9.77e+13,6389760
800,6.0127,6.0277,9.81e+13,1.00e+14,6553600
820,5.9497,6.0115,1.01e+14,1.03e+14,6717440
840,5.9987,5.9970,1.03e+14,1.05e+14,6881280
860,5.8818,5.9788,1.05e+14,1.08e+14,7045120
880,5.9841,5.9643,1.08e+14,1.10e+14,7208960
900,5.9922,5.9536,1.10e+14,1.13e+14,7372800
920,5.9826,5.9361,1.13e+14,1.15e+14,7536640
940,5.9360,5.9267,1.15e+14,1.18e+14,7700480
960,5.8023,5.9096,1.18e+14,1.20e+14,7864320
980,5.8516,5.8985,1.20e+14,1.23e+14,8028160
1000,5.7664,5.8870,1.23e+14,1.25e+14,8192000
1020,5.8196,5.8750,1.25e+14,1.28e+14,8355840
1040,5.8317,5.8666,1.28e+14,1.30e+14,8519680
1060,5.8027,5.8530,1.30e+14,1.33e+14,8683520
1080,5.8974,5.8427,1.32e+14,1.35e+14,8847360
1100,5.7769,5.8350,1.35e+14,1.38e+14,9011200
1120,5.8269,5.8233,1.37e+14,1.40e+14,9175040
1140,5.8533,5.8145,1.40e+14,1.43e+14,9338880
1160,5.6655,5.8036,1.42e+14,1.45e+14,9502720
1180,5.8333,5.7972,1.45e+14,1.48e+14,9666560
1200,5.8004,5.7882,1.47e+14,1.50e+14,9830400
1220,5.7787,5.7789,1.50e+14,1.53e+14,9994240
1240,5.8006,5.7735,1.52e+14,1.55e+14,10158080
1260,5.6942,5.7671,1.55e+14,1.58e+14,10321920
1280,5.7940,5.7587,1.57e+14,1.60e+14,10485760
1300,5.5769,5.7532,1.59e+14,1.63e+14,10649600
1320,5.7050,5.7449,1.62e+14,1.65e+14,10813440
1340,5.7893,5.7397,1.64e+14,1.68e+14,10977280
1360,5.7228,5.7337,1.67e+14,1.70e+14,11141120
1380,5.6977,5.7287,1.69e+14,1.73e+14,11304960
1400,5.7359,5.7234,1.72e+14,1.75e+14,11468800
1420,5.6715,5.7187,1.74e+14,1.78e+14,11632640
1440,5.7245,5.7154,1.77e+14,1.80e+14,11796480
1460,5.7112,5.7110,1.79e+14,1.83e+14,11960320
1480,5.7481,5.7060,1.82e+14,1.85e+14,12124160
1500,5.7255,5.7020,1.84e+14,1.88e+14,12288000
1520,5.5877,5.6987,1.86e+14,1.90e+14,12451840
1540,5.6496,5.6950,1.89e+14,1.93e+14,12615680
1560,5.6274,5.6914,1.91e+14,1.95e+14,12779520
