step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
20,10.5418,10.5035,7.60e+12,7.71e+12,327680
40,9.4661,9.4153,1.52e+13,1.54e+13,655360
60,8.7674,8.7377,2.28e+13,2.31e+13,983040
80,8.4185,8.4310,3.04e+13,3.08e+13,1310720
100,8.3039,8.2887,3.80e+13,3.85e+13,1638400
120,8.1911,8.1758,4.56e+13,4.63e+13,1966080
140,8.0177,8.0323,5.32e+13,5.40e+13,2293760
160,7.8815,7.8719,6.08e+13,6.17e+13,2621440
180,7.7085,7.6983,6.84e+13,6.94e+13,2949120
200,7.5025,7.5657,7.60e+13,7.71e+13,3276800
220,7.4452,7.4646,8.37e+13,8.48e+13,3604480
240,7.3810,7.3816,9.13e+13,9.25e+13,3932160
260,7.3732,7.4207,9.89e+13,1.00e+14,4259840
280,7.3376,7.3130,1.06e+14,1.08e+14,4587520
300,7.2142,7.2541,1.14e+14,1.16e+14,4915200
320,7.1918,7.2284,1.22e+14,1.23e+14,5242880
340,7.2213,7.2263,1.29e+14,1.31e+14,5570560
360,7.1903,7.2156,1.37e+14,1.39e+14,5898240
380,7.1941,7.2091,1.44e+14,1.46e+14,6225920
400,7.1535,7.2000,1.52e+14,1.54e+14,6553600
420,7.2144,7.1804,1.60e+14,1.62e+14,6881280
440,7.1695,7.1558,1.67e+14,1.70e+14,7208960
460,7.1867,7.1528,1.75e+14,1.77e+14,7536640
480,7.0955,7.1570,1.83e+14,1.85e+14,7864320
500,7.1540,7.1841,1.90e+14,1.93e+14,8192000
520,7.2060,7.1545,1.98e+14,2.00e+14,8519680
540,7.0623,7.1720,2.05e+14,2.08e+14,8847360
560,7.2200,7.1851,2.13e+14,2.16e+14,9175040
580,7.1967,7.1756,2.21e+14,2.24e+14,9502720
600,7.1585,7.1695,2.28e+14,2.31e+14,9830400
620,7.1655,7.1842,2.36e+14,2.39e+14,10158080
640,7.1857,7.2002,2.43e+14,2.47e+14,10485760
660,7.1599,7.1468,2.51e+14,2.54e+14,10813440
680,7.1655,7.1899,2.59e+14,2.62e+14,11141120
700,7.1210,7.1824,2.66e+14,2.70e+14,11468800
720,7.1761,7.1636,2.74e+14,2.78e+14,11796480
740,7.2269,7.1585,2.81e+14,2.85e+14,12124160
760,7.2032,7.1637,2.89e+14,2.93e+14,12451840
780,7.1440,7.1555,2.97e+14,3.01e+14,12779520
800,7.1024,7.1576,3.04e+14,3.08e+14,13107200
820,7.2789,7.1604,3.12e+14,3.16e+14,13434880
840,7.2020,7.1631,3.19e+14,3.24e+14,13762560
860,7.1355,7.1960,3.27e+14,3.32e+14,14090240
880,7.2235,7.2005,3.35e+14,3.39e+14,14417920
900,7.1656,7.1871,3.42e+14,3.47e+14,14745600
920,7.2228,7.1553,3.50e+14,3.55e+14,15073280
940,7.0985,7.1476,3.57e+14,3.62e+14,15400960
960,7.1411,7.2933,3.65e+14,3.70e+14,15728640
980,7.1539,7.1648,3.73e+14,3.78e+14,16056320
1000,7.0990,7.1393,3.80e+14,3.85e+14,16384000
1020,7.1677,7.1325,3.88e+14,3.93e+14,16711680
1040,7.0768,7.1208,3.95e+14,4.01e+14,17039360
1060,7.1196,7.1665,4.03e+14,4.09e+14,17367040
1080,7.1690,7.1457,4.11e+14,4.16e+14,17694720
1100,7.1463,7.1711,4.18e+14,4.24e+14,18022400
1120,7.1642,7.1438,4.26e+14,4.32e+14,18350080
1140,7.1565,7.1506,4.33e+14,4.39e+14,18677760
1160,7.1712,7.1333,4.41e+14,4.47e+14,19005440
1180,7.1986,7.1899,4.49e+14,4.55e+14,19333120
1200,7.0861,7.1379,4.56e+14,4.63e+14,19660800
1220,7.1307,7.1721,4.64e+14,4.70e+14,19988480
1240,7.1794,7.1600,4.71e+14,4.78e+14,20316160
1260,7.1706,7.2204,4.79e+14,4.86e+14,20643840
1280,7.0793,7.1667,4.87e+14,4.93e+14,20971520
1300,7.0871,7.1416,4.94e+14,5.01e+14,21299200
1320,7.2122,7.1580,5.02e+14,5.09e+14,21626880
1340,7.2210,7.2433,5.10e+14,5.17e+14,21954560
1360,7.1552,7.1768,5.17e+14,5.24e+14,22282240
1380,7.1332,7.1650,5.25e+14,5.32e+14,22609920
1400,7.1172,7.1743,5.32e+14,5.40e+14,22937600
1420,7.1355,7.1593,5.40e+14,5.47e+14,23265280
1440,7.1251,7.1682,5.48e+14,5.55e+14,23592960
1460,7.1895,7.1648,5.55e+14,5.63e+14,23920640
1480,7.1106,7.1648,5.63e+14,5.71e+14,24248320
1500,7.1902,7.1760,5.70e+14,5.78e+14,24576000
1520,7.0961,7.1868,5.78e+14,5.86e+14,24903680
1540,7.2175,7.1673,5.86e+14,5.94e+14,25231360
1560,7.1849,7.1542,5.93e+14,6.01e+14,25559040
1580,7.1433,7.1621,6.01e+14,6.09e+14,25886720
1600,7.1535,7.1519,6.08e+14,6.17e+14,26214400
1620,7.1558,7.1876,6.16e+14,6.25e+14,26542080
1640,7.1699,7.1742,6.24e+14,6.32e+14,26869760
1660,7.1571,7.1958,6.31e+14,6.40e+14,27197440
1680,7.2122,7.1874,6.39e+14,6.48e+14,27525120
1700,7.1940,7.1787,6.46e+14,6.55e+14,27852800
1720,7.2297,7.2001,6.54e+14,6.63e+14,28180480
1740,7.2393,7.1752,6.62e+14,6.71e+14,28508160
1760,7.2772,7.2162,6.69e+14,6.78e+14,28835840
1780,7.2003,7.2478,6.77e+14,6.86e+14,29163520
1800,7.1590,7.1873,6.84e+14,6.94e+14,29491200
1820,7.1494,7.1803,6.92e+14,7.02e+14,29818880
1840,7.2253,7.1777,7.00e+14,7.09e+14,30146560
1860,7.1908,7.2519,7.07e+14,7.17e+14,30474240
1880,7.2347,7.1958,7.15e+14,7.25e+14,30801920
