step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
20,10.6545,10.6376,6.42e+12,6.62e+12,655360
40,10.3630,10.3549,1.28e+13,1.32e+13,1310720
60,10.1532,10.1488,1.93e+13,1.99e+13,1966080
80,9.9307,9.9106,2.57e+13,2.65e+13,2621440
100,9.5176,9.5008,3.21e+13,3.31e+13,3276800
120,9.1454,9.1152,3.85e+13,3.97e+13,3932160
140,8.8257,8.7883,4.49e+13,4.64e+13,4587520
160,8.5859,8.5764,5.14e+13,5.30e+13,5242880
180,8.4900,8.4683,5.78e+13,5.96e+13,5898240
200,8.4244,8.4065,6.42e+13,6.62e+13,6553600
220,8.3701,8.3671,7.06e+13,7.28e+13,7208960
240,8.3591,8.3400,7.71e+13,7.95e+13,7864320
260,8.3334,8.3175,8.35e+13,8.61e+13,8519680
280,8.3116,8.3006,8.99e+13,9.27e+13,9175040
300,8.3109,8.2873,9.63e+13,9.93e+13,9830400
320,8.2814,8.2763,1.03e+14,1.06e+14,10485760
340,8.2729,8.2672,1.09e+14,1.13e+14,11141120
360,8.2571,8.2614,1.16e+14,1.19e+14,11796480
380,8.2511,8.2558,1.22e+14,1.26e+14,12451840
400,8.2535,8.2506,1.28e+14,1.32e+14,13107200
420,8.2208,8.2461,1.35e+14,1.39e+14,13762560
440,8.2316,8.2438,1.41e+14,1.46e+14,14417920
460,8.2533,8.2410,1.48e+14,1.52e+14,15073280
480,8.2272,8.2389,1.54e+14,1.59e+14,15728640
500,8.2481,8.2375,1.61e+14,1.66e+14,16384000
520,8.2456,8.2364,1.67e+14,1.72e+14,17039360
540,8.2650,8.2346,1.73e+14,1.79e+14,17694720
560,8.2397,8.2336,1.80e+14,1.85e+14,18350080
580,8.2414,8.2327,1.86e+14,1.92e+14,19005440
600,8.2598,8.2319,1.93e+14,1.99e+14,19660800
620,8.2208,8.2308,1.99e+14,2.05e+14,20316160
640,8.2296,8.2302,2.05e+14,2.12e+14,20971520
660,8.2487,8.2296,2.12e+14,2.19e+14,21626880
680,8.2319,8.2294,2.18e+14,2.25e+14,22282240
700,8.2370,8.2291,2.25e+14,2.32e+14,22937600
720,8.2371,8.2289,2.31e+14,2.38e+14,23592960
740,8.2549,8.2285,2.38e+14,2.45e+14,24248320
760,8.2525,8.2279,2.44e+14,2.52e+14,24903680
780,8.2584,8.2280,2.50e+14,2.58e+14,25559040
