step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
20,10.7056,10.6921,1.34e+13,1.36e+13,655360
40,10.4554,10.4483,2.68e+13,2.73e+13,1310720
60,10.2317,10.2313,4.03e+13,4.09e+13,1966080
80,10.0602,10.0535,5.37e+13,5.45e+13,2621440
100,9.9018,9.9078,6.71e+13,6.82e+13,3276800
120,9.7975,9.7865,8.05e+13,8.18e+13,3932160
140,9.7041,9.6852,9.40e+13,9.54e+13,4587520
160,9.5905,9.6007,1.07e+14,1.09e+14,5242880
180,9.5353,9.5299,1.21e+14,1.23e+14,5898240
200,9.4926,9.4679,1.34e+14,1.36e+14,6553600
220,9.4059,9.4105,1.48e+14,1.50e+14,7208960
240,9.3698,9.3549,1.61e+14,1.64e+14,7864320
260,9.3437,9.3001,1.74e+14,1.77e+14,8519680
280,9.2333,9.2454,1.88e+14,1.91e+14,9175040
300,9.2302,9.1907,2.01e+14,2.04e+14,9830400
320,9.1330,9.1372,2.15e+14,2.18e+14,10485760
340,9.0704,9.0848,2.28e+14,2.32e+14,11141120
360,9.0345,9.0342,2.42e+14,2.45e+14,11796480
380,8.9623,8.9868,2.55e+14,2.59e+14,12451840
400,8.9379,8.9417,2.68e+14,2.73e+14,13107200
420,8.8544,8.8990,2.82e+14,2.86e+14,13762560
440,8.8518,8.8596,2.95e+14,3.00e+14,14417920
460,8.8255,8.8229,3.09e+14,3.14e+14,15073280
480,8.7902,8.7889,3.22e+14,3.27e+14,15728640
500,8.7647,8.7583,3.36e+14,3.41e+14,16384000
520,8.7404,8.7308,3.49e+14,3.54e+14,17039360
540,8.7438,8.7063,3.62e+14,3.68e+14,17694720
560,8.7087,8.6846,3.76e+14,3.82e+14,18350080
580,8.6832,8.6656,3.89e+14,3.95e+14,19005440
600,8.6835,8.6490,4.03e+14,4.09e+14,19660800
620,8.6359,8.6345,4.16e+14,4.23e+14,20316160
640,8.5922,8.6219,4.30e+14,4.36e+14,20971520
660,8.6531,8.6109,4.43e+14,4.50e+14,21626880
680,8.6102,8.6013,4.56e+14,4.63e+14,22282240
700,8.6029,8.5929,4.70e+14,4.77e+14,22937600
720,8.6188,8.5854,4.83e+14,4.91e+14,23592960
740,8.6033,8.5786,4.97e+14,5.04e+14,24248320
760,8.6264,8.5723,5.10e+14,5.18e+14,24903680
780,8.6185,8.5663,5.23e+14,5.32e+14,25559040
