step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
20,8.6803,8.5839,2.16e+13,2.18e+13,655360
40,8.2200,8.2215,4.32e+13,4.36e+13,1310720
60,7.8911,7.9297,6.48e+13,6.54e+13,1966080
80,7.8965,7.7778,8.63e+13,8.72e+13,2621440
100,8.3812,8.1214,1.08e+14,1.09e+14,3276800
120,7.8665,8.0753,1.30e+14,1.31e+14,3932160
140,8.0926,8.0923,1.51e+14,1.53e+14,4587520
160,8.0452,7.9995,1.73e+14,1.74e+14,5242880
180,8.1995,8.2221,1.94e+14,1.96e+14,5898240
200,8.0636,7.9756,2.16e+14,2.18e+14,6553600
220,8.0515,8.1924,2.37e+14,2.40e+14,7208960
240,8.4260,8.1537,2.59e+14,2.62e+14,7864320
260,8.0682,7.9192,2.81e+14,2.84e+14,8519680
280,7.8973,8.1436,3.02e+14,3.05e+14,9175040
300,8.0179,7.9542,3.24e+14,3.27e+14,9830400
320,7.8673,7.7441,3.45e+14,3.49e+14,10485760
340,7.6971,7.9983,3.67e+14,3.71e+14,11141120
360,8.6313,8.1511,3.89e+14,3.93e+14,11796480
380,7.7688,7.7291,4.10e+14,4.14e+14,12451840
400,8.0438,8.1033,4.32e+14,4.36e+14,13107200
420,7.9002,7.8648,4.53e+14,4.58e+14,13762560
440,7.6238,7.5946,4.75e+14,4.80e+14,14417920
460,7.5399,8.0465,4.96e+14,5.02e+14,15073280
480,7.7304,7.7110,5.18e+14,5.23e+14,15728640
500,7.5882,7.5313,5.40e+14,5.45e+14,16384000
520,7.5138,7.5560,5.61e+14,5.67e+14,17039360
540,7.6392,7.5009,5.83e+14,5.89e+14,17694720
560,7.5829,7.4851,6.04e+14,6.11e+14,18350080
580,7.5445,7.4619,6.26e+14,6.32e+14,19005440
600,7.4749,7.4195,6.48e+14,6.54e+14,19660800
620,7.4768,7.4545,6.69e+14,6.76e+14,20316160
640,7.4445,7.4607,6.91e+14,6.98e+14,20971520
660,7.4360,7.4148,7.12e+14,7.20e+14,21626880
680,7.4331,7.4327,7.34e+14,7.41e+14,22282240
700,7.3940,7.3963,7.55e+14,7.63e+14,22937600
720,7.4286,7.4302,7.77e+14,7.85e+14,23592960
740,7.4228,7.4293,7.99e+14,8.07e+14,24248320
760,7.4566,7.3799,8.20e+14,8.29e+14,24903680
780,7.4455,7.3581,8.42e+14,8.51e+14,25559040
