step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
20,8.9340,8.8767,1.96e+13,2.00e+13,1310720
40,8.4011,8.3622,3.93e+13,4.01e+13,2621440
60,8.1958,8.1812,5.89e+13,6.01e+13,3932160
80,7.9823,7.9742,7.85e+13,8.01e+13,5242880
100,7.7515,7.7902,9.81e+13,1.00e+14,6553600
120,7.5123,7.5617,1.18e+14,1.20e+14,7864320
140,7.4631,7.4831,1.37e+14,1.40e+14,9175040
160,7.4666,7.4467,1.57e+14,1.60e+14,10485760
180,7.3502,7.3691,1.77e+14,1.80e+14,11796480
200,7.4298,7.4739,1.96e+14,2.00e+14,13107200
220,7.4131,7.3750,2.16e+14,2.20e+14,14417920
240,7.3269,7.3304,2.36e+14,2.40e+14,15728640
260,7.2932,7.2959,2.55e+14,2.60e+14,17039360
280,7.2419,7.2670,2.75e+14,2.80e+14,18350080
300,7.2831,7.2513,2.94e+14,3.01e+14,19660800
320,7.2411,7.2408,3.14e+14,3.21e+14,20971520
340,7.2394,7.2327,3.34e+14,3.41e+14,22282240
360,7.2433,7.2269,3.53e+14,3.61e+14,23592960
380,7.2396,7.2218,3.73e+14,3.81e+14,24903680
