step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
20,10.7519,10.7484,2.33e+13,2.37e+13,1310720
40,10.6727,10.6692,4.66e+13,4.75e+13,2621440
60,10.5887,10.5843,7.00e+13,7.12e+13,3932160
80,10.5029,10.5006,9.33e+13,9.49e+13,5242880
100,10.4246,10.4201,1.17e+14,1.19e+14,6553600
120,10.3460,10.3433,1.40e+14,1.42e+14,7864320
140,10.2766,10.2708,1.63e+14,1.66e+14,9175040
160,10.2139,10.2036,1.87e+14,1.90e+14,10485760
180,10.1559,10.1421,2.10e+14,2.14e+14,11796480
200,10.0811,10.0872,2.33e+14,2.37e+14,13107200
220,10.0495,10.0386,2.57e+14,2.61e+14,14417920
240,10.0062,9.9968,2.80e+14,2.85e+14,15728640
260,9.9687,9.9611,3.03e+14,3.09e+14,17039360
280,9.9252,9.9321,3.26e+14,3.32e+14,18350080
300,9.9313,9.9082,3.50e+14,3.56e+14,19660800
320,9.8828,9.8893,3.73e+14,3.80e+14,20971520
340,9.8719,9.8742,3.96e+14,4.04e+14,22282240
360,9.8782,9.8620,4.20e+14,4.27e+14,23592960
380,9.8633,9.8519,4.43e+14,4.51e+14,24903680
