step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
10,10.8011,10.7967,8.03e+11,8.28e+11,81920
20,10.7427,10.7315,1.61e+12,1.66e+12,163840
30,10.5799,10.5483,2.41e+12,2.48e+12,245760
40,10.2425,10.1751,3.21e+12,3.31e+12,327680
50,9.5948,9.5688,4.01e+12,4.14e+12,409600
60,9.9479,10.0473,4.82e+12,4.97e+12,491520
70,9.6428,9.4470,5.62e+12,5.79e+12,573440
80,9.1588,9.2014,6.42e+12,6.62e+12,655360
90,9.3650,9.3289,7.22e+12,7.45e+12,737280
100,9.0154,9.0460,8.03e+12,8.28e+12,819200
110,8.8566,8.7701,8.83e+12,9.10e+12,901120
120,8.8345,8.8542,9.63e+12,9.93e+12,983040
130,8.8346,8.7826,1.04e+13,1.08e+13,1064960
140,8.7069,8.6661,1.12e+13,1.16e+13,1146880
150,8.6176,8.5606,1.20e+13,1.24e+13,1228800
160,8.5280,8.5136,1.28e+13,1.32e+13,1310720
170,8.5662,8.4853,1.36e+13,1.41e+13,1392640
180,8.4201,8.4143,1.44e+13,1.49e+13,1474560
190,8.3992,8.3973,1.53e+13,1.57e+13,1556480
200,8.2799,8.3499,1.61e+13,1.66e+13,1638400
210,8.3546,8.3187,1.69e+13,1.74e+13,1720320
220,8.3307,8.2758,1.77e+13,1.82e+13,1802240
230,8.2520,8.2432,1.85e+13,1.90e+13,1884160
240,8.2760,8.2109,1.93e+13,1.99e+13,1966080
250,8.1581,8.1916,2.01e+13,2.07e+13,2048000
260,8.1865,8.1621,2.09e+13,2.15e+13,2129920
270,8.0415,8.1348,2.17e+13,2.23e+13,2211840
280,8.0237,8.1122,2.25e+13,2.32e+13,2293760
290,8.0910,8.0850,2.33e+13,2.40e+13,2375680
300,8.0074,8.0653,2.41e+13,2.48e+13,2457600
310,8.0544,8.0389,2.49e+13,2.57e+13,2539520
320,8.0511,8.0152,2.57e+13,2.65e+13,2621440
330,7.9641,7.9937,2.65e+13,2.73e+13,2703360
340,7.8831,7.9679,2.73e+13,2.81e+13,2785280
350,7.8986,7.9460,2.81e+13,2.90e+13,2867200
360,7.8833,7.9216,2.89e+13,2.98e+13,2949120
370,7.9823,7.9002,2.97e+13,3.06e+13,3031040
380,7.8265,7.8780,3.05e+13,3.15e+13,3112960
390,7.7725,7.8535,3.13e+13,3.23e+13,3194880
400,7.7748,7.8287,3.21e+13,3.31e+13,3276800
410,7.7910,7.8031,3.29e+13,3.39e+13,3358720
420,7.8027,7.7766,3.37e+13,3.48e+13,3440640
430,7.7945,7.7470,3.45e+13,3.56e+13,3522560
440,7.7641,7.7168,3.53e+13,3.64e+13,3604480
450,7.7522,7.6893,3.61e+13,3.72e+13,3686400
460,7.6529,7.6667,3.69e+13,3.81e+13,3768320
470,7.6568,7.6507,3.77e+13,3.89e+13,3850240
480,7.5939,7.6289,3.85e+13,3.97e+13,3932160
490,7.6487,7.6089,3.93e+13,4.06e+13,4014080
500,7.7518,7.5962,4.01e+13,4.14e+13,4096000
510,7.4935,7.5725,4.09e+13,4.22e+13,4177920
520,7.5019,7.5713,4.17e+13,4.30e+13,4259840
530,7.5272,7.5550,4.25e+13,4.39e+13,4341760
540,7.4868,7.5321,4.33e+13,4.47e+13,4423680
550,7.5796,7.5179,4.41e+13,4.55e+13,4505600
560,7.3460,7.4927,4.49e+13,4.64e+13,4587520
570,7.4242,7.4829,4.58e+13,4.72e+13,4669440
580,7.3929,7.4604,4.66e+13,4.80e+13,4751360
590,7.4702,7.4428,4.74e+13,4.88e+13,4833280
600,7.4674,7.4303,4.82e+13,4.97e+13,4915200
610,7.3601,7.4125,4.90e+13,5.05e+13,4997120
620,7.4612,7.3970,4.98e+13,5.13e+13,5079040
630,7.4745,7.3895,5.06e+13,5.21e+13,5160960
640,7.4474,7.3671,5.14e+13,5.30e+13,5242880
650,7.3894,7.3621,5.22e+13,5.38e+13,5324800
660,7.3953,7.3447,5.30e+13,5.46e+13,5406720
670,7.3937,7.3427,5.38e+13,5.55e+13,5488640
680,7.3355,7.3336,5.46e+13,5.63e+13,5570560
690,7.3643,7.3188,5.54e+13,5.71e+13,5652480
700,7.3199,7.3176,5.62e+13,5.79e+13,5734400
710,7.3141,7.2881,5.70e+13,5.88e+13,5816320
720,7.3129,7.2857,5.78e+13,5.96e+13,5898240
730,7.3268,7.2729,5.86e+13,6.04e+13,5980160
740,7.2205,7.2517,5.94e+13,6.12e+13,6062080
750,7.3256,7.2324,6.02e+13,6.21e+13,6144000
760,7.1668,7.2284,6.10e+13,6.29e+13,6225920
770,7.3282,7.2211,6.18e+13,6.37e+13,6307840
780,7.3295,7.2214,6.26e+13,6.46e+13,6389760
790,7.2532,7.2004,6.34e+13,6.54e+13,6471680
800,7.1506,7.1816,6.42e+13,6.62e+13,6553600
810,7.1858,7.1743,6.50e+13,6.70e+13,6635520
820,7.0989,7.1573,6.58e+13,6.79e+13,6717440
830,7.1300,7.1436,6.66e+13,6.87e+13,6799360
840,7.1797,7.1939,6.74e+13,6.95e+13,6881280
850,7.0923,7.1475,6.82e+13,7.04e+13,6963200
860,7.1798,7.1239,6.90e+13,7.12e+13,7045120
870,7.0869,7.1157,6.98e+13,7.20e+13,7127040
880,7.2640,7.1136,7.06e+13,7.28e+13,7208960
890,7.0997,7.0961,7.14e+13,7.37e+13,7290880
900,7.1025,7.0890,7.22e+13,7.45e+13,7372800
910,6.9842,7.0794,7.30e+13,7.53e+13,7454720
920,6.9382,7.0732,7.38e+13,7.61e+13,7536640
930,7.0616,7.0772,7.46e+13,7.70e+13,7618560
940,7.1279,7.0588,7.54e+13,7.78e+13,7700480
950,7.0393,7.0665,7.63e+13,7.86e+13,7782400
960,7.2275,7.0672,7.71e+13,7.95e+13,7864320
970,7.0312,7.0501,7.79e+13,8.03e+13,7946240
980,6.9922,7.0363,7.87e+13,8.11e+13,8028160
990,7.1189,7.0517,7.95e+13,8.19e+13,8110080
1000,7.0248,7.0280,8.03e+13,8.28e+13,8192000
1010,7.1095,7.0264,8.11e+13,8.36e+13,8273920
1020,6.9498,7.0317,8.19e+13,8.44e+13,8355840
1030,7.0508,7.0223,8.27e+13,8.53e+13,8437760
1040,6.9289,6.9930,8.35e+13,8.61e+13,8519680
1050,7.0479,6.9923,8.43e+13,8.69e+13,8601600
1060,7.0136,6.9884,8.51e+13,8.77e+13,8683520
1070,7.0392,6.9829,8.59e+13,8.86e+13,8765440
1080,6.9828,6.9749,8.67e+13,8.94e+13,8847360
1090,6.9669,6.9604,8.75e+13,9.02e+13,8929280
1100,6.8560,6.9578,8.83e+13,9.10e+13,9011200
1110,6.9050,6.9560,8.91e+13,9.19e+13,9093120
1120,6.9466,6.9483,8.99e+13,9.27e+13,9175040
1130,7.0240,6.9397,9.07e+13,9.35e+13,9256960
1140,7.0692,6.9359,9.15e+13,9.44e+13,9338880
1150,6.8615,6.9308,9.23e+13,9.52e+13,9420800
1160,6.9073,6.9271,9.31e+13,9.60e+13,9502720
1170,6.9133,6.9230,9.39e+13,9.68e+13,9584640
1180,6.8586,6.9194,9.47e+13,9.77e+13,9666560
1190,6.8225,6.9102,9.55e+13,9.85e+13,9748480
1200,6.7897,6.9117,9.63e+13,9.93e+13,9830400
1210,6.8969,6.9070,9.71e+13,1.00e+14,9912320
1220,6.9329,6.8986,9.79e+13,1.01e+14,9994240
1230,6.9057,6.8943,9.87e+13,1.02e+14,10076160
1240,6.8965,6.8891,9.95e+13,1.03e+14,10158080
1250,6.8479,6.8910,1.00e+14,1.03e+14,10240000
1260,6.9846,6.8899,1.01e+14,1.04e+14,10321920
1270,6.8860,6.8797,1.02e+14,1.05e+14,10403840
1280,6.9032,6.8769,1.03e+14,1.06e+14,10485760
1290,6.8312,6.8847,1.04e+14,1.07e+14,10567680
1300,6.9194,6.8711,1.04e+14,1.08e+14,10649600
1310,6.8988,6.8703,1.05e+14,1.08e+14,10731520
1320,6.9549,6.8637,1.06e+14,1.09e+14,10813440
1330,6.8411,6.8616,1.07e+14,1.10e+14,10895360
1340,6.9054,6.8596,1.08e+14,1.11e+14,10977280
1350,6.8238,6.8593,1.08e+14,1.12e+14,11059200
1360,6.8900,6.8559,1.09e+14,1.13e+14,11141120
1370,6.7270,6.8513,1.10e+14,1.13e+14,11223040
1380,6.8329,6.8495,1.11e+14,1.14e+14,11304960
1390,6.7989,6.8502,1.12e+14,1.15e+14,11386880
1400,6.8441,6.8506,1.12e+14,1.16e+14,11468800
1410,6.7216,6.8483,1.13e+14,1.17e+14,11550720
1420,6.9809,6.8441,1.14e+14,1.18e+14,11632640
1430,6.8503,6.8414,1.15e+14,1.18e+14,11714560
1440,6.8752,6.8372,1.16e+14,1.19e+14,11796480
1450,6.7566,6.8354,1.16e+14,1.20e+14,11878400
1460,6.8024,6.8348,1.17e+14,1.21e+14,11960320
1470,6.8099,6.8352,1.18e+14,1.22e+14,12042240
1480,6.7625,6.8344,1.19e+14,1.22e+14,12124160
1490,6.8674,6.8331,1.20e+14,1.23e+14,12206080
1500,6.8937,6.8275,1.20e+14,1.24e+14,12288000
1510,6.7665,6.8250,1.21e+14,1.25e+14,12369920
1520,6.9088,6.8216,1.22e+14,1.26e+14,12451840
1530,6.8954,6.8224,1.23e+14,1.27e+14,12533760
1540,6.8016,6.8206,1.24e+14,1.27e+14,12615680
1550,6.7753,6.8212,1.24e+14,1.28e+14,12697600
1560,6.8144,6.8181,1.25e+14,1.29e+14,12779520
1570,6.7767,6.8163,1.26e+14,1.30e+14,12861440
