step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
10,10.7906,10.9831,1.68e+12,1.70e+12,81920
20,8.2348,8.0822,3.36e+12,3.41e+12,163840
30,7.9915,7.9996,5.03e+12,5.11e+12,245760
40,7.9453,7.8417,6.71e+12,6.82e+12,327680
50,7.7914,7.7616,8.39e+12,8.52e+12,409600
60,7.6916,7.7104,1.01e+13,1.02e+13,491520
70,7.7188,7.6561,1.17e+13,1.19e+13,573440
80,7.6157,7.6403,1.34e+13,1.36e+13,655360
90,7.6420,7.6003,1.51e+13,1.53e+13,737280
100,7.4935,7.5550,1.68e+13,1.70e+13,819200
110,7.5956,7.5362,1.85e+13,1.87e+13,901120
120,7.4817,7.5656,2.01e+13,2.04e+13,983040
130,7.4863,7.4551,2.18e+13,2.22e+13,1064960
140,7.5014,7.4605,2.35e+13,2.39e+13,1146880
150,7.5088,7.4806,2.52e+13,2.56e+13,1228800
160,7.4903,7.5051,2.68e+13,2.73e+13,1310720
170,7.6121,7.4615,2.85e+13,2.90e+13,1392640
180,7.4745,7.4012,3.02e+13,3.07e+13,1474560
190,7.3758,7.3787,3.19e+13,3.24e+13,1556480
200,7.2900,7.3753,3.36e+13,3.41e+13,1638400
210,7.4001,7.3542,3.52e+13,3.58e+13,1720320
220,7.4636,7.3601,3.69e+13,3.75e+13,1802240
230,7.7196,7.6533,3.86e+13,3.92e+13,1884160
240,7.5156,7.4136,4.03e+13,4.09e+13,1966080
250,7.3528,7.3901,4.19e+13,4.26e+13,2048000
260,7.4061,7.3748,4.36e+13,4.43e+13,2129920
270,7.2890,7.3638,4.53e+13,4.60e+13,2211840
280,7.2421,7.3243,4.70e+13,4.77e+13,2293760
290,7.3753,7.3787,4.87e+13,4.94e+13,2375680
300,7.4086,7.4760,5.03e+13,5.11e+13,2457600
310,7.5700,7.5579,5.20e+13,5.28e+13,2539520
320,7.5330,7.5050,5.37e+13,5.45e+13,2621440
330,7.4636,7.4397,5.54e+13,5.62e+13,2703360
340,7.3380,7.3882,5.70e+13,5.79e+13,2785280
350,7.3399,7.3517,5.87e+13,5.96e+13,2867200
360,7.2072,7.3026,6.04e+13,6.13e+13,2949120
370,7.7870,7.3131,6.21e+13,6.30e+13,3031040
380,7.2314,7.3290,6.38e+13,6.48e+13,3112960
390,7.1172,7.2014,6.54e+13,6.65e+13,3194880
400,7.0509,7.1269,6.71e+13,6.82e+13,3276800
410,7.0744,7.1019,6.88e+13,6.99e+13,3358720
420,7.0948,7.0612,7.05e+13,7.16e+13,3440640
430,7.0559,7.0106,7.21e+13,7.33e+13,3522560
440,7.0271,6.9704,7.38e+13,7.50e+13,3604480
450,6.9923,6.9465,7.55e+13,7.67e+13,3686400
460,6.9527,6.9176,7.72e+13,7.84e+13,3768320
470,6.8733,6.9170,7.89e+13,8.01e+13,3850240
480,6.8789,6.9238,8.05e+13,8.18e+13,3932160
490,6.8616,6.8698,8.22e+13,8.35e+13,4014080
500,7.0120,6.8750,8.39e+13,8.52e+13,4096000
510,6.7637,6.8377,8.56e+13,8.69e+13,4177920
520,6.7655,6.8433,8.73e+13,8.86e+13,4259840
530,6.7849,6.8248,8.89e+13,9.03e+13,4341760
540,6.7579,6.8205,9.06e+13,9.20e+13,4423680
550,6.8216,6.8031,9.23e+13,9.37e+13,4505600
560,6.6641,6.8038,9.40e+13,9.54e+13,4587520
570,6.7667,6.7820,9.56e+13,9.71e+13,4669440
580,6.7343,6.7749,9.73e+13,9.88e+13,4751360
590,6.7823,6.7682,9.90e+13,1.01e+14,4833280
600,6.8063,6.7569,1.01e+14,1.02e+14,4915200
610,6.6964,6.7545,1.02e+14,1.04e+14,4997120
620,6.7940,6.7438,1.04e+14,1.06e+14,5079040
630,6.8395,6.7464,1.06e+14,1.07e+14,5160960
640,6.8492,6.7723,1.07e+14,1.09e+14,5242880
650,6.8205,6.7645,1.09e+14,1.11e+14,5324800
660,6.8037,6.7402,1.11e+14,1.12e+14,5406720
670,6.8172,6.7478,1.12e+14,1.14e+14,5488640
680,6.7014,6.7357,1.14e+14,1.16e+14,5570560
690,6.8360,6.7928,1.16e+14,1.18e+14,5652480
700,6.7745,6.7525,1.17e+14,1.19e+14,5734400
710,6.7478,6.7326,1.19e+14,1.21e+14,5816320
720,6.7607,6.7528,1.21e+14,1.23e+14,5898240
730,6.7889,6.7224,1.22e+14,1.24e+14,5980160
740,6.7094,6.7232,1.24e+14,1.26e+14,6062080
750,6.7729,6.7301,1.26e+14,1.28e+14,6144000
760,6.6869,6.7089,1.28e+14,1.30e+14,6225920
770,6.7358,6.7016,1.29e+14,1.31e+14,6307840
780,6.8250,6.6929,1.31e+14,1.33e+14,6389760
790,6.7415,6.7121,1.33e+14,1.35e+14,6471680
800,6.7258,6.7423,1.34e+14,1.36e+14,6553600
810,6.7092,6.7092,1.36e+14,1.38e+14,6635520
820,6.6349,6.7081,1.38e+14,1.40e+14,6717440
830,6.7404,6.7344,1.39e+14,1.41e+14,6799360
840,6.7636,6.7027,1.41e+14,1.43e+14,6881280
850,6.5909,6.6841,1.43e+14,1.45e+14,6963200
860,6.6929,6.6660,1.44e+14,1.47e+14,7045120
870,6.6207,6.6870,1.46e+14,1.48e+14,7127040
880,6.7953,6.6675,1.48e+14,1.50e+14,7208960
890,6.6415,6.6607,1.49e+14,1.52e+14,7290880
900,6.6773,6.6403,1.51e+14,1.53e+14,7372800
910,6.5395,6.6303,1.53e+14,1.55e+14,7454720
920,6.5000,6.6311,1.54e+14,1.57e+14,7536640
930,6.6132,6.6161,1.56e+14,1.58e+14,7618560
940,6.6253,6.6110,1.58e+14,1.60e+14,7700480
950,6.5703,6.6002,1.59e+14,1.62e+14,7782400
960,6.7662,6.6057,1.61e+14,1.64e+14,7864320
970,6.5943,6.6045,1.63e+14,1.65e+14,7946240
980,6.6155,6.6455,1.64e+14,1.67e+14,8028160
990,6.6763,6.6150,1.66e+14,1.69e+14,8110080
1000,6.6047,6.6003,1.68e+14,1.70e+14,8192000
1010,6.6338,6.5864,1.69e+14,1.72e+14,8273920
1020,6.5378,6.5833,1.71e+14,1.74e+14,8355840
1030,6.6198,6.5936,1.73e+14,1.76e+14,8437760
1040,6.5348,6.5702,1.75e+14,1.77e+14,8519680
1050,6.6487,6.5789,1.76e+14,1.79e+14,8601600
1060,6.6126,6.5869,1.78e+14,1.81e+14,8683520
1070,6.6286,6.5878,1.80e+14,1.82e+14,8765440
1080,6.5654,6.5707,1.81e+14,1.84e+14,8847360
1090,6.5709,6.5588,1.83e+14,1.86e+14,8929280
1100,6.4556,6.5600,1.85e+14,1.87e+14,9011200
1110,6.5523,6.5702,1.86e+14,1.89e+14,9093120
1120,6.5913,6.5491,1.88e+14,1.91e+14,9175040
1130,6.6244,6.6048,1.90e+14,1.93e+14,9256960
