step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
10,10.6281,10.5964,7.87e+12,7.93e+12,163840
20,10.0560,9.9834,1.57e+13,1.59e+13,327680
30,9.1723,9.0820,2.36e+13,2.38e+13,491520
40,8.3907,8.2728,3.15e+13,3.17e+13,655360
50,7.8439,7.8535,3.94e+13,3.97e+13,819200
60,7.7292,7.6461,4.72e+13,4.76e+13,983040
70,7.6352,7.6246,5.51e+13,5.55e+13,1146880
80,7.5067,7.5183,6.30e+13,6.35e+13,1310720
90,7.4536,7.4505,7.09e+13,7.14e+13,1474560
100,7.4169,7.3982,7.87e+13,7.93e+13,1638400
110,7.3276,7.2791,8.66e+13,8.73e+13,1802240
120,7.3457,7.1963,9.45e+13,9.52e+13,1966080
130,7.1762,7.1049,1.02e+14,1.03e+14,2129920
140,6.9917,7.0308,1.10e+14,1.11e+14,2293760
150,6.9723,6.9651,1.18e+14,1.19e+14,2457600
160,6.9042,6.9091,1.26e+14,1.27e+14,2621440
170,6.8437,6.8590,1.34e+14,1.35e+14,2785280
180,6.7957,6.8033,1.42e+14,1.43e+14,2949120
190,6.7078,6.7575,1.50e+14,1.51e+14,3112960
200,6.6961,6.7069,1.57e+14,1.59e+14,3276800
210,6.6765,6.6712,1.65e+14,1.67e+14,3440640
220,6.6693,6.6371,1.73e+14,1.75e+14,3604480
230,6.5345,6.5993,1.81e+14,1.82e+14,3768320
240,6.5911,6.5687,1.89e+14,1.90e+14,3932160
250,6.4488,6.5292,1.97e+14,1.98e+14,4096000
260,6.4480,6.5023,2.05e+14,2.06e+14,4259840
270,6.4985,6.4643,2.13e+14,2.14e+14,4423680
280,6.3847,6.4307,2.20e+14,2.22e+14,4587520
290,6.4696,6.4027,2.28e+14,2.30e+14,4751360
300,6.4123,6.3772,2.36e+14,2.38e+14,4915200
310,6.3274,6.3528,2.44e+14,2.46e+14,5079040
320,6.3569,6.3173,2.52e+14,2.54e+14,5242880
330,6.1889,6.2930,2.60e+14,2.62e+14,5406720
340,6.2132,6.2675,2.68e+14,2.70e+14,5570560
350,6.2639,6.2472,2.76e+14,2.78e+14,5734400
360,6.2259,6.2303,2.83e+14,2.86e+14,5898240
370,6.2829,6.2024,2.91e+14,2.94e+14,6062080
380,6.2059,6.1784,2.99e+14,3.01e+14,6225920
390,6.1997,6.1569,3.07e+14,3.09e+14,6389760
