step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
20,10.4778,10.4209,1.61e+12,1.66e+12,163840
40,9.0851,8.9952,3.21e+12,3.31e+12,327680
60,7.7141,7.6562,4.82e+12,4.97e+12,491520
80,7.5463,7.5232,6.42e+12,6.62e+12,655360
100,7.5570,7.5207,8.03e+12,8.28e+12,819200
120,7.5290,7.5297,9.63e+12,9.93e+12,983040
140,7.4908,7.5346,1.12e+13,1.16e+13,1146880
160,7.5364,7.5366,1.28e+13,1.32e+13,1310720
180,7.5643,7.5316,1.44e+13,1.49e+13,1474560
200,7.5385,7.5280,1.61e+13,1.66e+13,1638400
220,7.4846,7.5208,1.77e+13,1.82e+13,1802240
240,7.5163,7.5163,1.93e+13,1.99e+13,1966080
260,7.4818,7.5115,2.09e+13,2.15e+13,2129920
280,7.6039,7.5073,2.25e+13,2.32e+13,2293760
300,7.5491,7.5048,2.41e+13,2.48e+13,2457600
320,7.4513,7.4994,2.57e+13,2.65e+13,2621440
340,7.5994,7.4986,2.73e+13,2.81e+13,2785280
360,7.4668,7.4974,2.89e+13,2.98e+13,2949120
380,7.5271,7.4941,3.05e+13,3.15e+13,3112960
400,7.4892,7.4914,3.21e+13,3.31e+13,3276800
420,7.5308,7.4855,3.37e+13,3.48e+13,3440640
440,7.5246,7.4353,3.53e+13,3.64e+13,3604480
460,7.3474,7.3361,3.69e+13,3.81e+13,3768320
480,7.3128,7.2673,3.85e+13,3.97e+13,3932160
500,7.1118,7.1302,4.01e+13,4.14e+13,4096000
520,7.0529,7.0460,4.17e+13,4.30e+13,4259840
540,6.9895,6.9968,4.33e+13,4.47e+13,4423680
560,6.9318,6.9589,4.49e+13,4.64e+13,4587520
580,6.8197,6.9183,4.66e+13,4.80e+13,4751360
600,6.9679,6.8696,4.82e+13,4.97e+13,4915200
620,6.7490,6.8196,4.98e+13,5.13e+13,5079040
640,6.7885,6.7788,5.14e+13,5.30e+13,5242880
660,6.7414,6.7304,5.30e+13,5.46e+13,5406720
680,6.7409,6.6787,5.46e+13,5.63e+13,5570560
700,6.6641,6.6243,5.62e+13,5.79e+13,5734400
720,6.5493,6.5709,5.78e+13,5.96e+13,5898240
740,6.5519,6.5172,5.94e+13,6.12e+13,6062080
760,6.5266,6.4654,6.10e+13,6.29e+13,6225920
780,6.4495,6.4156,6.26e+13,6.46e+13,6389760
800,6.4656,6.3811,6.42e+13,6.62e+13,6553600
820,6.4331,6.3399,6.58e+13,6.79e+13,6717440
840,6.2730,6.3061,6.74e+13,6.95e+13,6881280
860,6.2641,6.2753,6.90e+13,7.12e+13,7045120
880,6.2131,6.2517,7.06e+13,7.28e+13,7208960
900,6.2084,6.2289,7.22e+13,7.45e+13,7372800
920,6.2989,6.2014,7.38e+13,7.61e+13,7536640
940,6.1911,6.1801,7.54e+13,7.78e+13,7700480
960,6.1583,6.1640,7.70e+13,7.95e+13,7864320
980,6.1857,6.1427,7.87e+13,8.11e+13,8028160
1000,5.9807,6.1254,8.03e+13,8.28e+13,8192000
1020,6.0636,6.1114,8.19e+13,8.44e+13,8355840
1040,6.0832,6.0929,8.35e+13,8.61e+13,8519680
1060,6.1222,6.0744,8.51e+13,8.77e+13,8683520
1080,5.9775,6.0592,8.67e+13,8.94e+13,8847360
1100,5.9235,6.0467,8.83e+13,9.10e+13,9011200
1120,6.0256,6.0336,8.99e+13,9.27e+13,9175040
1140,6.0265,6.0176,9.15e+13,9.44e+13,9338880
1160,5.9816,6.0016,9.31e+13,9.60e+13,9502720
1180,5.9530,5.9871,9.47e+13,9.77e+13,9666560
1200,5.9034,5.9762,9.63e+13,9.93e+13,9830400
1220,5.9550,5.9639,9.79e+13,1.01e+14,9994240
1240,6.0061,5.9522,9.95e+13,1.03e+14,10158080
1260,5.9149,5.9391,1.01e+14,1.04e+14,10321920
1280,5.9778,5.9251,1.03e+14,1.06e+14,10485760
1300,5.8823,5.9092,1.04e+14,1.08e+14,10649600
1320,5.8470,5.9019,1.06e+14,1.09e+14,10813440
1340,5.9607,5.8923,1.08e+14,1.11e+14,10977280
1360,5.9205,5.8760,1.09e+14,1.13e+14,11141120
1380,5.9055,5.8643,1.11e+14,1.14e+14,11304960
1400,5.8720,5.8567,1.12e+14,1.16e+14,11468800
1420,5.9458,5.8447,1.14e+14,1.18e+14,11632640
1440,5.8779,5.8366,1.16e+14,1.19e+14,11796480
1460,5.8466,5.8193,1.17e+14,1.21e+14,11960320
1480,5.9126,5.8136,1.19e+14,1.22e+14,12124160
1500,5.7608,5.8029,1.20e+14,1.24e+14,12288000
1520,5.9332,5.7902,1.22e+14,1.26e+14,12451840
1540,5.7326,5.7830,1.24e+14,1.27e+14,12615680
1560,5.7741,5.7771,1.25e+14,1.29e+14,12779520
1580,5.8440,5.7656,1.27e+14,1.31e+14,12943360
1600,5.6974,5.7575,1.28e+14,1.32e+14,13107200
1620,5.6484,5.7472,1.30e+14,1.34e+14,13271040
1640,5.8133,5.7399,1.32e+14,1.36e+14,13434880
1660,5.7010,5.7329,1.33e+14,1.37e+14,13598720
1680,5.7347,5.7216,1.35e+14,1.39e+14,13762560
1700,5.7791,5.7163,1.36e+14,1.41e+14,13926400
1720,5.7483,5.7099,1.38e+14,1.42e+14,14090240
1740,5.7319,5.7034,1.40e+14,1.44e+14,14254080
1760,5.7964,5.7004,1.41e+14,1.46e+14,14417920
1780,5.7579,5.6879,1.43e+14,1.47e+14,14581760
1800,5.7281,5.6789,1.44e+14,1.49e+14,14745600
1820,5.6667,5.6732,1.46e+14,1.51e+14,14909440
1840,5.6986,5.6692,1.48e+14,1.52e+14,15073280
1860,5.6692,5.6666,1.49e+14,1.54e+14,15237120
1880,5.6842,5.6570,1.51e+14,1.56e+14,15400960
1900,5.6261,5.6536,1.52e+14,1.57e+14,15564800
1920,5.6504,5.6456,1.54e+14,1.59e+14,15728640
1940,5.7198,5.6391,1.56e+14,1.61e+14,15892480
1960,5.7876,5.6346,1.57e+14,1.62e+14,16056320
1980,5.7329,5.6300,1.59e+14,1.64e+14,16220160
2000,5.5971,5.6232,1.61e+14,1.66e+14,16384000
2020,5.6943,5.6207,1.62e+14,1.67e+14,16547840
2040,5.6172,5.6154,1.64e+14,1.69e+14,16711680
2060,5.4749,5.6103,1.65e+14,1.71e+14,16875520
2080,5.5261,5.6038,1.67e+14,1.72e+14,17039360
2100,5.5893,5.6007,1.69e+14,1.74e+14,17203200
2120,5.5860,5.5973,1.70e+14,1.75e+14,17367040
2140,5.6197,5.5942,1.72e+14,1.77e+14,17530880
2160,5.5483,5.5874,1.73e+14,1.79e+14,17694720
2180,5.6118,5.5827,1.75e+14,1.80e+14,17858560
2200,5.6452,5.5786,1.77e+14,1.82e+14,18022400
2220,5.5761,5.5736,1.78e+14,1.84e+14,18186240
2240,5.6280,5.5710,1.80e+14,1.85e+14,18350080
2260,5.6038,5.5667,1.81e+14,1.87e+14,18513920
