step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
20,11.5784,8.6980,1.57e+13,1.59e+13,327680
40,7.6990,7.7088,3.15e+13,3.17e+13,655360
60,7.6089,7.6390,4.72e+13,4.76e+13,983040
80,7.5566,7.5554,6.30e+13,6.35e+13,1310720
100,7.4440,7.5240,7.87e+13,7.93e+13,1638400
120,7.5567,7.4836,9.45e+13,9.52e+13,1966080
140,7.3203,7.4237,1.10e+14,1.11e+14,2293760
160,7.3726,7.3363,1.26e+14,1.27e+14,2621440
180,7.1192,7.1574,1.42e+14,1.43e+14,2949120
200,6.9827,7.0406,1.57e+14,1.59e+14,3276800
220,6.9595,6.9250,1.73e+14,1.75e+14,3604480
240,6.8181,6.8317,1.89e+14,1.90e+14,3932160
260,6.6789,6.7377,2.05e+14,2.06e+14,4259840
280,6.5379,6.6608,2.20e+14,2.22e+14,4587520
300,6.6657,6.6099,2.36e+14,2.38e+14,4915200
320,6.6419,6.5641,2.52e+14,2.54e+14,5242880
340,6.4762,6.5094,2.68e+14,2.70e+14,5570560
360,6.5003,6.4607,2.83e+14,2.86e+14,5898240
380,6.4014,6.4155,2.99e+14,3.01e+14,6225920
400,6.3834,6.3718,3.15e+14,3.17e+14,6553600
420,6.3773,6.3358,3.31e+14,3.33e+14,6881280
440,6.4391,6.2951,3.46e+14,3.49e+14,7208960
460,6.1359,6.2614,3.62e+14,3.65e+14,7536640
480,6.3850,6.2310,3.78e+14,3.81e+14,7864320
500,6.2193,6.2037,3.94e+14,3.97e+14,8192000
520,6.1506,6.1764,4.09e+14,4.13e+14,8519680
540,6.1407,6.1535,4.25e+14,4.28e+14,8847360
560,6.1679,6.1307,4.41e+14,4.44e+14,9175040
580,6.1168,6.1112,4.57e+14,4.60e+14,9502720
600,5.9927,6.0921,4.72e+14,4.76e+14,9830400
620,6.0839,6.0759,4.88e+14,4.92e+14,10158080
640,6.0558,6.0588,5.04e+14,5.08e+14,10485760
660,6.1392,6.0448,5.20e+14,5.24e+14,10813440
680,6.0659,6.0314,5.35e+14,5.39e+14,11141120
700,5.9938,6.0207,5.51e+14,5.55e+14,11468800
720,6.0535,6.0101,5.67e+14,5.71e+14,11796480
740,5.9218,6.0027,5.83e+14,5.87e+14,12124160
760,6.0100,5.9941,5.98e+14,6.03e+14,12451840
780,5.9953,5.9836,6.14e+14,6.19e+14,12779520
