step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
20,8.9149,8.7701,3.21e+12,3.31e+12,327680
40,7.7444,7.7553,6.42e+12,6.62e+12,655360
60,7.7521,7.6995,9.63e+12,9.93e+12,983040
80,7.6217,7.5915,1.28e+13,1.32e+13,1310720
100,7.3755,7.4203,1.61e+13,1.66e+13,1638400
120,7.3039,7.3150,1.93e+13,1.99e+13,1966080
140,7.2484,7.2623,2.25e+13,2.32e+13,2293760
160,7.1698,7.1839,2.57e+13,2.65e+13,2621440
180,7.1837,7.0974,2.89e+13,2.98e+13,2949120
200,7.1017,7.0289,3.21e+13,3.31e+13,3276800
220,6.9041,6.9563,3.53e+13,3.64e+13,3604480
240,6.9015,6.8600,3.85e+13,3.97e+13,3932160
260,6.7425,6.8023,4.17e+13,4.30e+13,4259840
280,6.7879,6.7336,4.49e+13,4.64e+13,4587520
300,6.6699,6.6769,4.82e+13,4.97e+13,4915200
320,6.7084,6.6241,5.14e+13,5.30e+13,5242880
340,6.6022,6.5769,5.46e+13,5.63e+13,5570560
360,6.5125,6.5345,5.78e+13,5.96e+13,5898240
380,6.4789,6.4943,6.10e+13,6.29e+13,6225920
400,6.4995,6.4510,6.42e+13,6.62e+13,6553600
420,6.4271,6.4105,6.74e+13,6.95e+13,6881280
440,6.4150,6.3770,7.06e+13,7.28e+13,7208960
460,6.3518,6.3462,7.38e+13,7.61e+13,7536640
480,6.3585,6.3222,7.71e+13,7.95e+13,7864320
500,6.2534,6.2898,8.03e+13,8.28e+13,8192000
520,6.3015,6.2675,8.35e+13,8.61e+13,8519680
540,6.2137,6.2448,8.67e+13,8.94e+13,8847360
560,6.2277,6.2197,8.99e+13,9.27e+13,9175040
580,6.2260,6.2029,9.31e+13,9.60e+13,9502720
600,6.1730,6.1829,9.63e+13,9.93e+13,9830400
620,6.1617,6.1636,9.95e+13,1.03e+14,10158080
640,6.2486,6.1496,1.03e+14,1.06e+14,10485760
660,6.1737,6.1351,1.06e+14,1.09e+14,10813440
680,6.1004,6.1165,1.09e+14,1.13e+14,11141120
700,5.9883,6.1042,1.12e+14,1.16e+14,11468800
720,6.1217,6.0860,1.16e+14,1.19e+14,11796480
740,6.1428,6.0728,1.19e+14,1.22e+14,12124160
760,6.0807,6.0595,1.22e+14,1.26e+14,12451840
780,6.0361,6.0453,1.25e+14,1.29e+14,12779520
800,6.0571,6.0359,1.28e+14,1.32e+14,13107200
820,6.0697,6.0232,1.32e+14,1.36e+14,13434880
840,5.9634,6.0125,1.35e+14,1.39e+14,13762560
860,5.9469,6.0026,1.38e+14,1.42e+14,14090240
880,5.9598,5.9903,1.41e+14,1.46e+14,14417920
900,5.9860,5.9854,1.44e+14,1.49e+14,14745600
920,5.9961,5.9713,1.48e+14,1.52e+14,15073280
940,5.9451,5.9608,1.51e+14,1.56e+14,15400960
960,5.9817,5.9544,1.54e+14,1.59e+14,15728640
980,5.9514,5.9429,1.57e+14,1.62e+14,16056320
1000,5.8736,5.9342,1.61e+14,1.66e+14,16384000
1020,5.9143,5.9266,1.64e+14,1.69e+14,16711680
1040,5.9691,5.9205,1.67e+14,1.72e+14,17039360
1060,5.9319,5.9109,1.70e+14,1.75e+14,17367040
1080,5.8696,5.9050,1.73e+14,1.79e+14,17694720
1100,5.9307,5.8981,1.77e+14,1.82e+14,18022400
1120,5.8854,5.8910,1.80e+14,1.85e+14,18350080
1140,5.8679,5.8844,1.83e+14,1.89e+14,18677760
1160,5.8741,5.8807,1.86e+14,1.92e+14,19005440
1180,5.8078,5.8719,1.89e+14,1.95e+14,19333120
1200,5.8480,5.8685,1.93e+14,1.99e+14,19660800
1220,5.8965,5.8629,1.96e+14,2.02e+14,19988480
1240,5.8115,5.8559,1.99e+14,2.05e+14,20316160
1260,5.8209,5.8536,2.02e+14,2.09e+14,20643840
1280,5.8114,5.8472,2.05e+14,2.12e+14,20971520
1300,5.9075,5.8430,2.09e+14,2.15e+14,21299200
1320,5.8576,5.8397,2.12e+14,2.19e+14,21626880
1340,5.7963,5.8352,2.15e+14,2.22e+14,21954560
1360,5.8874,5.8310,2.18e+14,2.25e+14,22282240
1380,5.7515,5.8289,2.22e+14,2.28e+14,22609920
1400,5.8082,5.8256,2.25e+14,2.32e+14,22937600
1420,5.7858,5.8219,2.28e+14,2.35e+14,23265280
1440,5.9020,5.8201,2.31e+14,2.38e+14,23592960
1460,5.8250,5.8172,2.34e+14,2.42e+14,23920640
1480,5.8042,5.8136,2.38e+14,2.45e+14,24248320
1500,5.7759,5.8115,2.41e+14,2.48e+14,24576000
1520,5.8371,5.8085,2.44e+14,2.52e+14,24903680
1540,5.8155,5.8066,2.47e+14,2.55e+14,25231360
1560,5.7376,5.8044,2.50e+14,2.58e+14,25559040
1580,5.7531,5.8025,2.54e+14,2.62e+14,25886720
1600,5.8543,5.8014,2.57e+14,2.65e+14,26214400
1620,5.8333,5.7997,2.60e+14,2.68e+14,26542080
1640,5.7659,5.7976,2.63e+14,2.71e+14,26869760
