step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
50,9.5487,9.4961,4.03e+12,4.16e+12,409600
100,7.7605,7.6977,8.07e+12,8.32e+12,819200
150,7.2542,7.3402,1.21e+13,1.25e+13,1228800
200,6.9561,6.9817,1.61e+13,1.66e+13,1638400
250,6.7098,6.7758,2.02e+13,2.08e+13,2048000
300,6.6032,6.6352,2.42e+13,2.50e+13,2457600
350,6.4492,6.5408,2.82e+13,2.91e+13,2867200
400,6.5105,6.4494,3.23e+13,3.33e+13,3276800
450,6.2974,6.3675,3.63e+13,3.74e+13,3686400
500,6.2540,6.3020,4.03e+13,4.16e+13,4096000
550,6.2422,6.2551,4.44e+13,4.58e+13,4505600
600,6.2499,6.2155,4.84e+13,4.99e+13,4915200
650,6.1681,6.1670,5.24e+13,5.41e+13,5324800
700,6.1695,6.1397,5.65e+13,5.82e+13,5734400
750,5.9792,6.1081,6.05e+13,6.24e+13,6144000
800,5.8995,6.0833,6.45e+13,6.65e+13,6553600
850,6.0897,6.0556,6.86e+13,7.07e+13,6963200
900,5.8979,6.0389,7.26e+13,7.49e+13,7372800
950,5.9639,6.0226,7.66e+13,7.90e+13,7782400
1000,5.8301,6.0074,8.07e+13,8.32e+13,8192000
1050,5.9070,5.9890,8.47e+13,8.73e+13,8601600
1100,5.9120,5.9721,8.87e+13,9.15e+13,9011200
1150,5.9729,5.9616,9.28e+13,9.57e+13,9420800
1200,5.7619,5.9492,9.68e+13,9.98e+13,9830400
1250,5.8365,5.9390,1.01e+14,1.04e+14,10240000
1300,5.8570,5.9274,1.05e+14,1.08e+14,10649600
1350,5.8773,5.9169,1.09e+14,1.12e+14,11059200
1400,5.7583,5.9051,1.13e+14,1.16e+14,11468800
1450,5.9597,5.8986,1.17e+14,1.21e+14,11878400
1500,5.8206,5.8881,1.21e+14,1.25e+14,12288000
1550,5.8513,5.8816,1.25e+14,1.29e+14,12697600
1600,5.7821,5.8698,1.29e+14,1.33e+14,13107200
1650,5.6766,5.8617,1.33e+14,1.37e+14,13516800
1700,5.7085,5.8589,1.37e+14,1.41e+14,13926400
1750,5.8140,5.8447,1.41e+14,1.46e+14,14336000
1800,5.8683,5.8392,1.45e+14,1.50e+14,14745600
1850,5.6128,5.8324,1.49e+14,1.54e+14,15155200
1900,5.7780,5.8231,1.53e+14,1.58e+14,15564800
1950,5.6380,5.8182,1.57e+14,1.62e+14,15974400
2000,5.6233,5.8144,1.61e+14,1.66e+14,16384000
2050,5.6889,5.8072,1.65e+14,1.71e+14,16793600
2100,5.7810,5.7994,1.69e+14,1.75e+14,17203200
2150,5.8048,5.7919,1.73e+14,1.79e+14,17612800
2200,5.7677,5.7868,1.77e+14,1.83e+14,18022400
2250,5.5565,5.7831,1.82e+14,1.87e+14,18432000
2300,5.6721,5.7753,1.86e+14,1.91e+14,18841600
2350,5.7979,5.7725,1.90e+14,1.95e+14,19251200
2400,5.6671,5.7652,1.94e+14,2.00e+14,19660800
2450,5.6568,5.7607,1.98e+14,2.04e+14,20070400
2500,5.5950,5.7573,2.02e+14,2.08e+14,20480000
2550,5.6762,5.7510,2.06e+14,2.12e+14,20889600
2600,5.5723,5.7466,2.10e+14,2.16e+14,21299200
2650,5.7144,5.7439,2.14e+14,2.20e+14,21708800
2700,5.7154,5.7383,2.18e+14,2.25e+14,22118400
2750,5.5542,5.7364,2.22e+14,2.29e+14,22528000
2800,5.6791,5.7326,2.26e+14,2.33e+14,22937600
2850,5.6405,5.7284,2.30e+14,2.37e+14,23347200
2900,5.7301,5.7236,2.34e+14,2.41e+14,23756800
2950,5.6397,5.7201,2.38e+14,2.45e+14,24166400
3000,5.6195,5.7162,2.42e+14,2.50e+14,24576000
3050,5.6930,5.7141,2.46e+14,2.54e+14,24985600
3100,5.6543,5.7122,2.50e+14,2.58e+14,25395200
3150,5.5334,5.7084,2.54e+14,2.62e+14,25804800
3200,5.7260,5.7048,2.58e+14,2.66e+14,26214400
3250,5.5593,5.7020,2.62e+14,2.70e+14,26624000
3300,5.6461,5.7000,2.66e+14,2.75e+14,27033600
3350,5.5860,5.6985,2.70e+14,2.79e+14,27443200
3400,5.4429,5.6978,2.74e+14,2.83e+14,27852800
3450,5.5207,5.6955,2.78e+14,2.87e+14,28262400
3500,5.6423,5.6933,2.82e+14,2.91e+14,28672000
3550,5.5058,5.6930,2.86e+14,2.95e+14,29081600
3600,5.5160,5.6919,2.90e+14,2.99e+14,29491200
3650,5.7102,5.6898,2.94e+14,3.04e+14,29900800
