step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
20,8.3388,8.1669,2.45e+12,2.50e+12,163840
40,7.5200,7.5467,4.91e+12,5.01e+12,327680
60,7.5428,7.5055,7.36e+12,7.51e+12,491520
80,7.4259,7.4159,9.81e+12,1.00e+13,655360
100,7.2800,7.3100,1.23e+13,1.25e+13,819200
120,7.2018,7.2229,1.47e+13,1.50e+13,983040
140,7.1173,7.1190,1.72e+13,1.75e+13,1146880
160,6.9727,7.0529,1.96e+13,2.00e+13,1310720
180,6.9869,6.9955,2.21e+13,2.25e+13,1474560
200,6.9292,6.9387,2.45e+13,2.50e+13,1638400
220,6.8549,6.8787,2.70e+13,2.75e+13,1802240
240,6.8260,6.7904,2.94e+13,3.01e+13,1966080
260,6.6575,6.6951,3.19e+13,3.26e+13,2129920
280,6.6174,6.6080,3.43e+13,3.51e+13,2293760
300,6.6097,6.5753,3.68e+13,3.76e+13,2457600
320,6.5185,6.4972,3.93e+13,4.01e+13,2621440
340,6.4106,6.4619,4.17e+13,4.26e+13,2785280
360,6.3267,6.3905,4.42e+13,4.51e+13,2949120
380,6.2957,6.3566,4.66e+13,4.76e+13,3112960
400,6.2200,6.2821,4.91e+13,5.01e+13,3276800
420,6.3550,6.2371,5.15e+13,5.26e+13,3440640
440,6.1740,6.2625,5.40e+13,5.51e+13,3604480
460,6.1579,6.1802,5.64e+13,5.76e+13,3768320
480,6.2565,6.1446,5.89e+13,6.01e+13,3932160
500,6.0761,6.1089,6.13e+13,6.26e+13,4096000
520,6.0207,6.0847,6.38e+13,6.51e+13,4259840
540,6.0897,6.0581,6.62e+13,6.76e+13,4423680
560,5.9399,6.0345,6.87e+13,7.01e+13,4587520
580,6.0116,6.0068,7.11e+13,7.26e+13,4751360
600,5.9690,5.9882,7.36e+13,7.51e+13,4915200
620,5.9052,5.9635,7.61e+13,7.76e+13,5079040
640,5.9158,5.9443,7.85e+13,8.01e+13,5242880
660,6.0662,5.9243,8.10e+13,8.26e+13,5406720
680,5.7704,5.9072,8.34e+13,8.51e+13,5570560
700,5.8717,5.8833,8.59e+13,8.77e+13,5734400
720,5.8470,5.8685,8.83e+13,9.02e+13,5898240
740,5.8343,5.8563,9.08e+13,9.27e+13,6062080
760,5.7518,5.8307,9.32e+13,9.52e+13,6225920
780,5.8485,5.8101,9.57e+13,9.77e+13,6389760
800,5.8041,5.7964,9.81e+13,1.00e+14,6553600
820,5.7789,5.7779,1.01e+14,1.03e+14,6717440
840,5.7146,5.7680,1.03e+14,1.05e+14,6881280
860,5.6933,5.7554,1.05e+14,1.08e+14,7045120
880,5.7931,5.7351,1.08e+14,1.10e+14,7208960
900,5.7931,5.7214,1.10e+14,1.13e+14,7372800
920,5.7324,5.7045,1.13e+14,1.15e+14,7536640
940,5.7321,5.6872,1.15e+14,1.18e+14,7700480
960,5.6811,5.6716,1.18e+14,1.20e+14,7864320
980,5.7325,5.6568,1.20e+14,1.23e+14,8028160
1000,5.7651,5.6544,1.23e+14,1.25e+14,8192000
1020,5.6516,5.6330,1.25e+14,1.28e+14,8355840
1040,5.6426,5.6118,1.28e+14,1.30e+14,8519680
1060,5.6487,5.6047,1.30e+14,1.33e+14,8683520
1080,5.6886,5.5919,1.32e+14,1.35e+14,8847360
1100,5.5562,5.5785,1.35e+14,1.38e+14,9011200
1120,5.5704,5.5878,1.37e+14,1.40e+14,9175040
1140,5.4807,5.5866,1.40e+14,1.43e+14,9338880
1160,5.5531,5.5531,1.42e+14,1.45e+14,9502720
1180,5.6947,5.5444,1.45e+14,1.48e+14,9666560
1200,5.5815,5.5295,1.47e+14,1.50e+14,9830400
1220,5.5512,5.5180,1.50e+14,1.53e+14,9994240
1240,5.5184,5.5050,1.52e+14,1.55e+14,10158080
1260,5.4430,5.4961,1.55e+14,1.58e+14,10321920
1280,5.4942,5.4906,1.57e+14,1.60e+14,10485760
1300,5.4174,5.4725,1.59e+14,1.63e+14,10649600
1320,5.5157,5.4741,1.62e+14,1.65e+14,10813440
1340,5.3894,5.4604,1.64e+14,1.68e+14,10977280
1360,5.2951,5.4530,1.67e+14,1.70e+14,11141120
1380,5.5725,5.4452,1.69e+14,1.73e+14,11304960
1400,5.5055,5.4403,1.72e+14,1.75e+14,11468800
1420,5.4024,5.4245,1.74e+14,1.78e+14,11632640
1440,5.4394,5.4243,1.77e+14,1.80e+14,11796480
1460,5.4153,5.4138,1.79e+14,1.83e+14,11960320
1480,5.3571,5.4094,1.82e+14,1.85e+14,12124160
1500,5.3396,5.4012,1.84e+14,1.88e+14,12288000
1520,5.4356,5.4009,1.86e+14,1.90e+14,12451840
1540,5.3576,5.3919,1.89e+14,1.93e+14,12615680
1560,5.2648,5.3854,1.91e+14,1.95e+14,12779520
1580,5.4621,5.3777,1.94e+14,1.98e+14,12943360
1600,5.3047,5.3746,1.96e+14,2.00e+14,13107200
1620,5.3559,5.3785,1.99e+14,2.03e+14,13271040
1640,5.3166,5.3549,2.01e+14,2.05e+14,13434880
1660,5.4022,5.3558,2.04e+14,2.08e+14,13598720
1680,5.3600,5.3556,2.06e+14,2.10e+14,13762560
1700,5.3591,5.3394,2.09e+14,2.13e+14,13926400
1720,5.3879,5.3381,2.11e+14,2.15e+14,14090240
1740,5.3414,5.3283,2.13e+14,2.18e+14,14254080
1760,5.3752,5.3267,2.16e+14,2.20e+14,14417920
1780,5.2671,5.3273,2.18e+14,2.23e+14,14581760
1800,5.4309,5.3179,2.21e+14,2.25e+14,14745600
1820,5.3024,5.3228,2.23e+14,2.28e+14,14909440
1840,5.1644,5.3042,2.26e+14,2.30e+14,15073280
1860,5.4055,5.2984,2.28e+14,2.33e+14,15237120
1880,5.1774,5.2994,2.31e+14,2.35e+14,15400960
1900,5.2248,5.2883,2.33e+14,2.38e+14,15564800
1920,5.2412,5.2862,2.36e+14,2.40e+14,15728640
1940,5.2489,5.2807,2.38e+14,2.43e+14,15892480
1960,5.3769,5.2790,2.40e+14,2.45e+14,16056320
1980,5.2539,5.2758,2.43e+14,2.48e+14,16220160
2000,5.2290,5.2723,2.45e+14,2.50e+14,16384000
2020,5.4224,5.2663,2.48e+14,2.53e+14,16547840
2040,5.2320,5.2696,2.50e+14,2.55e+14,16711680
2060,5.1749,5.2601,2.53e+14,2.58e+14,16875520
2080,5.2406,5.2504,2.55e+14,2.60e+14,17039360
2100,5.2746,5.2542,2.58e+14,2.63e+14,17203200
2120,5.2140,5.2494,2.60e+14,2.65e+14,17367040
2140,5.1575,5.2452,2.63e+14,2.68e+14,17530880
2160,5.3800,5.2439,2.65e+14,2.70e+14,17694720
2180,5.1926,5.2320,2.67e+14,2.73e+14,17858560
2200,5.2467,5.2305,2.70e+14,2.75e+14,18022400
2220,5.2900,5.2263,2.72e+14,2.78e+14,18186240
2240,5.1979,5.2192,2.75e+14,2.80e+14,18350080
2260,5.1783,5.2234,2.77e+14,2.83e+14,18513920
2280,5.2370,5.2124,2.80e+14,2.85e+14,18677760
