step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
20,7.6730,7.7101,4.91e+12,5.01e+12,327680
40,7.7010,7.7023,9.81e+12,1.00e+13,655360
60,7.4919,7.4826,1.47e+13,1.50e+13,983040
80,7.3004,7.3468,1.96e+13,2.00e+13,1310720
100,7.2894,7.2995,2.45e+13,2.50e+13,1638400
120,7.2449,7.2635,2.94e+13,3.01e+13,1966080
140,7.1942,7.1987,3.43e+13,3.51e+13,2293760
160,7.1038,7.0824,3.93e+13,4.01e+13,2621440
180,6.9928,6.9968,4.42e+13,4.51e+13,2949120
200,6.8796,6.9139,4.91e+13,5.01e+13,3276800
220,6.8362,6.8529,5.40e+13,5.51e+13,3604480
240,6.8481,6.7886,5.89e+13,6.01e+13,3932160
260,6.6846,6.7254,6.38e+13,6.51e+13,4259840
280,6.6493,6.6734,6.87e+13,7.01e+13,4587520
300,6.5896,6.6218,7.36e+13,7.51e+13,4915200
320,6.5469,6.5687,7.85e+13,8.01e+13,5242880
340,6.6443,6.7069,8.34e+13,8.51e+13,5570560
360,6.5424,6.5224,8.83e+13,9.02e+13,5898240
380,6.3705,6.4544,9.32e+13,9.52e+13,6225920
400,6.4148,6.3926,9.81e+13,1.00e+14,6553600
420,6.3205,6.3291,1.03e+14,1.05e+14,6881280
440,6.3113,6.2845,1.08e+14,1.10e+14,7208960
460,6.2582,6.2242,1.13e+14,1.15e+14,7536640
480,6.2124,6.1829,1.18e+14,1.20e+14,7864320
500,6.1708,6.1314,1.23e+14,1.25e+14,8192000
520,6.0920,6.0932,1.28e+14,1.30e+14,8519680
540,6.1650,6.1131,1.32e+14,1.35e+14,8847360
560,6.0623,6.0323,1.37e+14,1.40e+14,9175040
580,6.0246,6.0006,1.42e+14,1.45e+14,9502720
600,5.9473,5.9745,1.47e+14,1.50e+14,9830400
620,5.9222,5.9482,1.52e+14,1.55e+14,10158080
640,5.8981,5.9124,1.57e+14,1.60e+14,10485760
660,5.9635,5.8982,1.62e+14,1.65e+14,10813440
680,5.8070,5.8670,1.67e+14,1.70e+14,11141120
700,5.9087,5.8437,1.72e+14,1.75e+14,11468800
720,5.8025,5.8316,1.77e+14,1.80e+14,11796480
740,5.8115,5.8169,1.82e+14,1.85e+14,12124160
760,5.8013,5.7929,1.86e+14,1.90e+14,12451840
780,5.7561,5.7768,1.91e+14,1.95e+14,12779520
800,5.7281,5.7563,1.96e+14,2.00e+14,13107200
820,5.7891,5.7457,2.01e+14,2.05e+14,13434880
840,5.7206,5.7206,2.06e+14,2.10e+14,13762560
860,5.6960,5.7015,2.11e+14,2.15e+14,14090240
880,5.7236,5.6905,2.16e+14,2.20e+14,14417920
900,5.6886,5.6756,2.21e+14,2.25e+14,14745600
920,5.6184,5.6557,2.26e+14,2.30e+14,15073280
940,5.6399,5.6402,2.31e+14,2.35e+14,15400960
960,5.6673,5.6282,2.36e+14,2.40e+14,15728640
980,5.6840,5.6185,2.40e+14,2.45e+14,16056320
1000,5.6043,5.5954,2.45e+14,2.50e+14,16384000
1020,5.5398,5.5762,2.50e+14,2.55e+14,16711680
1040,5.5962,5.5668,2.55e+14,2.60e+14,17039360
1060,5.5249,5.5499,2.60e+14,2.65e+14,17367040
1080,5.6584,5.5400,2.65e+14,2.70e+14,17694720
1100,5.5089,5.5234,2.70e+14,2.75e+14,18022400
1120,5.5110,5.5141,2.75e+14,2.80e+14,18350080
1140,5.5015,5.5066,2.80e+14,2.85e+14,18677760
1160,5.5296,5.4843,2.85e+14,2.90e+14,19005440
1180,5.4696,5.4787,2.89e+14,2.96e+14,19333120
1200,5.4326,5.4661,2.94e+14,3.01e+14,19660800
1220,5.4729,5.4520,2.99e+14,3.06e+14,19988480
1240,5.5005,5.4480,3.04e+14,3.11e+14,20316160
1260,5.3560,5.4413,3.09e+14,3.16e+14,20643840
1280,5.3648,5.4251,3.14e+14,3.21e+14,20971520
1300,5.4202,5.4190,3.19e+14,3.26e+14,21299200
1320,5.3849,5.4063,3.24e+14,3.31e+14,21626880
1340,5.3887,5.3985,3.29e+14,3.36e+14,21954560
1360,5.4294,5.3860,3.34e+14,3.41e+14,22282240
1380,5.4243,5.3788,3.39e+14,3.46e+14,22609920
1400,5.3425,5.3744,3.43e+14,3.51e+14,22937600
1420,5.3172,5.3639,3.48e+14,3.56e+14,23265280
1440,5.2967,5.3518,3.53e+14,3.61e+14,23592960
1460,5.3068,5.3429,3.58e+14,3.66e+14,23920640
1480,5.3651,5.3343,3.63e+14,3.71e+14,24248320
1500,5.3622,5.3283,3.68e+14,3.76e+14,24576000
1520,5.3242,5.3213,3.73e+14,3.81e+14,24903680
1540,5.3182,5.3117,3.78e+14,3.86e+14,25231360
1560,5.2485,5.3049,3.83e+14,3.91e+14,25559040
1580,5.2628,5.3016,3.88e+14,3.96e+14,25886720
1600,5.2992,5.2901,3.93e+14,4.01e+14,26214400
1620,5.1980,5.2897,3.97e+14,4.06e+14,26542080
1640,5.3493,5.2803,4.02e+14,4.11e+14,26869760
1660,5.2204,5.2760,4.07e+14,4.16e+14,27197440
1680,5.2565,5.2662,4.12e+14,4.21e+14,27525120
1700,5.2366,5.2583,4.17e+14,4.26e+14,27852800
1720,5.2389,5.2546,4.22e+14,4.31e+14,28180480
1740,5.1787,5.2486,4.27e+14,4.36e+14,28508160
1760,5.1320,5.2436,4.32e+14,4.41e+14,28835840
1780,5.2405,5.2354,4.37e+14,4.46e+14,29163520
1800,5.1796,5.2314,4.42e+14,4.51e+14,29491200
1820,5.1889,5.2251,4.46e+14,4.56e+14,29818880
1840,5.2223,5.2227,4.51e+14,4.61e+14,30146560
1860,5.1479,5.2137,4.56e+14,4.66e+14,30474240
1880,5.2722,5.2108,4.61e+14,4.71e+14,30801920
1900,5.1646,5.2057,4.66e+14,4.76e+14,31129600
1920,5.1204,5.2009,4.71e+14,4.81e+14,31457280
1940,5.2727,5.1982,4.76e+14,4.86e+14,31784960
1960,5.2043,5.1936,4.81e+14,4.91e+14,32112640
1980,5.2328,5.1868,4.86e+14,4.96e+14,32440320
2000,5.1917,5.1888,4.91e+14,5.01e+14,32768000
2020,5.2001,5.1793,4.96e+14,5.06e+14,33095680
2040,5.2058,5.1761,5.00e+14,5.11e+14,33423360
2060,5.1894,5.1716,5.05e+14,5.16e+14,33751040
2080,5.2257,5.1683,5.10e+14,5.21e+14,34078720
2100,5.2593,5.1646,5.15e+14,5.26e+14,34406400
2120,5.1597,5.1637,5.20e+14,5.31e+14,34734080
2140,5.1817,5.1590,5.25e+14,5.36e+14,35061760
2160,5.1196,5.1554,5.30e+14,5.41e+14,35389440
2180,5.2024,5.1523,5.35e+14,5.46e+14,35717120
2200,5.1693,5.1486,5.40e+14,5.51e+14,36044800
2220,5.2513,5.1464,5.45e+14,5.56e+14,36372480
2240,5.1370,5.1445,5.50e+14,5.61e+14,36700160
2260,5.0635,5.1399,5.54e+14,5.66e+14,37027840
2280,5.0914,5.1390,5.59e+14,5.71e+14,37355520
2300,5.1535,5.1358,5.64e+14,5.76e+14,37683200
2320,5.1855,5.1341,5.69e+14,5.81e+14,38010880
2340,5.1264,5.1329,5.74e+14,5.86e+14,38338560
2360,5.1158,5.1283,5.79e+14,5.91e+14,38666240
2380,5.1100,5.1281,5.84e+14,5.96e+14,38993920
2400,5.0750,5.1267,5.89e+14,6.01e+14,39321600
2420,5.0239,5.1246,5.94e+14,6.06e+14,39649280
2440,5.2060,5.1214,5.99e+14,6.11e+14,39976960
2460,5.0903,5.1202,6.04e+14,6.16e+14,40304640
