step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
20,9.4566,9.3388,6.42e+12,6.62e+12,655360
40,7.7971,7.7699,1.28e+13,1.32e+13,1310720
60,7.4948,7.4876,1.93e+13,1.99e+13,1966080
80,7.4910,7.4703,2.57e+13,2.65e+13,2621440
100,7.4555,7.4678,3.21e+13,3.31e+13,3276800
120,7.4436,7.4664,3.85e+13,3.97e+13,3932160
140,7.4935,7.4659,4.49e+13,4.64e+13,4587520
160,7.4784,7.4649,5.14e+13,5.30e+13,5242880
180,7.4611,7.4644,5.78e+13,5.96e+13,5898240
200,7.4603,7.4634,6.42e+13,6.62e+13,6553600
220,7.4652,7.4631,7.06e+13,7.28e+13,7208960
240,7.4844,7.4621,7.70e+13,7.95e+13,7864320
260,7.4631,7.4612,8.35e+13,8.61e+13,8519680
280,7.4688,7.4609,8.99e+13,9.27e+13,9175040
300,7.4743,7.4598,9.63e+13,9.93e+13,9830400
320,7.4561,7.4596,1.03e+14,1.06e+14,10485760
340,7.4663,7.4587,1.09e+14,1.13e+14,11141120
360,7.4467,7.4582,1.16e+14,1.19e+14,11796480
380,7.4362,7.4571,1.22e+14,1.26e+14,12451840
400,7.4618,7.4566,1.28e+14,1.32e+14,13107200
420,7.4408,7.4560,1.35e+14,1.39e+14,13762560
440,7.4309,7.4551,1.41e+14,1.46e+14,14417920
460,7.4547,7.4540,1.48e+14,1.52e+14,15073280
480,7.4388,7.4530,1.54e+14,1.59e+14,15728640
500,7.4693,7.4518,1.61e+14,1.66e+14,16384000
520,7.4477,7.4505,1.67e+14,1.72e+14,17039360
540,7.4790,7.4483,1.73e+14,1.79e+14,17694720
560,7.4505,7.4434,1.80e+14,1.85e+14,18350080
580,7.4560,7.4266,1.86e+14,1.92e+14,19005440
600,7.3935,7.3710,1.93e+14,1.99e+14,19660800
620,7.3186,7.3060,1.99e+14,2.05e+14,20316160
640,7.2678,7.2635,2.05e+14,2.12e+14,20971520
660,7.2564,7.2393,2.12e+14,2.19e+14,21626880
680,7.2233,7.2219,2.18e+14,2.25e+14,22282240
700,7.2046,7.2090,2.25e+14,2.32e+14,22937600
720,7.1965,7.1984,2.31e+14,2.38e+14,23592960
740,7.2143,7.1886,2.38e+14,2.45e+14,24248320
760,7.1939,7.1786,2.44e+14,2.52e+14,24903680
780,7.2111,7.1702,2.50e+14,2.58e+14,25559040
