step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
20,7.7768,7.8315,6.71e+12,6.82e+12,327680
40,7.4869,7.4679,1.34e+13,1.36e+13,655360
60,7.4022,7.3792,2.01e+13,2.04e+13,983040
80,7.4447,7.3777,2.68e+13,2.73e+13,1310720
100,7.2914,7.2791,3.36e+13,3.41e+13,1638400
120,7.1419,7.1904,4.03e+13,4.09e+13,1966080
140,7.1706,7.1479,4.70e+13,4.77e+13,2293760
160,7.1357,7.1276,5.37e+13,5.45e+13,2621440
180,7.0629,7.0839,6.04e+13,6.13e+13,2949120
200,7.1538,7.1401,6.71e+13,6.82e+13,3276800
220,7.0819,7.0624,7.38e+13,7.50e+13,3604480
240,7.0024,7.0112,8.05e+13,8.18e+13,3932160
260,7.0652,7.0260,8.72e+13,8.86e+13,4259840
280,7.0199,7.0628,9.40e+13,9.54e+13,4587520
300,7.0099,7.0153,1.01e+14,1.02e+14,4915200
320,7.1697,7.1126,1.07e+14,1.09e+14,5242880
340,7.1211,7.2146,1.14e+14,1.16e+14,5570560
360,7.1036,7.1176,1.21e+14,1.23e+14,5898240
380,7.1105,7.1303,1.28e+14,1.30e+14,6225920
400,7.1860,7.1568,1.34e+14,1.36e+14,6553600
420,7.1488,7.0584,1.41e+14,1.43e+14,6881280
440,7.0678,7.0969,1.48e+14,1.50e+14,7208960
460,7.0612,7.0589,1.54e+14,1.57e+14,7536640
480,7.0074,6.9816,1.61e+14,1.64e+14,7864320
500,7.0962,7.0007,1.68e+14,1.70e+14,8192000
520,7.0043,7.0203,1.74e+14,1.77e+14,8519680
540,6.9824,7.0074,1.81e+14,1.84e+14,8847360
560,7.0674,6.9883,1.88e+14,1.91e+14,9175040
580,6.9626,7.0058,1.95e+14,1.98e+14,9502720
600,7.0489,7.0104,2.01e+14,2.04e+14,9830400
620,6.9885,6.9940,2.08e+14,2.11e+14,10158080
640,6.9553,7.0423,2.15e+14,2.18e+14,10485760
660,6.9355,6.9752,2.21e+14,2.25e+14,10813440
680,6.9654,6.9907,2.28e+14,2.32e+14,11141120
700,7.0183,7.0065,2.35e+14,2.39e+14,11468800
720,7.0489,6.9984,2.42e+14,2.45e+14,11796480
740,7.0618,7.1081,2.48e+14,2.52e+14,12124160
760,7.0661,7.0235,2.55e+14,2.59e+14,12451840
780,7.1784,7.2354,2.62e+14,2.66e+14,12779520
800,7.0289,7.0459,2.68e+14,2.73e+14,13107200
